Exit stations,Entry stations->,,SUNDAY,,,Aug 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
FV, 	21 , 	18 , 	11 , 	8 , 	20 , 	15 , 	24 , 	12 , 	17 , 	39 , 	12 , 	33 , 	32 , 	49 , 	13 , 	13 , 	7 , 	10 , 	7 , 	2 , 	6 , 	3 , 	2 , 	8 , 	17 , 	35 , 	36 , 	75 , 	50 , 	33 , 	24 , 	3 , 	6 , 	9 , 	2 , 	6 , 	15 , 	1 , 	5 , 	2 , 	2 , 	6 , 	2 , 	9 , 	4 , 	4 , 	3 , 	10 , 	2 , 	4 , 	748 ,,,,,,,,,,,
CL, 	7 , 	13 , 	5 , 	2 , 	12 , 	6 , 	15 , 	8 , 	16 , 	17 , 	33 , 	4 , 	17 , 	30 , 	9 , 	10 , 	6 , 	3 , 	3 , 	1 , 	4 , 	0 , 	1 , 	3 , 	10 , 	14 , 	21 , 	36 , 	22 , 	15 , 	13 , 	5 , 	5 , 	3 , 	1 , 	3 , 	6 , 	-   , 	5 , 	2 , 	1 , 	5 , 	1 , 	4 , 	10 , 	4 , 	2 , 	4 , 	2 , 	4 , 	420 ,,,,,,,,,,,
SL, 	7 , 	7 , 	3 , 	3 , 	6 , 	7 , 	9 , 	11 , 	14 , 	25 , 	35 , 	14 , 	5 , 	27 , 	9 , 	6 , 	8 , 	6 , 	2 , 	1 , 	3 , 	1 , 	1 , 	2 , 	5 , 	24 , 	18 , 	34 , 	17 , 	12 , 	8 , 	3 , 	3 , 	4 , 	2 , 	9 , 	12 , 	-   , 	2 , 	1 , 	0 , 	6 , 	-   , 	8 , 	3 , 	3 , 	2 , 	6 , 	2 , 	2 , 	397 ,,,,,,,,,,,
BF, 	8 , 	12 , 	3 , 	4 , 	12 , 	7 , 	15 , 	11 , 	20 , 	29 , 	53 , 	41 , 	30 , 	7 , 	9 , 	6 , 	6 , 	9 , 	8 , 	1 , 	3 , 	0 , 	1 , 	2 , 	9 , 	26 , 	33 , 	47 , 	22 , 	11 , 	11 , 	3 , 	6 , 	6 , 	2 , 	6 , 	16 , 	1 , 	3 , 	0 , 	1 , 	7 , 	2 , 	9 , 	5 , 	2 , 	1 , 	5 , 	1 , 	2 , 	535 ,,,,,,,,,,,
HY, 	2 , 	4 , 	1 , 	0 , 	3 , 	2 , 	5 , 	6 , 	5 , 	7 , 	15 , 	8 , 	11 , 	10 , 	1 , 	8 , 	7 , 	11 , 	2 , 	0 , 	1 , 	0 , 	0 , 	1 , 	2 , 	7 , 	6 , 	10 , 	4 , 	3 , 	5 , 	1 , 	1 , 	2 , 	0 , 	2 , 	2 , 	-   , 	2 , 	0 , 	0 , 	3 , 	0 , 	1 , 	1 , 	3 , 	3 , 	8 , 	0 , 	1 , 	178 ,,,,,,,,,,,
SH, 	2 , 	1 , 	3 , 	0 , 	2 , 	1 , 	6 , 	1 , 	2 , 	5 , 	10 , 	5 , 	6 , 	7 , 	8 , 	2 , 	12 , 	17 , 	1 , 	1 , 	0 , 	-   , 	-   , 	1 , 	3 , 	6 , 	4 , 	5 , 	3 , 	2 , 	3 , 	0 , 	1 , 	2 , 	0 , 	1 , 	2 , 	-   , 	1 , 	-   , 	0 , 	2 , 	1 , 	1 , 	0 , 	7 , 	6 , 	13 , 	0 , 	0 , 	155 ,,,,,,,,,,,
UC, 	1 , 	3 , 	3 , 	-   , 	3 , 	4 , 	3 , 	1 , 	3 , 	4 , 	7 , 	7 , 	5 , 	7 , 	5 , 	8 , 	4 , 	13 , 	1 , 	0 , 	1 , 	0 , 	0 , 	0 , 	1 , 	7 , 	6 , 	8 , 	7 , 	2 , 	2 , 	1 , 	1 , 	1 , 	-   , 	1 , 	2 , 	0 , 	1 , 	0 , 	1 , 	3 , 	0 , 	2 , 	1 , 	7 , 	3 , 	12 , 	0 , 	1 , 	155 ,,,,,,,,,,,
FM, 	1 , 	1 , 	1 , 	-   , 	2 , 	1 , 	3 , 	3 , 	3 , 	5 , 	10 , 	2 , 	7 , 	6 , 	11 , 	16 , 	8 , 	4 , 	2 , 	2 , 	0 , 	0 , 	-   , 	0 , 	1 , 	7 , 	9 , 	9 , 	7 , 	4 , 	1 , 	0 , 	2 , 	2 , 	1 , 	1 , 	4 , 	-   , 	1 , 	0 , 	-   , 	2 , 	0 , 	2 , 	3 , 	4 , 	8 , 	10 , 	0 , 	1 , 	167 ,,,,,,,,,,,
CN, 	4 , 	7 , 	2 , 	2 , 	3 , 	3 , 	12 , 	6 , 	9 , 	2 , 	7 , 	3 , 	3 , 	5 , 	2 , 	1 , 	1 , 	2 , 	9 , 	10 , 	38 , 	22 , 	5 , 	5 , 	2 , 	21 , 	9 , 	29 , 	19 , 	7 , 	7 , 	3 , 	3 , 	2 , 	2 , 	-   , 	2 , 	6 , 	28 , 	1 , 	3 , 	14 , 	2 , 	0 , 	4 , 	1 , 	1 , 	3 , 	17 , 	18 , 	363 ,,,,,,,,,,,
PH, 	1 , 	1 , 	2 , 	1 , 	2 , 	1 , 	4 , 	6 , 	3 , 	1 , 	5 , 	1 , 	0 , 	1 , 	0 , 	0 , 	0 , 	1 , 	11 , 	2 , 	16 , 	8 , 	4 , 	5 , 	2 , 	13 , 	11 , 	14 , 	13 , 	7 , 	4 , 	1 , 	2 , 	3 , 	1 , 	0 , 	1 , 	2 , 	8 , 	1 , 	1 , 	12 , 	1 , 	-   , 	7 , 	1 , 	0 , 	1 , 	4 , 	7 , 	195 ,,,,,,,,,,,
WC, 	4 , 	3 , 	3 , 	1 , 	4 , 	1 , 	8 , 	8 , 	9 , 	0 , 	5 , 	2 , 	3 , 	2 , 	0 , 	1 , 	0 , 	1 , 	56 , 	15 , 	3 , 	8 , 	5 , 	10 , 	2 , 	12 , 	13 , 	22 , 	10 , 	8 , 	4 , 	3 , 	3 , 	3 , 	-   , 	-   , 	1 , 	5 , 	16 , 	3 , 	1 , 	9 , 	2 , 	1 , 	4 , 	-   , 	0 , 	1 , 	7 , 	9 , 	294 ,,,,,,,,,,,
LF, 	-   , 	1 , 	1 , 	1 , 	1 , 	0 , 	4 , 	2 , 	1 , 	1 , 	2 , 	-   , 	1 , 	0 , 	-   , 	0 , 	0 , 	-   , 	30 , 	9 , 	6 , 	1 , 	1 , 	2 , 	1 , 	5 , 	3 , 	6 , 	4 , 	2 , 	2 , 	-   , 	0 , 	0 , 	0 , 	-   , 	1 , 	1 , 	7 , 	-   , 	0 , 	6 , 	0 , 	-   , 	2 , 	-   , 	0 , 	0 , 	1 , 	1 , 	109 ,,,,,,,,,,,
OR, 	0 , 	1 , 	2 , 	1 , 	2 , 	0 , 	3 , 	3 , 	2 , 	1 , 	2 , 	-   , 	0 , 	1 , 	0 , 	-   , 	1 , 	0 , 	4 , 	3 , 	6 , 	1 , 	1 , 	2 , 	1 , 	5 , 	3 , 	6 , 	4 , 	5 , 	1 , 	1 , 	1 , 	1 , 	0 , 	-   , 	-   , 	1 , 	1 , 	1 , 	0 , 	2 , 	1 , 	-   , 	1 , 	-   , 	0 , 	0 , 	1 , 	1 , 	70 ,,,,,,,,,,,
