Exit stations,Entry stations->,,SATURDAY,,,Aug 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
FV, 	22 , 	27 , 	14 , 	10 , 	27 , 	24 , 	30 , 	17 , 	18 , 	18 , 	13 , 	51 , 	51 , 	74 , 	19 , 	16 , 	14 , 	17 , 	9 , 	3 , 	5 , 	5 , 	7 , 	12 , 	23 , 	55 , 	40 , 	125 , 	76 , 	45 , 	41 , 	7 , 	11 , 	12 , 	3 , 	15 , 	25 , 	2 , 	6 , 	2 , 	5 , 	4 , 	3 , 	13 , 	3 , 	13 , 	4 , 	8 , 	2 , 	7 ," 	1,051 ",,,,,,,,,,
CL, 	14 , 	16 , 	5 , 	4 , 	14 , 	10 , 	18 , 	12 , 	17 , 	18 , 	42 , 	4 , 	26 , 	36 , 	13 , 	7 , 	7 , 	7 , 	4 , 	3 , 	4 , 	0 , 	1 , 	3 , 	17 , 	28 , 	22 , 	51 , 	33 , 	21 , 	17 , 	7 , 	7 , 	7 , 	2 , 	7 , 	10 , 	0 , 	4 , 	2 , 	2 , 	5 , 	0 , 	5 , 	5 , 	5 , 	2 , 	6 , 	1 , 	4 , 	553 ,,,,,,,,,,
SL, 	8 , 	9 , 	4 , 	5 , 	11 , 	8 , 	13 , 	14 , 	19 , 	36 , 	47 , 	28 , 	4 , 	33 , 	12 , 	7 , 	13 , 	8 , 	2 , 	1 , 	3 , 	1 , 	1 , 	5 , 	11 , 	30 , 	31 , 	62 , 	29 , 	20 , 	13 , 	6 , 	7 , 	9 , 	1 , 	10 , 	13 , 	0 , 	2 , 	1 , 	2 , 	5 , 	2 , 	9 , 	1 , 	2 , 	2 , 	4 , 	2 , 	3 , 	570 ,,,,,,,,,,
BF, 	9 , 	17 , 	4 , 	4 , 	14 , 	6 , 	17 , 	16 , 	25 , 	34 , 	77 , 	44 , 	47 , 	6 , 	12 , 	10 , 	9 , 	11 , 	6 , 	2 , 	2 , 	1 , 	2 , 	2 , 	15 , 	33 , 	32 , 	65 , 	35 , 	22 , 	18 , 	5 , 	10 , 	6 , 	2 , 	12 , 	31 , 	2 , 	4 , 	1 , 	2 , 	5 , 	1 , 	10 , 	3 , 	3 , 	3 , 	6 , 	1 , 	3 , 	705 ,,,,,,,,,,
HY, 	4 , 	8 , 	1 , 	1 , 	5 , 	3 , 	4 , 	6 , 	6 , 	9 , 	20 , 	11 , 	12 , 	12 , 	3 , 	9 , 	12 , 	17 , 	5 , 	1 , 	2 , 	-   , 	0 , 	2 , 	3 , 	9 , 	5 , 	20 , 	6 , 	7 , 	6 , 	2 , 	2 , 	3 , 	-   , 	3 , 	4 , 	0 , 	2 , 	1 , 	-   , 	1 , 	1 , 	4 , 	0 , 	5 , 	4 , 	7 , 	0 , 	2 , 	252 ,,,,,,,,,,
SH, 	2 , 	3 , 	3 , 	0 , 	3 , 	1 , 	4 , 	3 , 	3 , 	3 , 	14 , 	7 , 	6 , 	10 , 	8 , 	5 , 	17 , 	23 , 	1 , 	1 , 	0 , 	0 , 	-   , 	1 , 	1 , 	5 , 	6 , 	11 , 	7 , 	3 , 	3 , 	1 , 	3 , 	3 , 	1 , 	2 , 	2 , 	0 , 	1 , 	-   , 	2 , 	1 , 	1 , 	1 , 	1 , 	7 , 	9 , 	11 , 	0 , 	1 , 	201 ,,,,,,,,,,
UC, 	3 , 	4 , 	1 , 	1 , 	6 , 	4 , 	3 , 	3 , 	8 , 	5 , 	11 , 	10 , 	10 , 	7 , 	9 , 	9 , 	6 , 	15 , 	2 , 	1 , 	2 , 	0 , 	0 , 	-   , 	2 , 	10 , 	8 , 	15 , 	7 , 	5 , 	5 , 	1 , 	2 , 	2 , 	1 , 	1 , 	7 , 	0 , 	1 , 	0 , 	0 , 	3 , 	0 , 	3 , 	1 , 	7 , 	5 , 	12 , 	0 , 	0 , 	218 ,,,,,,,,,,
FM, 	3 , 	3 , 	0 , 	1 , 	4 , 	2 , 	5 , 	4 , 	4 , 	7 , 	13 , 	7 , 	8 , 	11 , 	15 , 	17 , 	9 , 	5 , 	1 , 	2 , 	0 , 	0 , 	-   , 	0 , 	0 , 	9 , 	10 , 	12 , 	7 , 	5 , 	3 , 	1 , 	4 , 	2 , 	1 , 	1 , 	4 , 	-   , 	0 , 	0 , 	0 , 	2 , 	1 , 	2 , 	1 , 	6 , 	10 , 	13 , 	1 , 	2 , 	217 ,,,,,,,,,,
CN, 	5 , 	5 , 	4 , 	2 , 	5 , 	2 , 	15 , 	8 , 	13 , 	3 , 	8 , 	6 , 	3 , 	7 , 	4 , 	2 , 	1 , 	1 , 	9 , 	14 , 	45 , 	26 , 	12 , 	8 , 	4 , 	25 , 	18 , 	43 , 	15 , 	15 , 	14 , 	4 , 	7 , 	4 , 	2 , 	0 , 	2 , 	5 , 	30 , 	1 , 	2 , 	8 , 	2 , 	1 , 	2 , 	1 , 	1 , 	2 , 	18 , 	20 , 	455 ,,,,,,,,,,
PH, 	1 , 	1 , 	1 , 	4 , 	3 , 	1 , 	5 , 	8 , 	8 , 	1 , 	4 , 	4 , 	1 , 	2 , 	1 , 	1 , 	1 , 	1 , 	20 , 	3 , 	17 , 	9 , 	3 , 	10 , 	2 , 	21 , 	18 , 	28 , 	15 , 	9 , 	3 , 	2 , 	3 , 	4 , 	1 , 	0 , 	0 , 	3 , 	13 , 	1 , 	3 , 	10 , 	1 , 	1 , 	4 , 	0 , 	1 , 	1 , 	7 , 	7 , 	266 ,,,,,,,,,,
