Muni Fast Pass Adult/Clipper OD,,,,,,Oct 12,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,56,28,99,109,420,758,671,"1,002","3,142"
MT,33,51,56,108,506,966,936,"1,822","4,478"
PL,152,85,49,79,438,661,532,"1,537","3,533"
CC,90,95,81,33,242,449,368,903,"2,260"
16,364,404,538,268,17,140,162,417,"2,309"
24,592,733,799,436,148,19,122,439,"3,288"
GP,579,682,670,333,166,136,14,98,"2,678"
BP,861,"1,081","2,044",850,413,461,104,54,"5,869"
Entries,"2,728","3,159","4,336","2,216","2,351","3,590","2,909","6,270","27,557"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,13,38,31,162,201,150,296,909
MT,12,14,22,19,172,250,236,788,"1,512"
PL,51,17,51,36,416,580,437,"1,194","2,781"
CC,21,14,37,35,181,267,145,324,"1,023"
16,122,99,437,178,16,120,126,249,"1,346"
24,170,161,648,263,106,30,99,260,"1,737"
GP,115,134,500,126,109,92,18,40,"1,131"
BP,241,315,"1,482",290,238,232,40,44,"2,881"
Entries,751,765,"3,215",977,"1,399","1,772","1,250","3,194","13,321"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,4,25,23,92,124,90,183,567
MT,4,16,13,13,99,153,154,507,959
PL,25,8,49,29,281,401,289,808,"1,889"
CC,18,10,32,29,147,211,126,291,863
16,92,54,337,162,21,85,85,190,"1,024"
24,129,100,486,210,85,31,73,174,"1,287"
GP,100,86,387,121,92,81,19,33,919
BP,180,200,"1,172",244,167,162,31,37,"2,192"
Entries,574,479,"2,501",829,982,"1,247",866,"2,222","9,700"
