Exit stations,Entry stations->,,SUNDAY,,,Oct 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	10 , 	47 , 	52 , 	47 , 	149 , 	62 , 	60 , 	37 , 	50 , 	32 , 	71 , 	85 , 	18 , 	19 , 	15 , 	11 , 	9 , 	21 , 	16 , 	7 , 	11 , 	7 , 	5 , 	15 , 	17 , 	127 , 	71 , 	220 , 	108 , 	63 , 	61 , 	20 , 	33 , 	22 , 	9 , 	4 , 	13 , 	2 , 	24 , 	6 , 	10 , 	26 , 	15 , 	3 ," 	1,705 ",,,Eastbay," 	36,514 ",,SF CBD," 	105,839 ",61.7%,,,
EN, 	57 , 	15 , 	52 , 	42 , 	264 , 	80 , 	100 , 	59 , 	96 , 	39 , 	96 , 	200 , 	20 , 	30 , 	29 , 	18 , 	12 , 	42 , 	23 , 	13 , 	19 , 	9 , 	7 , 	25 , 	21 , 	330 , 	200 , 	453 , 	194 , 	70 , 	68 , 	28 , 	47 , 	39 , 	17 , 	12 , 	14 , 	4 , 	34 , 	11 , 	15 , 	71 , 	23 , 	4 ," 	2,998 ",,,Westbay," 	52,873 ",,non-CBD," 	58,964 ",34.4%,,,
EP, 	58 , 	46 , 	8 , 	42 , 	285 , 	66 , 	65 , 	50 , 	64 , 	33 , 	48 , 	92 , 	11 , 	12 , 	10 , 	5 , 	8 , 	20 , 	10 , 	8 , 	11 , 	7 , 	3 , 	25 , 	9 , 	209 , 	134 , 	260 , 	185 , 	53 , 	31 , 	22 , 	20 , 	18 , 	4 , 	3 , 	9 , 	1 , 	9 , 	2 , 	3 , 	47 , 	12 , 	4 ," 	2,015 ",,,Transbay," 	84,730 ",,,,,,,
NB, 	46 , 	33 , 	36 , 	15 , 	86 , 	36 , 	57 , 	50 , 	63 , 	31 , 	52 , 	77 , 	16 , 	13 , 	10 , 	6 , 	9 , 	29 , 	12 , 	9 , 	14 , 	9 , 	8 , 	22 , 	11 , 	283 , 	197 , 	316 , 	274 , 	105 , 	66 , 	32 , 	28 , 	17 , 	8 , 	3 , 	9 , 	3 , 	11 , 	4 , 	6 , 	87 , 	20 , 	5 ," 	2,220 ",,,,,,,,,,,
BK, 	159 , 	234 , 	266 , 	93 , 	37 , 	165 , 	191 , 	196 , 	183 , 	81 , 	148 , 	213 , 	57 , 	60 , 	59 , 	29 , 	62 , 	253 , 	38 , 	49 , 	68 , 	36 , 	35 , 	39 , 	50 , 	469 , 	291 , 	812 , 	520 , 	209 , 	148 , 	74 , 	55 , 	70 , 	13 , 	10 , 	57 , 	7 , 	40 , 	15 , 	15 , 	245 , 	99 , 	18 ," 	5,964 ",,,,,,,,,,,
AS, 	75 , 	82 , 	59 , 	41 , 	148 , 	12 , 	77 , 	80 , 	78 , 	48 , 	80 , 	95 , 	25 , 	27 , 	24 , 	9 , 	15 , 	35 , 	12 , 	7 , 	16 , 	9 , 	4 , 	15 , 	33 , 	197 , 	151 , 	302 , 	292 , 	148 , 	98 , 	29 , 	19 , 	16 , 	4 , 	6 , 	10 , 	4 , 	18 , 	6 , 	4 , 	64 , 	18 , 	5 ," 	2,491 ",,,,,,,,,,,
MA, 	62 , 	89 , 	65 , 	51 , 	190 , 	84 , 	18 , 	61 , 	74 , 	34 , 	105 , 	162 , 	39 , 	53 , 	30 , 	21 , 	20 , 	38 , 	37 , 	28 , 	47 , 	19 , 	19 , 	49 , 	53 , 	391 , 	259 , 	561 , 	488 , 	246 , 	151 , 	41 , 	53 , 	32 , 	8 , 	9 , 	17 , 	12 , 	61 , 	7 , 	10 , 	122 , 	22 , 	9 ," 	3,943 ",,,,,,,,,,,
19, 	40 , 	47 , 	44 , 	55 , 	182 , 	79 , 	64 , 	19 , 	13 , 	16 , 	67 , 	108 , 	31 , 	40 , 	34 , 	17 , 	17 , 	32 , 	27 , 	20 , 	30 , 	14 , 	13 , 	67 , 	35 , 	228 , 	203 , 	400 , 	313 , 	171 , 	111 , 	31 , 	27 , 	27 , 	7 , 	6 , 	15 , 	10 , 	43 , 	6 , 	9 , 	65 , 	17 , 	6 ," 	2,796 ",,,,,,,,,,,
12, 	54 , 	74 , 	50 , 	50 , 	173 , 	70 , 	64 , 	17 , 	16 , 	18 , 	76 , 	172 , 	53 , 	67 , 	52 , 	25 , 	24 , 	41 , 	43 , 	25 , 	34 , 	20 , 	22 , 	55 , 	44 , 	278 , 	251 , 	534 , 	274 , 	125 , 	94 , 	37 , 	47 , 	38 , 	14 , 	6 , 	18 , 	11 , 	51 , 	7 , 	8 , 	117 , 	33 , 	4 ," 	3,281 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	33 , 	42 , 	31 , 	29 , 	79 , 	53 , 	36 , 	18 , 	19 , 	11 , 	137 , 	149 , 	103 , 	102 , 	71 , 	34 , 	37 , 	55 , 	9 , 	15 , 	16 , 	7 , 	9 , 	21 , 	32 , 	256 , 	226 , 	488 , 	289 , 	142 , 	115 , 	34 , 	48 , 	37 , 	6 , 	47 , 	64 , 	3 , 	19 , 	5 , 	4 , 	31 , 	8 , 	27 ," 	2,994 ",,,Dtwn SF," 	2,036 "," 	7,492 "," 	14,383 "," 	6,619 "," 	7,862 "," 	9,567 "," 	5,864 "," 	53,822 "
FV, 	81 , 	92 , 	44 , 	51 , 	154 , 	88 , 	116 , 	76 , 	83 , 	142 , 	25 , 	287 , 	163 , 	205 , 	161 , 	90 , 	63 , 	107 , 	42 , 	16 , 	28 , 	13 , 	16 , 	40 , 	82 , 	341 , 	229 , 	558 , 	317 , 	143 , 	124 , 	31 , 	68 , 	47 , 	10 , 	50 , 	73 , 	12 , 	60 , 	7 , 	15 , 	58 , 	19 , 	41 ," 	4,465 ",,,OAK," 	7,347 ", 	836 ," 	2,050 "," 	1,861 ", 	919 ," 	2,448 ", 	558 ," 	16,019 "
CL, 	67 , 	193 , 	76 , 	62 , 	207 , 	72 , 	124 , 	80 , 	152 , 	122 , 	247 , 	14 , 	273 , 	289 , 	157 , 	98 , 	137 , 	294 , 	80 , 	85 , 	82 , 	56 , 	49 , 	45 , 	78 , 	325 , 	173 , 	481 , 	222 , 	72 , 	67 , 	41 , 	66 , 	74 , 	13 , 	115 , 	519 , 	35 , 	125 , 	13 , 	16 , 	52 , 	38 , 	127 ," 	5,707 ",,,CM line," 	14,374 "," 	2,029 "," 	4,924 "," 	1,760 "," 	1,428 "," 	1,964 "," 	2,439 "," 	28,917 "
