Avg Saturday Trip OD																																																			
																																																			
2025 / 01																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	13	44	47	24	158	34	52	34	36	15	39	26	11	7	14	9	5	5	9	3	11	9	4	8	12	85	56	164	69	57	75	12	18	16	11	2	6	2	4	6	9	40	11	2	7	4	2	3	6	6	"1,297"
EN	45	14	42	24	173	42	65	54	73	15	57	19	21	22	15	11	10	8	12	4	15	6	3	11	12	160	116	290	111	71	60	23	19	20	17	3	9	2	10	5	10	53	16	2	12	7	3	5	12	18	"1,820"
EP	58	35	7	26	144	36	37	50	38	13	19	8	13	7	7	4	4	7	7	4	10	5	4	13	5	97	78	131	81	42	37	10	9	10	4	3	7	1	2	2	3	25	9	1	9	2	1	4	7	8	"1,139"
NB	27	25	31	5	45	20	24	46	25	10	24	7	12	7	9	3	3	6	4	6	12	5	2	5	4	142	88	144	98	70	43	12	6	9	3	1	4	2	3	2	3	50	8	3	11	3		1	8	11	"1,084"
BK	175	182	158	55	29	69	91	114	101	41	71	37	47	27	31	24	30	33	16	14	35	12	19	10	24	363	195	349	183	130	79	41	26	31	7	8	20	3	11	6	9	165	35	9	63	19	4	5	40	64	"3,309"
AS	23	31	22	15	55	7	19	37	27	11	30	8	8	6	10	5	6	4	5	4	4	4	1	3	8	91	53	99	72	66	40	8	9	8	3	3	5	1	1	2	2	22	6	3	7	5	2	3	8	12	874
MA	62	58	42	32	81	32	13	56	50	16	62	40	33	18	18	10	12	11	36	22	34	13	21	33	19	197	111	235	179	151	101	28	17	13	6	3	12	4	21	4	6	59	11	6	5	10	7	22	10	20	"2,052"
19	39	48	51	50	116	51	52	13	9	8	30	24	38	32	39	9	12	19	27	27	41	26	17	47	25	236	160	299	203	142	112	36	25	20	6	5	12	7	10	6	10	45	17	5	9	9	3	14	12	31	"2,278"
12	42	66	42	27	97	37	41	8	16	8	34	31	43	36	34	11	16	24	25	26	34	16	11	34	31	222	124	290	182	105	81	28	24	27	10	4	8	8	10	9	15	59	24	3	9	7	5	11	12	17	"2,079"
LM	13	15	12	12	37	15	16	8	8	8	62	48	98	85	36	22	21	18	2	3	7	1	2	7	15	160	95	207	112	83	61	19	25	16	3	32	39	1	3	1	4	11	3	20	10	13	2	3	16	33	"1,533"
FV	50	39	19	23	80	39	47	44	32	44	20	70	82	91	84	39	27	34	12	8	9	8	5	17	40	150	123	241	142	100	92	23	30	23	6	27	59	1	10	3	5	19	9	28	6	21	2	10	17	36	"2,138"
CL	32	24	6	5	34	13	33	31	34	41	55	12	37	46	53	22	13	13	7	6	6	3	1	5	26	66	48	121	58	33	37	11	12	16	4	10	35	1	6	4	5	7	2	10	7	16	5	10	16	17	"1,106"
SL	14	23	14	13	54	15	33	40	45	84	96	44	11	54	64	30	23	25	8	6	9	1	1	12	19	124	88	235	88	47	37	14	21	14	4	22	40	2	4	6	7	11	4	23	5	17	3	5	21	18	"1,592"
BF	7	19	8	10	27	9	25	34	40	79	89	55	55	9	50	33	21	25	7	3	5	2	1	3	22	99	69	224	64	32	33	7	16	16	5	13	43	1	4	3	4	11	3	35	2	19	5	5	13	24	"1,380"
HY	12	17	9	13	30	10	23	40	35	38	76	53	63	47	16	39	53	72	9	3	4	2	0	4	13	57	44	88	48	20	25	5	10	12	5	4	31	1	5	3	3	7	5	13	4	31	2	4	38	39	"1,180"
SH	9	11	5	4	24	5	10	13	15	20	41	25	29	30	32	8	21	39	3	2	3	2	1	2	5	52	27	59	32	14	17	4	5	11	2	7	17	0	2	2	2	5	1	12	1	28	1	2	20	31	708
UC	5	12	4	4	32	6	10	19	14	24	27	11	19	26	52	22	10	24	3	2	4	1	1	3	6	73	46	96	50	20	11	4	7	8	3	7	19	1	2	0	2	8	2	6	5	35	1	2	36	38	819
FM	4	9	5	8	38	8	9	17	18	22	36	12	23	31	65	37	29	13	2	2	2	1	2	3	5	102	46	87	54	23	19	7	6	10	2	8	17	1	3	1	2	10	2	6	6	25	1	6	56	54	948
CN	10	12	6	7	17	3	31	30	27	4	13	8	7	7	7	3	3	3	17	33	104	64	18	28	10	104	55	118	54	22	23	12	12	12	2	3	6	9	59	5	6	47	4	2	8	2	42	43	4	9	"1,130"
PH	4	4	5	4	11	7	20	23	25	3	7	6	6	4	3	3	2	2	39	10	40	22	8	33	7	126	65	135	70	25	17	4	10	8	2	2	5	5	25	3	2	64	3	3	13	3	11	19	3	5	921
WC	12	16	13	13	34	10	40	39	37	5	14	5	8	6	5	4	3	4	116	49	11	30	24	71	6	191	83	169	111	42	30	11	13	14	3	0	3	9	45	7	4	79	5	1	11	1	17	35	4	7	"1,462"
LF	10	7	6	4	14	4	15	22	18	1	5	2	3	3	2	2	1	2	84	23	29	6	5	30	1	104	50	87	67	31	21	7	8	3	1	0		5	8	1	1	33	2	1	4	1	8	7	2	1	743
OR	3	2	2	3	11	2	16	17	11	1	8	1	2	1	0	1	1	1	16	6	23	5	4	25	3	99	45	85	56	21	16	5	4	3	2		1	1	5	3	2	27	1		4		1	5	1	2	548
RR	11	7	14	9	14	4	32	54	42	6	22	5	9	6	5	2	3	3	27	30	68	30	31	11	14	207	123	188	141	89	62	22	9	9	4	2	2	3	8	3	3	65	4	0	6	1	4	13	1	4	"1,426"
OW	9	11	4	5	21	12	19	23	32	15	44	27	16	23	13	7	5	4	9	5	8	2	2	15	17	340	232	495	276	190	116	19	29	19	4	4	9	3	7	4	9	57	8	3	3	2	4	4	1	7	"2,186"
EM	97	175	102	159	457	138	249	310	260	148	176	76	132	120	68	60	77	89	108	136	224	120	110	244	401	90	17	81	66	223	282	140	187	159	38	69	269	26	68	46	43	187	78	87	29	61	11	51	59	65	"6,660"
MT	70	138	87	107	263	94	146	204	172	110	145	49	113	94	52	38	55	55	65	77	92	51	55	157	271	16	58	23	40	182	259	136	263	176	55	66	118	12	54	39	33	150	49	38	21	22	10	37	38	43	"4,693"
PL	149	243	126	131	279	110	204	276	246	164	232	110	189	183	85	54	80	74	105	129	152	92	84	164	530	86	19	114	66	461	560	346	564	446	128	83	231	24	117	117	107	524	118	68	27	35	16	82	55	72	"8,652"
CC	75	114	76	124	190	93	169	202	167	124	151	59	92	61	35	39	51	56	61	78	116	80	69	163	301	95	33	75	65	178	263	150	178	254	83	44	167	17	39	73	84	208	130	71	12	25	12	40	44	51	"5,130"
16	52	71	39	71	117	79	136	152	125	66	103	36	41	28	24	13	21	20	19	26	46	32	21	97	196	222	165	473	189	30	99	128	174	197	60	17	41	6	21	50	57	121	84	17	6	6	7	15	11	20	"3,839"
24	74	58	40	50	86	68	128	125	79	49	92	39	35	34	24	19	11	19	31	17	37	13	15	72	150	265	198	627	265	90	23	145	142	188	64	15	33	6	22	49	63	97	76	7	8	3	6	16	9	17	"3,793"
GP	12	20	6	18	47	12	24	36	27	17	16	8	12	4	7	5	2	7	11	5	11	9	7	19	29	128	101	354	141	116	128	15	19	30	28	8	11	4	8	13	28	66	37	6	3	2	1	6	3	4	"1,626"
