Avg Weekday Trip OD																																																			
																																																			
2025 / 01																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	13	71	66	39	252	58	85	68	86	22	57	43	25	12	21	10	10	8	17	5	13	11	9	15	21	206	154	237	176	103	120	30	37	40	15	2	9	5	8	10	14	48	11	5	7	10	5	11	7	12	"2,318"
EN	76	17	69	48	381	77	119	140	197	45	78	51	39	21	28	13	14	18	21	12	19	7	7	20	24	400	349	430	326	140	103	40	44	55	11	5	15	4	9	11	18	62	28	7	17	18	4	8	14	18	"3,675"
EP	74	55	8	33	289	50	65	85	114	29	28	19	16	12	10	4	9	10	8	8	14	7	6	17	5	250	216	153	152	51	35	17	18	20	3	4	7	2	3	5	7	44	11	5	11	8	1	4	7	11	"2,019"
NB	41	45	29	7	79	27	38	70	78	17	36	14	16	8	12	4	7	10	11	11	13	3	3	9	6	289	225	130	169	68	37	16	12	11	3	2	5	2	3	2	4	60	12	1	14	6	1	4	6	7	"1,683"
BK	275	399	288	90	24	144	165	218	212	88	139	82	69	57	63	34	53	53	50	45	54	24	17	13	37	383	283	289	248	137	114	54	43	40	15	17	35	11	30	13	15	146	41	12	38	23	7	25	45	54	"4,813"
AS	39	63	47	28	117	6	31	55	70	19	44	22	14	12	12	9	9	7	5	8	6	4	3	4	9	211	186	123	133	64	33	15	14	13	3	2	8	3	6	3	4	28	11	3	7	5	1	6	8	10	"1,541"
MA	96	109	62	40	158	37	17	80	102	27	93	68	57	34	43	25	22	28	77	57	71	25	24	32	31	460	351	304	317	176	109	39	37	32	10	8	25	19	71	11	12	65	19	13	12	21	15	70	23	25	"3,658"
19	78	134	88	74	202	73	76	14	22	14	54	73	76	61	65	32	48	53	81	90	89	49	35	65	36	563	435	369	384	198	140	64	54	51	13	15	43	21	42	18	28	53	33	22	13	33	10	56	33	40	"4,412"
12	89	197	107	77	203	84	94	23	24	10	68	76	119	88	78	58	67	72	106	122	97	56	40	74	46	543	391	420	375	166	132	67	74	69	32	20	78	37	76	32	29	76	38	32	15	23	20	74	30	39	"4,962"
LM	22	38	27	16	86	23	25	16	11	11	88	94	171	127	77	55	53	48	11	8	12	3	4	10	15	301	240	248	226	96	69	28	36	31	4	53	101	4	11	4	4	14	2	51	11	36	8	14	26	30	"2,700"
FV	64	70	25	33	138	51	97	63	69	84	25	135	154	135	146	63	53	50	23	12	18	9	15	28	69	365	307	365	353	160	126	37	47	57	5	36	93	7	14	8	14	29	8	33	6	47	9	17	39	42	"3,852"
CL	46	48	16	15	79	31	77	75	78	87	130	17	76	89	98	45	45	36	18	14	10	6	4	12	51	164	127	188	158	66	70	23	26	45	7	26	60	3	17	7	7	15	9	24	9	37	8	26	33	39	"2,396"
SL	28	36	14	16	67	25	62	87	128	171	165	82	13	79	116	73	57	80	16	12	13	3	4	15	29	337	324	292	257	83	65	22	37	49	4	31	98	4	9	9	8	20	5	37	7	50	4	14	41	38	"3,236"
BF	15	20	11	10	54	13	39	66	88	129	142	90	79	15	62	51	50	63	13	2	9	2	2	10	23	254	247	289	199	68	49	17	25	32	3	26	75	2	6	8	8	11	4	41	4	42	3	5	27	32	"2,539"
HY	19	29	11	13	59	15	45	67	83	70	143	100	122	62	21	61	119	139	16	9	9	3	2	10	24	159	134	131	102	43	23	12	17	19	3	9	46	3	8	6	6	10	8	19	5	81	5	11	61	59	"2,233"
SH	10	12	4	4	32	10	24	34	56	52	59	45	62	51	51	15	54	72	5	5	6	1	1	2	9	126	101	94	97	24	31	4	12	10	2	11	23	1	4	3	1	5	3	13	3	74	2	4	36	39	"1,397"
UC	11	14	9	10	56	11	26	49	71	52	54	45	57	54	114	51	15	62	7	5	12	1	2	4	11	209	184	104	89	30	14	6	11	14	3	10	34	1	4	2	2	10	2	14	7	78	1	4	69	61	"1,768"
FM	9	19	9	11	50	10	27	54	71	49	51	35	79	64	134	75	61	17	9	4	6	0	3	5	7	256	192	99	90	33	15	7	9	14	2	14	30	1	4	2	4	16	2	14	8	69	1	7	87	88	"1,924"
CN	17	22	9	12	50	10	83	76	106	13	23	20	17	11	17	5	7	11	19	57	147	82	28	49	12	296	258	217	203	56	49	22	26	32	6	4	5	30	119	10	12	60	12	3	13	2	64	94	9	6	"2,512"
PH	6	10	9	11	47	8	60	92	117	7	12	15	10	3	9	6	4	3	57	10	64	30	16	53	9	499	440	208	208	61	38	26	16	25	6	2	3	15	41	9	8	77	9	3	15	6	21	39	5	7	"2,454"
