Total Trip OD																																																			
																																																			
2025 / 01																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	410	"1,843"	"1,805"	"1,039"	"6,648"	"1,474"	"2,199"	"1,718"	"2,140"	601	"1,509"	"1,135"	619	325	565	271	248	205	466	124	375	328	217	390	540	"5,150"	"3,737"	"6,486"	"4,298"	"2,681"	"3,078"	737	918	986	404	65	261	125	213	263	389	"1,411"	308	123	215	232	128	284	192	326	"60,204"
EN	"1,978"	474	"1,797"	"1,215"	"9,425"	"1,959"	"3,032"	"3,362"	"4,689"	"1,116"	"2,095"	"1,227"	979	597	709	361	354	451	585	293	531	209	171	538	617	"9,758"	"8,318"	"11,516"	"7,773"	"3,511"	"2,629"	"1,008"	"1,105"	"1,328"	350	132	369	92	275	306	464	"1,816"	713	174	483	449	97	221	403	540	"92,594"
EP	"2,051"	"1,475"	219	936	"7,330"	"1,324"	"1,698"	"2,137"	"2,716"	737	747	468	430	310	266	112	226	288	240	217	393	192	158	467	148	"6,052"	"5,166"	"4,247"	"3,785"	"1,393"	985	443	443	479	103	98	212	57	75	117	168	"1,250"	308	115	330	182	26	110	187	291	"51,907"
NB	"1,100"	"1,161"	866	204	"1,976"	731	"1,006"	"1,843"	"1,897"	450	932	347	413	231	320	113	171	270	284	276	370	105	95	245	166	"7,174"	"5,430"	"3,798"	"4,337"	"1,969"	"1,062"	443	280	301	95	56	162	59	74	62	106	"1,741"	311	39	442	151	16	88	201	257	"44,226"
BK	"7,247"	"9,882"	"7,365"	"2,275"	727	"3,596"	"4,204"	"5,547"	"5,339"	"2,176"	"3,498"	"2,048"	"1,822"	"1,427"	"1,588"	884	"1,359"	"1,398"	"1,189"	"1,068"	"1,400"	596	486	360	962	"11,011"	"7,559"	"8,926"	"6,828"	"3,883"	"3,037"	"1,486"	"1,105"	"1,110"	382	432	956	252	719	320	394	"5,349"	"1,219"	322	"1,643"	656	175	574	"1,381"	"1,865"	"130,027"
AS	999	"1,594"	"1,157"	726	"2,914"	184	807	"1,449"	"1,745"	482	"1,178"	527	363	304	335	216	227	193	145	196	166	114	80	111	255	"5,177"	"4,383"	"3,445"	"3,427"	"1,852"	"1,001"	385	359	340	75	64	197	63	134	89	89	853	281	82	236	129	32	157	215	332	"39,864"
MA	"2,518"	"2,770"	"1,633"	"1,088"	"4,024"	"1,032"	468	"2,107"	"2,549"	696	"2,480"	"1,717"	"1,463"	896	"1,039"	600	567	673	"1,870"	"1,374"	"1,768"	641	630	945	801	"11,321"	"8,325"	"8,325"	"8,101"	"4,808"	"3,049"	"1,030"	890	803	262	188	622	444	"1,668"	268	304	"1,955"	517	337	348	522	358	"1,693"	570	686	"93,743"
19	"1,942"	"3,165"	"2,231"	"1,948"	"5,164"	"1,944"	"1,991"	405	534	380	"1,416"	"1,767"	"1,879"	"1,525"	"1,655"	743	"1,097"	"1,282"	"1,906"	"2,076"	"2,143"	"1,198"	852	"1,724"	964	"13,814"	"10,397"	"10,162"	"9,688"	"5,280"	"3,784"	"1,603"	"1,319"	"1,226"	327	344	"1,006"	481	961	413	650	"1,640"	825	498	390	773	232	"1,280"	786	"1,056"	"110,866"
12	"2,217"	"4,661"	"2,579"	"1,886"	"5,089"	"2,114"	"2,338"	549	630	261	"1,734"	"1,850"	"2,849"	"2,126"	"1,922"	"1,321"	"1,535"	"1,691"	"2,433"	"2,770"	"2,327"	"1,299"	932	"1,870"	"1,228"	"13,263"	"9,353"	"11,341"	"9,382"	"4,336"	"3,442"	"1,662"	"1,777"	"1,663"	770	451	"1,722"	830	"1,691"	756	722	"2,345"	963	689	423	540	454	"1,659"	734	956	"122,135"
