Avg Sunday Trip OD																																																			
																																																			
2025 / 01																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	17	33	40	19	130	19	34	28	33	15	25	23	8	10	8	4	4	2	11	3	10	9	3	9	9	72	41	135	56	43	38	7	13	16	7	1	8	2	4	4	10	39	5	3	6	1	1	7	4	7	"1,030"
EN	35	11	33	17	135	26	44	35	40	23	36	13	15	10	10	8	4	6	14	4	11	6	1	13	11	104	74	200	87	47	38	14	16	15	7	3	4	2	6	7	7	53	12	4	16	8	1	3	8	17	"1,310"
EP	43	33	4	25	119	21	30	26	25	13	17	6	7	6	4	3	3	7	6	2	10	3	3	10	3	65	50	83	51	29	18	6	6	4	2	2	7	1	2	2	2	34	8	2	12	1	1	2	2	6	824
NB	18	21	21	6	26	19	22	32	25	9	15	4	6	6	5	3	2	7	5	3	8	3	2	4	4	87	56	87	82	48	22	11	2	4	2	2	6	1	1	1	1	44	8	2	15	4	0	2	8	8	776
BK	132	133	118	30	16	49	67	88	81	28	52	30	31	18	21	14	22	28	14	14	20	8	11	8	16	265	139	260	170	81	57	37	16	27	5	8	21	2	6	6	7	246	39	8	80	15	2	5	44	81	"2,670"
AS	13	27	15	16	44	3	15	26	20	9	25	7	8	5	5	2	5	4	2	4	7	2	1	2	6	64	40	84	71	42	27	8	6	6	2	1	3	1	1	2	1	26	6	3	9	2		1	4	9	687
MA	41	41	27	21	70	25	9	36	33	14	46	23	24	16	10	6	10	7	17	15	26	10	9	25	14	147	81	178	131	86	64	18	8	13	3	4	7	5	16	3	5	55	11	8	11	6	5	20	8	13	"1,475"
19	29	21	31	35	80	37	32	9	8	9	28	23	22	21	23	8	8	14	16	14	20	11	7	31	18	172	98	206	147	98	73	21	13	13	4	3	10	3	7	4	3	52	9	2	15	6	2	8	8	17	"1,546"
12	32	43	28	22	76	25	30	7	13	4	21	18	29	19	22	8	10	16	18	16	24	11	7	31	20	160	103	237	144	74	52	24	20	21	9	4	7	4	6	8	8	88	13	2	9	4	3	9	9	13	"1,575"
LM	15	26	11	8	31	14	15	10	4	7	66	44	68	52	26	23	16	19	5	5	5	0	2	3	18	118	77	165	109	65	61	18	22	17	3	20	36	2	3	3	2	15	3	10	13	14	2	3	13	22	"1,303"
FV	25	36	18	16	57	32	45	31	23	61	14	58	57	74	72	30	21	25	9	6	9	5	4	17	32	106	76	207	128	71	66	18	19	23	2	18	52	1	6	2	8	19	5	25	6	8	3	8	13	26	"1,687"
CL	18	17	4	3	24	8	23	22	20	38	48	12	24	40	35	18	7	8	7	3	4	2	1	4	20	50	35	91	53	31	32	8	6	11	2	9	26	1	4	2	3	13	3	5	9	11	2	8	7	16	842
SL	9	13	6	5	32	11	23	28	26	75	64	25	8	34	52	18	13	10	8	3	5	1	1	8	10	93	68	152	69	25	22	9	10	17	2	15	32	1	3	3	3	14	2	15	7	8	2	3	13	21	"1,093"
BF	7	11	6	5	16	7	16	19	26	54	77	37	35	8	43	20	15	22	7	2	6	2	0	4	10	73	54	161	56	21	20	3	7	10	2	11	40	1	3	2	4	11	3	31	4	14	2	5	15	17	"1,016"
