Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Sep 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	72 , 	64 , 	33 , 	162 , 	64 , 	54 , 	26 , 	47 , 	24 , 	70 , 	117 , 	15 , 	19 , 	15 , 	11 , 	8 , 	19 , 	18 , 	6 , 	11 , 	2 , 	1 , 	8 , 	13 , 	63 , 	46 , 	139 , 	75 , 	54 , 	89 , 	16 , 	29 , 	17 , 	19 , 	1 , 	8 , 	3 , 	16 ," 	1,461 ",,,Eastbay," 	37,150 ",,SF CBD," 	64,166 ",55.9%,,
EN, 	78 , 	10 , 	56 , 	45 , 	291 , 	85 , 	69 , 	56 , 	114 , 	32 , 	53 , 	243 , 	17 , 	20 , 	21 , 	11 , 	20 , 	32 , 	16 , 	10 , 	12 , 	4 , 	3 , 	9 , 	16 , 	182 , 	141 , 	310 , 	131 , 	40 , 	69 , 	20 , 	44 , 	24 , 	32 , 	5 , 	14 , 	2 , 	16 ," 	2,353 ",,,Westbay," 	26,015 ",,non-CBD," 	50,557 ",44.1%,,
EP, 	64 , 	40 , 	8 , 	26 , 	236 , 	37 , 	30 , 	23 , 	53 , 	21 , 	30 , 	203 , 	9 , 	7 , 	8 , 	6 , 	7 , 	23 , 	8 , 	6 , 	7 , 	7 , 	4 , 	13 , 	4 , 	101 , 	80 , 	153 , 	84 , 	18 , 	22 , 	8 , 	6 , 	13 , 	12 , 	3 , 	7 , 	0 , 	6 ," 	1,391 ",,,Transbay," 	51,558 ",,,,,,
NB, 	32 , 	43 , 	27 , 	5 , 	89 , 	38 , 	29 , 	32 , 	75 , 	25 , 	27 , 	182 , 	8 , 	10 , 	6 , 	2 , 	4 , 	16 , 	6 , 	6 , 	7 , 	5 , 	5 , 	11 , 	10 , 	145 , 	94 , 	192 , 	144 , 	42 , 	35 , 	14 , 	11 , 	12 , 	10 , 	2 , 	11 , 	1 , 	5 ," 	1,419 ",,,,,,,,,,
BK, 	176 , 	251 , 	214 , 	82 , 	16 , 	155 , 	122 , 	145 , 	242 , 	75 , 	118 , 	261 , 	49 , 	43 , 	48 , 	23 , 	46 , 	186 , 	30 , 	26 , 	37 , 	25 , 	16 , 	20 , 	23 , 	263 , 	200 , 	622 , 	329 , 	99 , 	96 , 	43 , 	35 , 	65 , 	43 , 	17 , 	52 , 	5 , 	17 ," 	4,318 ",,,Extensions," 	16,796 ",,,,,,
AS, 	68 , 	76 , 	43 , 	36 , 	133 , 	5 , 	49 , 	55 , 	102 , 	37 , 	64 , 	157 , 	20 , 	25 , 	19 , 	7 , 	17 , 	22 , 	9 , 	6 , 	9 , 	6 , 	4 , 	7 , 	29 , 	107 , 	85 , 	199 , 	142 , 	62 , 	56 , 	12 , 	14 , 	12 , 	16 , 	1 , 	10 , 	1 , 	11 ," 	1,734 ",,,,,,,,,,
MA, 	19 , 	28 , 	14 , 	16 , 	53 , 	23 , 	4 , 	17 , 	63 , 	7 , 	68 , 	148 , 	27 , 	52 , 	98 , 	44 , 	19 , 	32 , 	10 , 	5 , 	8 , 	3 , 	4 , 	5 , 	13 , 	237 , 	161 , 	354 , 	258 , 	96 , 	89 , 	15 , 	28 , 	23 , 	9 , 	1 , 	7 , 	2 , 	22 ," 	2,081 ",,,,,,,,,,
19, 	26 , 	46 , 	24 , 	31 , 	135 , 	59 , 	23 , 	5 , 	21 , 	7 , 	41 , 	111 , 	17 , 	20 , 	23 , 	12 , 	15 , 	25 , 	24 , 	12 , 	22 , 	8 , 	6 , 	25 , 	14 , 	102 , 	85 , 	183 , 	146 , 	55 , 	41 , 	13 , 	15 , 	14 , 	16 , 	4 , 	12 , 	6 , 	23 ," 	1,465 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	55 , 	89 , 	48 , 	63 , 	192 , 	90 , 	80 , 	17 , 	11 , 	25 , 	85 , 	219 , 	70 , 	68 , 	53 , 	25 , 	39 , 	74 , 	41 , 	43 , 	48 , 	22 , 	17 , 	63 , 	31 , 	196 , 	219 , 	555 , 	228 , 	60 , 	58 , 	35 , 	40 , 	41 , 	40 , 	12 , 	19 , 	13 , 	51 ," 	3,135 ",,,Dtwn SF," 	1,137 "," 	4,181 "," 	10,726 "," 	4,444 "," 	4,605 "," 	7,889 "," 	32,981 "
LM, 	18 , 	32 , 	19 , 	25 , 	75 , 	41 , 	16 , 	6 , 	25 , 	5 , 	85 , 	263 , 	78 , 	56 , 	24 , 	15 , 	37 , 	47 , 	6 , 	5 , 	7 , 	4 , 	1 , 	12 , 	19 , 	126 , 	125 , 	309 , 	131 , 	61 , 	53 , 	20 , 	25 , 	20 , 	12 , 	25 , 	39 , 	1 , 	6 ," 	1,876 ",,,OAK," 	4,209 ", 	496 , 	999 ," 	1,314 ", 	555 ," 	2,292 "," 	9,865 "
