Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Sep 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	102 , 	79 , 	58 , 	242 , 	96 , 	82 , 	56 , 	85 , 	21 , 	74 , 	87 , 	27 , 	19 , 	22 , 	13 , 	8 , 	23 , 	19 , 	8 , 	13 , 	2 , 	10 , 	14 , 	17 , 	68 , 	68 , 	194 , 	101 , 	91 , 	142 , 	22 , 	32 , 	29 , 	24 , 	3 , 	10 , 	5 , 	21 ," 	1,995 ",,,Eastbay," 	39,652 ",,SF CBD," 	83,240 ",59.0%,,
EN, 	124 , 	9 , 	64 , 	61 , 	617 , 	111 , 	94 , 	93 , 	161 , 	38 , 	86 , 	181 , 	30 , 	33 , 	30 , 	18 , 	25 , 	37 , 	28 , 	12 , 	18 , 	5 , 	6 , 	19 , 	20 , 	223 , 	197 , 	457 , 	193 , 	71 , 	115 , 	29 , 	43 , 	55 , 	41 , 	6 , 	17 , 	4 , 	25 ," 	3,393 ",,,Westbay," 	36,492 ",,non-CBD," 	57,826 ",41.0%,,
EP, 	95 , 	58 , 	10 , 	27 , 	506 , 	64 , 	51 , 	39 , 	88 , 	25 , 	53 , 	81 , 	11 , 	8 , 	12 , 	3 , 	11 , 	22 , 	10 , 	7 , 	12 , 	4 , 	7 , 	10 , 	4 , 	138 , 	104 , 	257 , 	123 , 	30 , 	28 , 	13 , 	9 , 	17 , 	10 , 	9 , 	9 , 	4 , 	10 ," 	1,981 ",,,Transbay," 	64,922 ",,,,,,
NB, 	58 , 	61 , 	34 , 	10 , 	197 , 	42 , 	36 , 	45 , 	78 , 	24 , 	34 , 	101 , 	9 , 	13 , 	11 , 	3 , 	10 , 	24 , 	9 , 	8 , 	13 , 	4 , 	7 , 	8 , 	10 , 	145 , 	127 , 	266 , 	208 , 	61 , 	54 , 	17 , 	12 , 	13 , 	6 , 	2 , 	8 , 	1 , 	5 ," 	1,770 ",,,,,,,,,,
BK, 	252 , 	632 , 	491 , 	206 , 	20 , 	315 , 	245 , 	232 , 	341 , 	142 , 	175 , 	224 , 	124 , 	106 , 	95 , 	45 , 	103 , 	263 , 	67 , 	90 , 	105 , 	71 , 	72 , 	44 , 	42 , 	432 , 	370 ," 	1,022 ", 	531 , 	155 , 	153 , 	89 , 	50 , 	133 , 	70 , 	38 , 	127 , 	16 , 	46 ," 	7,730 ",,,Extensions," 	17,643 ",,,,,,
AS, 	99 , 	107 , 	66 , 	42 , 	263 , 	5 , 	56 , 	87 , 	116 , 	59 , 	77 , 	105 , 	27 , 	34 , 	28 , 	11 , 	13 , 	25 , 	13 , 	8 , 	10 , 	4 , 	4 , 	8 , 	40 , 	121 , 	134 , 	270 , 	208 , 	75 , 	78 , 	17 , 	18 , 	14 , 	12 , 	3 , 	12 , 	3 , 	10 ," 	2,279 ",,,,,,,,,,
MA, 	24 , 	29 , 	13 , 	12 , 	64 , 	20 , 	4 , 	11 , 	26 , 	10 , 	69 , 	108 , 	53 , 	75 , 	223 , 	84 , 	18 , 	54 , 	11 , 	8 , 	10 , 	4 , 	4 , 	5 , 	7 , 	337 , 	267 , 	509 , 	362 , 	132 , 	130 , 	31 , 	40 , 	31 , 	6 , 	2 , 	6 , 	2 , 	19 ," 	2,820 ",,,,,,,,,,
19, 	51 , 	99 , 	44 , 	42 , 	219 , 	91 , 	42 , 	11 , 	30 , 	16 , 	55 , 	95 , 	40 , 	41 , 	36 , 	21 , 	35 , 	41 , 	40 , 	27 , 	32 , 	15 , 	16 , 	49 , 	23 , 	143 , 	124 , 	295 , 	208 , 	65 , 	57 , 	23 , 	28 , 	25 , 	26 , 	6 , 	17 , 	11 , 	42 ," 	2,278 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	75 , 	154 , 	82 , 	73 , 	298 , 	113 , 	72 , 	25 , 	13 , 	26 , 	91 , 	153 , 	102 , 	92 , 	82 , 	40 , 	52 , 	98 , 	65 , 	51 , 	57 , 	33 , 	26 , 	51 , 	46 , 	244 , 	277 , 	622 , 	282 , 	89 , 	76 , 	46 , 	54 , 	64 , 	56 , 	9 , 	30 , 	17 , 	57 ," 	3,892 ",,,Dtwn SF," 	1,568 "," 	5,615 "," 	15,196 "," 	6,606 "," 	5,636 "," 	9,476 "," 	44,096 "
LM, 	23 , 	42 , 	30 , 	25 , 	114 , 	47 , 	32 , 	12 , 	26 , 	8 , 	79 , 	129 , 	111 , 	94 , 	39 , 	27 , 	46 , 	55 , 	7 , 	10 , 	9 , 	5 , 	6 , 	14 , 	16 , 	141 , 	189 , 	371 , 	173 , 	56 , 	58 , 	19 , 	41 , 	22 , 	15 , 	44 , 	54 , 	2 , 	9 ," 	2,200 ",,,OAK," 	5,711 ", 	575 ," 	1,402 "," 	1,926 ", 	756 ," 	2,731 "," 	13,101 "
