Fast Pass Adjusted OD,,,,,,Sep 02,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,67,42,128,154,511,961,769,"1,206","3,837"
MT,40,54,81,125,735,"1,242","1,082","2,314","5,674"
PL,188,108,91,113,728,"1,146",724,"2,055","5,152"
CC,126,121,117,65,437,705,521,"1,465","3,557"
16,402,566,800,472,29,188,186,570,"3,213"
24,755,954,"1,219",730,202,43,180,626,"4,709"
GP,719,882,884,479,189,186,24,130,"3,492"
BP,"1,054","1,404","2,731","1,453",556,651,131,44,"8,023"
Entries,"3,350","4,132","6,051","3,590","3,386","5,122","3,617","8,410","37,658"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,9,41,36,176,232,109,225,847
MT,7,22,23,30,312,369,326,"1,043","2,131"
PL,37,21,84,53,512,799,429,"1,077","3,011"
CC,30,22,46,43,314,427,189,532,"1,602"
16,116,180,524,325,33,134,106,256,"1,674"
24,168,219,780,432,122,59,106,298,"2,184"
GP,105,152,532,172,103,112,28,63,"1,266"
BP,216,354,"1,650",534,280,288,56,50,"3,427"
Entries,697,978,"3,679","1,625","1,851","2,419","1,348","3,544","16,141"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,4,22,18,98,143,67,137,510
MT,3,19,18,22,162,198,184,565,"1,171"
PL,27,14,75,31,411,627,318,750,"2,253"
CC,19,15,45,44,216,281,126,310,"1,057"
16,85,117,413,236,26,79,58,135,"1,148"
24,112,136,591,306,71,40,65,145,"1,466"
GP,65,92,425,120,51,56,14,21,845
BP,126,194,"1,211",278,130,155,26,27,"2,147"
Entries,460,591,"2,800","1,055","1,163","1,578",858,"2,090","10,597"
