Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Mar 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	38 , 	41 , 	10 , 	15 , 	43 , 	20 , 	21 , 	20 , 	43 , 	53 , 	92 , 	61 , 	7 , 	85 , 	53 , 	22 , 	25 , 	40 , 	9 , 	5 , 	6 , 	3 , 	2 , 	6 , 	6 , 	76 , 	62 , 	187 , 	82 , 	25 , 	26 , 	14 , 	15 , 	10 , 	9 , 	15 , 	35 , 	1 , 	10 ," 	1,295 ",,,WP line," 	3,256 ", 	584 , 	921 , 	472 ," 	1,936 ", 	652 ," 	7,821 "
BF, 	16 , 	20 , 	5 , 	6 , 	52 , 	26 , 	34 , 	29 , 	77 , 	76 , 	158 , 	90 , 	83 , 	6 , 	85 , 	60 , 	55 , 	81 , 	10 , 	5 , 	6 , 	1 , 	3 , 	7 , 	15 , 	73 , 	51 , 	166 , 	61 , 	18 , 	25 , 	11 , 	16 , 	15 , 	13 , 	28 , 	85 , 	3 , 	8 ," 	1,581 ",,,FT/ED line," 	4,595 "," 	1,624 "," 	1,257 "," 	1,757 ", 	553 ," 	4,944 "," 	14,732 "
HY, 	20 , 	23 , 	5 , 	11 , 	46 , 	21 , 	34 , 	25 , 	42 , 	28 , 	111 , 	82 , 	60 , 	89 , 	6 , 	53 , 	66 , 	100 , 	6 , 	4 , 	7 , 	1 , 	1 , 	5 , 	10 , 	38 , 	25 , 	100 , 	39 , 	20 , 	16 , 	6 , 	11 , 	10 , 	11 , 	9 , 	26 , 	2 , 	17 ," 	1,188 ",,,Entries," 	25,647 "," 	8,590 "," 	18,020 "," 	10,619 "," 	7,593 "," 	15,248 "," 	85,716 "
SH, 	9 , 	12 , 	5 , 	2 , 	22 , 	9 , 	13 , 	11 , 	21 , 	17 , 	35 , 	47 , 	27 , 	69 , 	66 , 	5 , 	27 , 	56 , 	9 , 	2 , 	4 , 	1 , 	0 , 	3 , 	2 , 	27 , 	20 , 	67 , 	22 , 	9 , 	15 , 	6 , 	9 , 	11 , 	8 , 	6 , 	18 , 	1 , 	7 , 	697 ,,,,,,,,,,
UC, 	5 , 	11 , 	7 , 	3 , 	33 , 	16 , 	14 , 	12 , 	40 , 	30 , 	39 , 	41 , 	31 , 	62 , 	75 , 	34 , 	11 , 	73 , 	6 , 	6 , 	7 , 	1 , 	1 , 	5 , 	2 , 	48 , 	37 , 	112 , 	52 , 	13 , 	12 , 	10 , 	13 , 	12 , 	10 , 	8 , 	18 , 	2 , 	13 , 	923 ,,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	17 , 	30 , 	17 , 	17 , 	102 , 	27 , 	28 , 	22 , 	65 , 	50 , 	57 , 	121 , 	41 , 	81 , 	100 , 	46 , 	74 , 	20 , 	13 , 	14 , 	10 , 	4 , 	1 , 	10 , 	7 , 	93 , 	81 , 	239 , 	93 , 	17 , 	31 , 	16 , 	18 , 	28 , 	18 , 	11 , 	27 , 	4 , 	18 ," 	1,666 ",,,Dtwn SF," 	1,105 ",,,,,,
CN, 	18 , 	16 , 	10 , 	5 , 	19 , 	9 , 	26 , 	18 , 	42 , 	4 , 	25 , 	30 , 	9 , 	9 , 	6 , 	10 , 	7 , 	15 , 	8 , 	46 , 	192 , 	47 , 	20 , 	23 , 	4 , 	87 , 	48 , 	120 , 	74 , 	24 , 	37 , 	14 , 	18 , 	26 , 	32 , 	1 , 	9 , 	15 , 	130 ," 	1,253 ",,,OAK," 	6,755 ", 	505 ,,,,,
PH, 	6 , 	8 , 	4 , 	5 , 	25 , 	5 , 	15 , 	9 , 	30 , 	5 , 	11 , 	39 , 	4 , 	4 , 	3 , 	2 , 	6 , 	12 , 	43 , 	8 , 	43 , 	18 , 	10 , 	34 , 	2 , 	99 , 	72 , 	185 , 	93 , 	17 , 	16 , 	9 , 	10 , 	21 , 	26 , 	1 , 	3 , 	9 , 	27 , 	935 ,,,CM line," 	20,188 "," 	1,839 "," 	3,743 ",,,,
WC, 	6 , 	9 , 	6 , 	6 , 	40 , 	8 , 	18 , 	17 , 	39 , 	6 , 	11 , 	25 , 	8 , 	5 , 	5 , 	5 , 	2 , 	11 , 	248 , 	49 , 	5 , 	29 , 	13 , 	44 , 	4 , 	124 , 	83 , 	216 , 	135 , 	18 , 	25 , 	13 , 	14 , 	15 , 	21 , 	1 , 	3 , 	21 , 	59 ," 	1,369 ",,,RM line," 	6,479 "," 	2,860 "," 	2,272 "," 	2,661 ",,,
LF, 	3 , 	2 , 	4 , 	6 , 	30 , 	3 , 	13 , 	8 , 	27 , 	3 , 	9 , 	19 , 	4 , 	2 , 	1 , 	1 , 	2 , 	5 , 	56 , 	19 , 	25 , 	2 , 	9 , 	31 , 	0 , 	65 , 	52 , 	138 , 	94 , 	15 , 	10 , 	6 , 	5 , 	6 , 	9 , 	0 , 	2 , 	4 , 	7 , 	696 ,,,WP line," 	6,561 "," 	1,089 "," 	1,779 ", 	908 ," 	1,936 ",,
