Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Mar 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	7 , 	152 , 	125 , 	89 , 	464 , 	129 , 	149 , 	155 , 	246 , 	51 , 	113 , 	84 , 	44 , 	43 , 	43 , 	26 , 	16 , 	34 , 	34 , 	30 , 	27 , 	15 , 	11 , 	26 , 	22 , 	226 , 	257 , 	294 , 	239 , 	121 , 	166 , 	29 , 	47 , 	55 , 	26 , 	7 , 	20 , 	10 , 	29 ," 	3,661 ",,,Eastbay," 	74,340 ",,SF CBD," 	190,327 ",64.3%,,,
EN, 	154 , 	10 , 	90 , 	84 , 	868 , 	156 , 	203 , 	385 , 	591 , 	106 , 	125 , 	122 , 	57 , 	39 , 	59 , 	27 , 	37 , 	67 , 	54 , 	30 , 	41 , 	12 , 	9 , 	24 , 	34 , 	750 , 	834 , 	651 , 	588 , 	108 , 	152 , 	64 , 	89 , 	127 , 	53 , 	6 , 	31 , 	7 , 	23 ," 	6,866 ",,,Westbay," 	78,923 ",,non-CBD," 	105,703 ",35.7%,,,
EP, 	167 , 	38 , 	21 , 	25 , 	674 , 	47 , 	145 , 	122 , 	337 , 	58 , 	62 , 	41 , 	29 , 	10 , 	26 , 	7 , 	24 , 	30 , 	16 , 	29 , 	19 , 	12 , 	4 , 	22 , 	7 , 	542 , 	307 , 	393 , 	220 , 	56 , 	29 , 	43 , 	17 , 	54 , 	12 , 	31 , 	19 , 	16 , 	15 ," 	3,726 ",,,Transbay," 	142,768 ",,,,,,,
NB, 	80 , 	87 , 	44 , 	6 , 	194 , 	56 , 	77 , 	155 , 	258 , 	72 , 	58 , 	65 , 	21 , 	16 , 	26 , 	9 , 	11 , 	32 , 	14 , 	15 , 	21 , 	7 , 	11 , 	18 , 	15 , 	497 , 	538 , 	335 , 	388 , 	88 , 	62 , 	30 , 	36 , 	54 , 	13 , 	2 , 	12 , 	2 , 	9 ," 	3,436 ",,,,,,,,,,,
BK, 	446 , 	953 , 	656 , 	204 , 	15 , 	393 , 	375 , 	451 , 	626 , 	283 , 	301 , 	305 , 	154 , 	138 , 	153 , 	103 , 	151 , 	268 , 	104 , 	166 , 	129 , 	73 , 	60 , 	41 , 	74 , 	626 , 	647 , 	764 , 	745 , 	235 , 	247 , 	129 , 	116 , 	193 , 	88 , 	35 , 	110 , 	31 , 	83 ," 	10,670 ",,,Extensions," 	39,642 ",,,,,,,
AS, 	139 , 	173 , 	80 , 	53 , 	378 , 	5 , 	75 , 	158 , 	225 , 	96 , 	111 , 	107 , 	55 , 	44 , 	50 , 	25 , 	31 , 	62 , 	22 , 	26 , 	26 , 	10 , 	10 , 	12 , 	31 , 	363 , 	419 , 	297 , 	306 , 	103 , 	87 , 	29 , 	36 , 	49 , 	17 , 	9 , 	31 , 	4 , 	20 ," 	3,773 ",,,,,,,,,,,
MA, 	143 , 	206 , 	86 , 	80 , 	346 , 	79 , 	7 , 	120 , 	217 , 	82 , 	147 , 	157 , 	97 , 	82 , 	83 , 	54 , 	59 , 	93 , 	94 , 	85 , 	81 , 	28 , 	29 , 	50 , 	55 , 	634 , 	718 , 	580 , 	608 , 	178 , 	145 , 	62 , 	74 , 	94 , 	43 , 	12 , 	44 , 	28 , 	109 ," 	5,891 ",,,,,,,,,,,
19, 	146 , 	439 , 	184 , 	164 , 	400 , 	178 , 	119 , 	8 , 	73 , 	39 , 	118 , 	142 , 	171 , 	164 , 	173 , 	143 , 	166 , 	283 , 	229 , 	304 , 	211 , 	107 , 	80 , 	97 , 	42 , 	611 , 	636 , 	467 , 	539 , 	138 , 	158 , 	120 , 	107 , 	151 , 	139 , 	39 , 	121 , 	106 , 	198 ," 	7,710 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	234 , 	675 , 	300 , 	265 , 	561 , 	238 , 	211 , 	69 , 	21 , 	66 , 	237 , 	320 , 	352 , 	373 , 	319 , 	219 , 	270 , 	449 , 	325 , 	419 , 	332 , 	184 , 	147 , 	191 , 	81 , 	885 , 	888 , 	931 , 	818 , 	221 , 	261 , 	168 , 	153 , 	260 , 	227 , 	70 , 	250 , 	126 , 	280 ," 	12,395 ",,,Dtwn SF," 	3,854 "," 	13,347 "," 	33,644 "," 	10,831 "," 	17,265 "," 	19,173 "," 	98,113 ",
LM, 	41 , 	115 , 	98 , 	77 , 	244 , 	105 , 	83 , 	40 , 	63 , 	7 , 	172 , 	183 , 	232 , 	212 , 	152 , 	94 , 	123 , 	162 , 	30 , 	21 , 	24 , 	10 , 	16 , 	33 , 	29 , 	460 , 	485 , 	445 , 	354 , 	93 , 	85 , 	39 , 	64 , 	93 , 	30 , 	85 , 	229 , 	8 , 	25 ," 	4,862 ",,,OAK," 	13,107 "," 	1,610 "," 	3,400 "," 	5,636 "," 	4,091 "," 	7,213 "," 	35,057 ",
