Fast Pass Adjusted OD,,,,,,Mar 03,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,58,39,128,124,502,912,788,"1,137","3,690"
MT,38,49,80,135,772,"1,300","1,207","2,361","5,943"
PL,175,104,88,115,669,"1,062",707,"1,852","4,771"
CC,123,134,140,70,510,750,547,"1,429","3,703"
16,418,579,807,498,31,201,190,610,"3,334"
24,732,959,"1,194",756,219,41,166,603,"4,670"
GP,725,922,918,484,192,179,22,134,"3,577"
BP,"1,003","1,393","2,667","1,376",589,623,120,41,"7,813"
Entries,"3,274","4,180","6,022","3,558","3,485","5,067","3,747","8,168","37,501"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,9,37,33,168,220,80,207,777
MT,10,19,29,39,282,325,275,986,"1,966"
PL,38,23,85,68,510,786,368,"1,047","2,925"
CC,30,27,78,62,382,556,217,558,"1,910"
16,126,157,596,329,28,129,89,278,"1,732"
24,168,219,847,468,150,34,85,255,"2,224"
GP,75,117,513,174,77,83,17,49,"1,104"
BP,170,333,"1,764",462,283,261,52,33,"3,357"
Entries,641,904,"3,947","1,636","1,879","2,394","1,182","3,413","15,995"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,3,25,18,106,145,56,111,480
MT,3,22,21,28,188,185,203,649,"1,299"
PL,24,12,64,38,353,552,287,676,"2,006"
CC,18,15,49,52,233,316,134,307,"1,122"
16,88,120,413,256,31,90,55,160,"1,213"
24,118,134,602,313,91,33,65,170,"1,527"
GP,58,84,442,121,59,58,19,28,869
BP,113,179,"1,295",286,159,184,28,32,"2,276"
Entries,440,570,"2,909","1,111","1,218","1,563",847,"2,133","10,791"
