Fast Pass Adjusted OD,,,,,,May 03,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,55,38,124,122,494,910,762,"1,116","3,621"
MT,34,49,78,128,758,"1,245","1,162","2,209","5,663"
PL,173,99,76,110,694,"1,060",699,"1,718","4,631"
CC,116,127,127,72,551,798,590,"1,404","3,785"
16,405,566,847,522,28,210,206,563,"3,346"
24,755,965,"1,208",761,230,40,162,531,"4,654"
GP,710,895,909,491,210,172,23,125,"3,534"
BP,960,"1,317","2,525","1,271",547,547,115,34,"7,315"
Entries,"3,208","4,056","5,895","3,477","3,512","4,982","3,719","7,699","36,548"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,7,39,32,198,271,126,248,942
MT,9,18,28,38,312,340,317,982,"2,044"
PL,40,22,68,44,535,822,451,"1,017","2,999"
CC,28,24,52,48,331,440,199,493,"1,616"
16,143,169,608,327,27,150,103,271,"1,798"
24,200,234,860,424,159,38,91,271,"2,277"
GP,103,150,595,177,96,88,21,53,"1,282"
BP,184,298,"1,659",434,275,272,63,33,"3,218"
Entries,727,922,"3,910","1,523","1,933","2,422","1,370","3,369","16,175"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,4,27,28,144,224,94,157,696
MT,5,18,18,36,198,209,207,620,"1,311"
PL,26,13,72,45,427,616,308,694,"2,199"
CC,20,21,46,60,306,393,150,323,"1,319"
16,108,131,456,335,31,131,81,178,"1,450"
24,137,150,673,393,124,40,89,224,"1,830"
GP,66,100,493,146,79,81,22,30,"1,017"
BP,121,187,"1,295",296,177,217,32,24,"2,348"
Entries,502,625,"3,078","1,339","1,484","1,909",982,"2,249","12,168"
