Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,May 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	5 , 	61 , 	49 , 	29 , 	130 , 	71 , 	43 , 	28 , 	51 , 	21 , 	68 , 	75 , 	10 , 	11 , 	15 , 	9 , 	11 , 	18 , 	20 , 	7 , 	8 , 	4 , 	4 , 	8 , 	12 , 	64 , 	43 , 	133 , 	64 , 	71 , 	86 , 	14 , 	16 , 	18 , 	14 , 	1 , 	10 , 	2 , 	19 ," 	1,318 ",,,Eastbay," 	27,957 ",,SF CBD," 	62,323 ",57.7%,,
EN, 	61 , 	7 , 	47 , 	40 , 	201 , 	85 , 	64 , 	36 , 	124 , 	19 , 	51 , 	163 , 	14 , 	23 , 	20 , 	12 , 	16 , 	29 , 	13 , 	6 , 	14 , 	2 , 	3 , 	12 , 	9 , 	152 , 	99 , 	260 , 	112 , 	77 , 	77 , 	27 , 	33 , 	31 , 	28 , 	3 , 	11 , 	3 , 	14 ," 	1,994 ",,,Westbay," 	30,917 ",,non-CBD," 	45,721 ",42.3%,,
EP, 	47 , 	38 , 	7 , 	22 , 	208 , 	43 , 	32 , 	26 , 	56 , 	25 , 	25 , 	91 , 	8 , 	8 , 	5 , 	9 , 	11 , 	20 , 	8 , 	9 , 	8 , 	3 , 	3 , 	8 , 	1 , 	100 , 	78 , 	151 , 	90 , 	50 , 	34 , 	11 , 	5 , 	11 , 	10 , 	4 , 	4 , 	1 , 	5 ," 	1,270 ",,,Transbay," 	49,170 ",,,,,,
NB, 	28 , 	35 , 	20 , 	7 , 	60 , 	36 , 	27 , 	25 , 	66 , 	21 , 	27 , 	105 , 	7 , 	9 , 	6 , 	3 , 	5 , 	18 , 	6 , 	7 , 	8 , 	2 , 	5 , 	9 , 	6 , 	140 , 	108 , 	190 , 	154 , 	83 , 	66 , 	14 , 	10 , 	9 , 	9 , 	2 , 	7 , 	1 , 	5 ," 	1,342 ",,,,,,,,,,
BK, 	136 , 	205 , 	203 , 	64 , 	8 , 	148 , 	122 , 	122 , 	183 , 	72 , 	92 , 	221 , 	44 , 	42 , 	35 , 	15 , 	49 , 	139 , 	25 , 	29 , 	33 , 	14 , 	15 , 	21 , 	26 , 	241 , 	175 , 	539 , 	298 , 	136 , 	95 , 	40 , 	24 , 	51 , 	42 , 	12 , 	34 , 	5 , 	14 ," 	3,764 ",,,Extensions," 	14,946 ",,,,,,
AS, 	74 , 	76 , 	49 , 	37 , 	115 , 	4 , 	57 , 	46 , 	98 , 	36 , 	75 , 	116 , 	18 , 	29 , 	16 , 	6 , 	18 , 	23 , 	8 , 	6 , 	14 , 	3 , 	3 , 	5 , 	21 , 	112 , 	72 , 	176 , 	145 , 	95 , 	66 , 	12 , 	11 , 	11 , 	12 , 	6 , 	10 , 	3 , 	9 ," 	1,688 ",,,,,,,,,,
MA, 	45 , 	59 , 	26 , 	23 , 	111 , 	60 , 	7 , 	25 , 	65 , 	16 , 	60 , 	139 , 	19 , 	33 , 	26 , 	9 , 	11 , 	23 , 	28 , 	17 , 	20 , 	10 , 	7 , 	17 , 	21 , 	175 , 	133 , 	322 , 	201 , 	153 , 	115 , 	20 , 	24 , 	22 , 	18 , 	4 , 	10 , 	5 , 	37 ," 	2,110 ",,,,,,,,,,
19, 	31 , 	41 , 	24 , 	29 , 	115 , 	48 , 	20 , 	4 , 	16 , 	10 , 	50 , 	72 , 	22 , 	26 , 	22 , 	10 , 	12 , 	22 , 	16 , 	10 , 	22 , 	5 , 	4 , 	22 , 	13 , 	92 , 	83 , 	194 , 	125 , 	64 , 	55 , 	14 , 	8 , 	13 , 	11 , 	6 , 	6 , 	3 , 	18 ," 	1,348 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	50 , 	109 , 	58 , 	52 , 	165 , 	82 , 	66 , 	20 , 	17 , 	16 , 	85 , 	136 , 	71 , 	99 , 	64 , 	31 , 	37 , 	65 , 	50 , 	31 , 	39 , 	22 , 	21 , 	44 , 	33 , 	168 , 	166 , 	470 , 	224 , 	117 , 	78 , 	28 , 	45 , 	41 , 	34 , 	14 , 	24 , 	11 , 	41 ," 	2,918 ",,,Dtwn SF," 	1,213 "," 	4,085 "," 	12,518 "," 	3,833 "," 	4,531 "," 	6,314 "," 	32,494 "
LM, 	17 , 	22 , 	22 , 	18 , 	67 , 	39 , 	20 , 	9 , 	17 , 	7 , 	83 , 	126 , 	70 , 	71 , 	28 , 	15 , 	33 , 	40 , 	8 , 	8 , 	6 , 	3 , 	2 , 	7 , 	15 , 	119 , 	108 , 	272 , 	161 , 	101 , 	77 , 	20 , 	20 , 	16 , 	18 , 	26 , 	41 , 	2 , 	6 ," 	1,735 ",,,OAK," 	3,790 ", 	512 ," 	1,402 "," 	1,385 ", 	561 ," 	1,915 "," 	9,565 "
