Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,May 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	90 , 	75 , 	48 , 	197 , 	77 , 	72 , 	44 , 	71 , 	17 , 	73 , 	72 , 	18 , 	14 , 	14 , 	11 , 	10 , 	16 , 	19 , 	12 , 	8 , 	6 , 	7 , 	11 , 	13 , 	77 , 	76 , 	175 , 	90 , 	70 , 	120 , 	14 , 	31 , 	25 , 	20 , 	2 , 	15 , 	4 , 	23 ," 	1,746 ",,,Eastbay," 	34,992 ",,SF CBD," 	82,254 ",61.1%,,
EN, 	100 , 	12 , 	70 , 	60 , 	366 , 	94 , 	91 , 	72 , 	143 , 	32 , 	103 , 	170 , 	33 , 	32 , 	24 , 	17 , 	18 , 	40 , 	30 , 	13 , 	18 , 	6 , 	7 , 	19 , 	16 , 	249 , 	174 , 	454 , 	166 , 	76 , 	118 , 	26 , 	47 , 	46 , 	46 , 	4 , 	16 , 	5 , 	27 ," 	3,039 ",,,Westbay," 	38,323 ",,non-CBD," 	52,260 ",38.9%,,
EP, 	88 , 	56 , 	8 , 	36 , 	312 , 	56 , 	41 , 	39 , 	84 , 	31 , 	36 , 	83 , 	14 , 	11 , 	8 , 	6 , 	10 , 	16 , 	14 , 	8 , 	12 , 	4 , 	4 , 	11 , 	5 , 	157 , 	115 , 	250 , 	116 , 	31 , 	30 , 	10 , 	11 , 	14 , 	10 , 	4 , 	8 , 	4 , 	7 ," 	1,763 ",,,Transbay," 	61,199 ",,,,,,
NB, 	53 , 	58 , 	38 , 	6 , 	101 , 	38 , 	40 , 	31 , 	82 , 	27 , 	40 , 	83 , 	10 , 	10 , 	10 , 	5 , 	8 , 	18 , 	13 , 	9 , 	12 , 	7 , 	7 , 	12 , 	7 , 	196 , 	149 , 	263 , 	149 , 	63 , 	55 , 	18 , 	12 , 	16 , 	10 , 	2 , 	8 , 	2 , 	6 ," 	1,675 ",,,,,,,,,,
BK, 	208 , 	368 , 	315 , 	105 , 	16 , 	203 , 	182 , 	177 , 	280 , 	94 , 	164 , 	191 , 	63 , 	55 , 	50 , 	29 , 	58 , 	139 , 	40 , 	46 , 	58 , 	35 , 	24 , 	31 , 	24 , 	320 , 	257 , 	766 , 	362 , 	126 , 	114 , 	50 , 	35 , 	66 , 	45 , 	18 , 	48 , 	6 , 	22 ," 	5,190 ",,,Extensions," 	18,226 ",,,,,,
AS, 	83 , 	107 , 	67 , 	43 , 	178 , 	16 , 	63 , 	69 , 	101 , 	37 , 	70 , 	72 , 	26 , 	25 , 	20 , 	10 , 	13 , 	26 , 	10 , 	9 , 	15 , 	7 , 	5 , 	12 , 	21 , 	119 , 	111 , 	244 , 	151 , 	75 , 	68 , 	16 , 	14 , 	16 , 	12 , 	6 , 	11 , 	2 , 	8 ," 	1,958 ",,,,,,,,,,
MA, 	67 , 	102 , 	47 , 	38 , 	183 , 	59 , 	8 , 	47 , 	71 , 	21 , 	71 , 	126 , 	41 , 	48 , 	29 , 	12 , 	16 , 	41 , 	42 , 	23 , 	27 , 	9 , 	14 , 	25 , 	26 , 	262 , 	226 , 	469 , 	232 , 	107 , 	96 , 	18 , 	21 , 	26 , 	19 , 	5 , 	16 , 	7 , 	49 ," 	2,744 ",,,,,,,,,,
19, 	41 , 	79 , 	42 , 	42 , 	162 , 	72 , 	46 , 	7 , 	25 , 	12 , 	53 , 	85 , 	35 , 	42 , 	27 , 	20 , 	29 , 	41 , 	37 , 	20 , 	32 , 	12 , 	13 , 	31 , 	23 , 	129 , 	128 , 	257 , 	171 , 	66 , 	57 , 	20 , 	16 , 	28 , 	18 , 	5 , 	14 , 	6 , 	33 ," 	1,977 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	72 , 	138 , 	79 , 	70 , 	248 , 	89 , 	78 , 	25 , 	19 , 	23 , 	97 , 	132 , 	82 , 	112 , 	68 , 	40 , 	60 , 	84 , 	63 , 	47 , 	52 , 	27 , 	32 , 	49 , 	43 , 	233 , 	218 , 	640 , 	264 , 	89 , 	77 , 	40 , 	53 , 	60 , 	46 , 	9 , 	26 , 	13 , 	49 ," 	3,648 ",,,Dtwn SF," 	1,565 "," 	5,392 "," 	16,079 "," 	5,443 "," 	6,445 "," 	7,987 "," 	42,912 "
LM, 	18 , 	24 , 	24 , 	25 , 	88 , 	32 , 	21 , 	10 , 	17 , 	9 , 	58 , 	110 , 	102 , 	81 , 	33 , 	21 , 	39 , 	48 , 	8 , 	4 , 	11 , 	5 , 	3 , 	10 , 	10 , 	166 , 	146 , 	377 , 	156 , 	63 , 	52 , 	21 , 	30 , 	20 , 	19 , 	34 , 	59 , 	1 , 	6 ," 	1,962 ",,,OAK," 	5,101 ", 	658 ," 	1,237 "," 	1,931 ", 	793 ," 	2,213 "," 	11,934 "
FV, 	69 , 	98 , 	37 , 	45 , 	155 , 	64 , 	76 , 	56 , 	110 , 	53 , 	15 , 	182 , 	142 , 	211 , 	117 , 	61 , 	54 , 	77 , 	30 , 	15 , 	26 , 	13 , 	28 , 	27 , 	49 , 	216 , 	190 , 	458 , 	196 , 	111 , 	174 , 	29 , 	47 , 	41 , 	27 , 	37 , 	81 , 	4 , 	34 ," 	3,457 ",,,CM line," 	15,068 "," 	1,261 "," 	5,610 "," 	1,567 "," 	1,152 "," 	1,797 "," 	26,456 "
