Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,May 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
SL, 	177 , 	127 , 	24 , 	23 , 	143 , 	54 , 	97 , 	186 , 	221 , 	160 , 	263 , 	177 , 	8 , 	126 , 	186 , 	92 , 	75 , 	110 , 	30 , 	25 , 	22 , 	6 , 	8 , 	14 , 	20 , 	559 , 	570 , 	393 , 	338 , 	59 , 	65 , 	30 , 	52 , 	41 , 	34 , 	41 , 	89 , 	5 , 	32 ," 	4,679 ",,,WP line," 	16,999 "," 	3,963 "," 	2,161 "," 	1,423 "," 	6,138 "," 	1,654 "," 	32,339 ",
BF, 	32 , 	39 , 	16 , 	15 , 	128 , 	42 , 	79 , 	177 , 	369 , 	192 , 	240 , 	226 , 	121 , 	8 , 	160 , 	137 , 	142 , 	236 , 	31 , 	14 , 	20 , 	4 , 	4 , 	15 , 	32 , 	507 , 	517 , 	372 , 	271 , 	62 , 	50 , 	24 , 	24 , 	55 , 	22 , 	52 , 	255 , 	4 , 	19 ," 	4,712 ",,,FT/ED line," 	17,855 "," 	6,969 "," 	2,856 "," 	4,086 "," 	1,681 "," 	13,365 "," 	46,813 ",
HY, 	79 , 	87 , 	33 , 	30 , 	130 , 	54 , 	92 , 	174 , 	278 , 	119 , 	278 , 	246 , 	192 , 	167 , 	7 , 	136 , 	229 , 	369 , 	27 , 	24 , 	21 , 	6 , 	8 , 	19 , 	31 , 	353 , 	293 , 	237 , 	218 , 	48 , 	47 , 	24 , 	27 , 	37 , 	19 , 	18 , 	88 , 	9 , 	38 ," 	4,292 ",,,Entries," 	93,471 "," 	34,052 "," 	52,642 "," 	30,391 "," 	32,017 "," 	47,108 "," 	289,681 ",
SH, 	28 , 	25 , 	11 , 	9 , 	85 , 	21 , 	54 , 	138 , 	213 , 	79 , 	101 , 	118 , 	91 , 	124 , 	129 , 	5 , 	102 , 	178 , 	13 , 	12 , 	15 , 	2 , 	3 , 	8 , 	17 , 	284 , 	255 , 	193 , 	172 , 	41 , 	44 , 	11 , 	15 , 	36 , 	11 , 	18 , 	47 , 	3 , 	13 ," 	2,729 ",,,,,,,,,,,
UC, 	15 , 	44 , 	17 , 	11 , 	142 , 	30 , 	62 , 	161 , 	269 , 	115 , 	108 , 	174 , 	83 , 	145 , 	252 , 	107 , 	8 , 	177 , 	18 , 	26 , 	16 , 	4 , 	6 , 	11 , 	19 , 	481 , 	451 , 	281 , 	220 , 	26 , 	24 , 	18 , 	25 , 	38 , 	16 , 	14 , 	51 , 	7 , 	17 ," 	3,689 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,,
FM, 	34 , 	61 , 	34 , 	35 , 	281 , 	56 , 	104 , 	292 , 	444 , 	169 , 	138 , 	240 , 	107 , 	235 , 	368 , 	179 , 	167 , 	21 , 	26 , 	24 , 	17 , 	5 , 	8 , 	19 , 	14 , 	766 , 	739 , 	416 , 	322 , 	38 , 	46 , 	19 , 	24 , 	57 , 	18 , 	21 , 	66 , 	8 , 	32 ," 	5,652 ",,,Dtwn SF," 	3,724 ",,,,,,,
CN, 	37 , 	47 , 	28 , 	16 , 	105 , 	23 , 	97 , 	226 , 	317 , 	22 , 	49 , 	88 , 	31 , 	30 , 	31 , 	17 , 	20 , 	26 , 	13 , 	150 , 	476 , 	122 , 	57 , 	100 , 	16 , 	674 , 	664 , 	372 , 	332 , 	60 , 	76 , 	40 , 	44 , 	81 , 	57 , 	4 , 	11 , 	71 , 	473 ," 	5,105 ",,,OAK," 	25,868 "," 	1,513 ",,,,,,
PH, 	28 , 	33 , 	22 , 	18 , 	149 , 	23 , 	86 , 	281 , 	408 , 	17 , 	30 , 	93 , 	24 , 	15 , 	24 , 	14 , 	24 , 	26 , 	154 , 	9 , 	134 , 	71 , 	40 , 	115 , 	12 ," 	1,349 "," 	1,241 ", 	506 , 	449 , 	52 , 	55 , 	49 , 	44 , 	102 , 	79 , 	3 , 	7 , 	47 , 	152 ," 	5,987 ",,,CM line," 	64,487 "," 	6,495 "," 	8,740 ",,,,,
WC, 	25 , 	39 , 	28 , 	23 , 	133 , 	29 , 	92 , 	192 , 	313 , 	31 , 	35 , 	91 , 	23 , 	22 , 	19 , 	16 , 	18 , 	18 , 	563 , 	127 , 	11 , 	81 , 	48 , 	135 , 	15 ," 	1,023 ", 	890 , 	418 , 	317 , 	54 , 	54 , 	45 , 	34 , 	76 , 	52 , 	4 , 	6 , 	71 , 	225 ," 	5,397 ",,,RM line," 	20,930 "," 	10,518 "," 	5,134 "," 	6,834 ",,,,
LF, 	15 , 	13 , 	9 , 	8 , 	62 , 	10 , 	25 , 	100 , 	185 , 	7 , 	21 , 	54 , 	6 , 	3 , 	5 , 	2 , 	4 , 	5 , 	138 , 	84 , 	88 , 	4 , 	16 , 	68 , 	2 , 	773 , 	622 , 	224 , 	186 , 	22 , 	27 , 	14 , 	6 , 	24 , 	17 , 	1 , 	3 , 	12 , 	39 ," 	2,905 ",,,WP line," 	33,864 "," 	7,848 "," 	4,236 "," 	2,797 "," 	6,138 ",,,
