Avg Sunday Trip OD																																																			
																																																			
2024 / 03																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	12	29	26	14	89	18	25	15	22	11	21	12	9	6	7	2	3	2	6	2	6	6	2	4	8	53	26	82	39	31	30	9	10	12	2	1	5	1	3	2	6	27	4	1	3	3	2	2	3	6	721
EN	36	18	30	26	157	37	47	31	48	28	44	20	13	15	13	8	6	5	10	5	10	6	2	8	11	113	72	209	82	54	43	11	16	21	9	2	8	1	4	5	6	44	7	4	15	6	1	4	9	18	"1,400"
EP	33	24	5	16	124	28	25	32	30	22	15	7	6	4	6	4	3	2	4	3	7	2	2	6	3	53	42	102	58	24	20	7	5	6	3	2	4	0	1	1	3	28	4	2	14	2	1	2	3	6	805
NB	13	24	16	6	36	17	22	34	26	21	19	9	8	3	4	1	3	7	3	3	9	3	2	4	6	84	51	89	82	52	33	9	6	5	3	1	3	0	4	1	2	42	5	1	17	2	0	1	7	4	801
BK	107	164	139	36	35	63	76	110	121	55	57	24	30	18	23	15	37	35	10	12	25	15	10	6	26	265	160	302	190	116	80	38	19	37	7	7	33	2	7	5	9	219	47	9	122	18	2	4	65	114	"3,127"
AS	17	37	23	22	61	8	25	43	43	30	27	9	11	7	10	5	6	6	5	4	8	3	1	5	9	76	56	85	82	70	42	12	7	9	4	2	4	1	1	2	2	33	6	1	16	1	1	1	8	10	954
MA	31	41	25	21	74	33	18	51	46	20	44	23	20	15	12	5	6	8	25	15	21	10	6	25	20	125	81	144	128	109	64	15	8	18	2	2	7	2	14	4	4	57	9	5	13	5	6	9	7	17	"1,470"
19	21	30	34	32	102	39	43	12	7	10	25	21	20	16	20	7	7	9	18	15	28	9	8	41	20	135	95	171	126	116	63	21	9	21	4	2	5	3	5	5	5	49	10	4	13	7	3	9	11	15	"1,499"
12	20	43	27	26	104	34	32	8	13	4	21	27	24	18	21	6	12	11	16	16	24	7	7	35	22	155	81	177	110	66	48	18	19	20	7	1	7	2	8	8	13	59	8	2	11	5	3	9	7	8	"1,428"
