Total Trip OD																																																			
																																																			
2024 / 03																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	453	"1,683"	"1,580"	860	"6,437"	"1,218"	"2,165"	"1,436"	"1,875"	586	"1,317"	926	594	314	442	300	153	235	378	181	500	286	183	344	412	"4,465"	"3,448"	"6,197"	"3,764"	"2,540"	"2,613"	672	888	"1,291"	293	61	125	73	282	245	342	"1,162"	297	54	215	316	104	273	165	257	"55,000"
EN	"1,816"	595	"1,751"	"1,336"	"10,344"	"1,783"	"2,914"	"3,651"	"4,901"	"1,137"	"1,884"	"1,323"	808	645	765	260	439	361	481	269	505	215	265	538	577	"9,420"	"8,262"	"11,276"	"7,746"	"3,545"	"2,841"	922	"1,117"	"2,419"	289	164	294	75	185	427	420	"1,664"	684	158	489	501	75	253	374	625	"93,788"
EP	"1,718"	"1,484"	255	811	"8,361"	"1,270"	"1,764"	"2,514"	"2,703"	903	750	456	518	246	284	106	175	206	270	228	292	157	134	339	133	"5,819"	"4,899"	"4,465"	"4,082"	"1,530"	993	444	396	685	118	69	132	55	91	129	185	"1,089"	276	106	421	159	17	44	204	252	"52,737"
NB	906	"1,092"	868	269	"2,316"	799	"1,122"	"2,120"	"1,925"	693	"1,015"	517	426	216	315	72	176	287	235	189	357	104	112	202	267	"6,542"	"5,024"	"3,836"	"4,219"	"2,140"	"1,230"	458	490	428	96	33	126	28	107	77	113	"1,529"	260	36	492	150	9	48	182	248	"44,501"
BK	"7,184"	"10,795"	"8,774"	"2,654"	"1,140"	"4,183"	"4,695"	"6,460"	"6,466"	"2,501"	"3,738"	"2,140"	"1,939"	"1,541"	"1,607"	949	"1,743"	"1,599"	"1,158"	"1,297"	"1,484"	772	445	495	"1,173"	"11,602"	"8,529"	"10,495"	"7,932"	"4,343"	"3,477"	"2,040"	"1,176"	"1,504"	479	384	"1,176"	222	728	422	540	"4,510"	"1,556"	348	"2,175"	861	213	539	"1,742"	"2,571"	"146,496"
AS	"1,136"	"1,676"	"1,321"	911	"4,076"	310	"1,159"	"2,305"	"2,285"	801	"1,425"	694	620	396	429	180	225	269	298	211	249	162	57	151	358	"6,061"	"4,888"	"4,349"	"4,529"	"2,580"	"1,592"	433	398	497	105	101	172	50	139	93	129	"1,020"	281	50	385	197	33	134	272	365	"50,557"
MA	"2,479"	"2,872"	"1,540"	"1,102"	"4,664"	"1,252"	565	"2,488"	"2,670"	798	"2,386"	"1,859"	"1,497"	930	857	612	678	657	"1,982"	"1,372"	"1,734"	737	505	"1,034"	"1,055"	"10,228"	"8,457"	"8,141"	"7,760"	"5,051"	"2,954"	962	"1,007"	"1,096"	184	191	475	333	"1,520"	239	303	"1,673"	459	283	403	521	429	"1,400"	476	707	"93,577"
19	"1,688"	"3,565"	"2,403"	"2,135"	"5,962"	"2,396"	"2,549"	590	547	426	"1,680"	"1,662"	"2,003"	"1,400"	"1,401"	795	"1,317"	"1,284"	"1,881"	"2,063"	"2,753"	"1,184"	944	"1,985"	"1,026"	"13,151"	"10,387"	"9,736"	"9,261"	"5,383"	"3,648"	"1,703"	"1,376"	"1,563"	422	349	"1,037"	551	"1,054"	492	545	"1,576"	717	528	413	722	292	"1,230"	787	"1,023"	"113,585"
12	"2,078"	"4,714"	"2,558"	"1,953"	"5,939"	"2,201"	"2,485"	558	583	338	"1,655"	"1,881"	"2,920"	"2,153"	"2,044"	"1,321"	"1,937"	"1,625"	"2,332"	"2,671"	"2,679"	"1,227"	"1,069"	"1,926"	"1,179"	"12,631"	"8,846"	"10,694"	"8,734"	"4,479"	"3,398"	"1,738"	"1,834"	"1,909"	748	359	"1,394"	790	"1,736"	822	855	"1,830"	879	455	499	662	310	"1,745"	819	"1,024"	"121,216"
