Avg Weekday Trip OD																																																			
																																																			
2024 / 03																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	16	67	61	33	255	48	87	59	78	23	52	36	24	12	17	12	6	9	15	8	20	11	7	14	16	185	149	247	157	103	103	27	37	55	12	2	5	3	12	10	13	42	12	2	9	13	4	12	6	9	"2,213"
EN	70	19	65	50	407	65	112	151	206	43	68	48	31	22	29	9	17	14	18	10	19	7	11	21	21	383	348	420	322	140	106	37	43	103	10	6	10	3	6	17	16	57	28	6	17	20	3	10	13	20	"3,674"
EP	65	55	10	29	328	45	69	101	111	32	27	17	21	9	11	4	7	8	11	9	11	6	5	13	5	242	207	158	164	56	35	17	16	29	4	2	4	2	3	5	8	38	11	4	14	7	0	1	8	9	"2,052"
NB	36	39	32	9	89	29	41	80	77	24	38	19	16	9	12	3	6	10	9	7	13	3	4	8	10	261	207	133	159	75	41	17	20	17	3	1	4	1	4	3	4	55	10	1	16	6	0	2	5	9	"1,679"
BK	283	424	340	103	35	165	182	250	243	93	148	77	76	63	62	37	66	58	50	55	57	29	17	19	43	402	314	321	272	145	127	75	45	53	19	14	39	9	31	17	21	128	52	13	57	31	9	23	54	79	"5,325"
AS	45	61	51	33	162	11	43	87	89	25	55	26	24	15	16	6	8	10	12	8	8	6	2	5	13	244	202	157	175	87	52	15	16	19	4	3	6	2	6	3	5	35	10	2	12	8	1	6	9	11	"1,913"
MA	99	113	58	41	183	44	18	93	104	30	91	73	60	36	34	26	28	27	80	56	70	30	20	36	39	409	347	299	300	181	105	37	41	44	7	7	19	14	65	10	12	56	17	12	14	22	18	60	18	25	"3,623"
19	70	148	95	82	230	91	96	20	22	16	65	65	82	58	54	33	56	53	78	89	111	49	39	72	38	530	430	353	361	192	132	66	58	61	17	14	41	24	46	21	22	54	28	22	14	28	12	53	29	37	"4,456"
12	87	200	105	78	223	87	99	22	21	14	66	74	125	92	85	58	86	71	101	118	114	54	46	73	44	513	370	399	350	173	133	71	77	81	32	16	62	36	78	35	34	63	36	21	19	29	13	78	34	43	"4,937"
LM	22	39	28	24	98	30	28	15	16	16	90	95	173	123	79	53	53	47	11	7	13	5	3	11	18	327	269	258	236	106	77	32	35	43	6	60	107	6	10	4	6	14	5	53	14	42	4	16	27	38	"2,891"
FV	52	66	29	33	141	54	93	74	64	80	25	131	156	139	134	64	51	57	17	10	17	10	11	21	70	337	299	358	338	153	130	35	49	85	7	37	81	3	12	7	12	29	8	31	8	45	6	12	28	39	"3,748"
CL	44	49	14	17	71	27	72	68	76	90	132	9	73	80	79	40	43	34	19	13	13	9	7	16	42	155	116	168	130	56	65	22	28	50	3	32	69	5	18	7	6	11	9	20	11	37	9	24	25	36	"2,250"
SL	24	34	16	18	76	25	65	86	138	176	168	83	15	74	130	66	57	92	16	12	11	2	5	15	28	318	305	286	234	87	61	25	37	62	3	25	90	2	8	6	5	17	5	35	5	56	2	13	37	44	"3,200"
BF	12	21	12	11	58	13	38	63	87	122	137	76	74	17	61	47	42	62	12	3	9	1	2	6	21	236	241	265	199	60	47	21	22	37	4	27	85	1	5	8	5	11	5	34	4	49	4	4	25	35	"2,441"
HY	18	33	11	12	60	16	37	58	84	76	130	84	135	67	15	59	120	133	15	7	10	3	2	7	22	148	131	131	107	38	24	12	14	30	5	12	41	2	12	5	7	6	5	18	5	75	3	12	54	62	"2,172"
SH	11	9	4	3	36	7	27	33	51	48	60	37	59	41	53	10	42	58	7	4	5	2	1	2	10	128	108	89	83	26	28	5	10	15	2	12	19	1	4	3	2	5	3	13	4	63	1	4	29	38	"1,314"
UC	9	19	7	7	66	9	30	58	89	49	52	43	60	51	115	42	14	62	7	7	9	1	1	5	10	220	166	111	97	32	16	7	10	23	3	7	31	1	5	3	4	11	1	13	5	67	2	3	60	74	"1,792"
FM	8	16	9	12	61	11	28	51	74	48	58	34	95	57	133	62	61	15	10	3	5	1	3	6	8	272	184	106	90	31	15	6	8	21	4	13	27	1	4	1	2	15	1	10	9	78	1	5	79	103	"1,956"
CN	16	18	12	10	52	11	87	78	97	15	17	18	16	10	16	7	6	9	22	60	147	88	22	56	10	285	260	196	195	56	46	23	22	48	8	2	6	26	118	6	11	54	10	3	13	4	61	83	6	8	"2,450"
PH	7	10	10	6	55	10	58	86	115	8	11	14	9	5	7	6	5	4	64	12	59	25	18	58	9	448	406	215	183	59	29	22	19	31	5	1	3	11	40	9	8	75	5	1	19	5	20	40	5	6	"2,338"
WC	21	19	11	15	58	10	71	114	117	16	19	14	13	7	11	5	8	5	159	52	16	40	22	82	8	503	406	196	176	59	33	21	18	30	7	2	4	19	65	10	10	89	10	1	18	2	25	61	6	6	"2,694"
LF	12	9	5	5	28	7	29	52	54	5	13	7	1	2	2	2	0	1	105	34	41	9	10	35	2	366	284	98	85	33	20	7	10	8	1	0	1	6	14	2	6	55	4	0	12	1	5	13	1	2	"1,507"
OR	6	7	4	5	15	3	20	38	50	3	9	7	4	2	2	1	1	3	19	14	22	9	7	34	2	337	250	83	80	29	11	14	9	13	3	2	0	2	8	1	3	40	3	1	6	1	6	6	2	3	"1,198"
RR	14	22	14	9	20	7	41	80	74	12	22	14	16	9	6	3	6	7	58	60	81	34	37	13	14	505	389	203	230	106	59	30	30	23	2	2	5	8	27	8	7	73	4	1	9	4	11	25	4	5	"2,445"
