Avg Saturday Trip OD																																																			
																																																			
2024 / 03																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	13	28	34	20	126	24	41	23	27	10	23	23	8	5	9	6	3	5	8	2	9	5	3	6	8	62	39	119	53	46	61	12	13	17	4	2	1	2	4	5	8	31	5	1	3	6	2	3	6	8	982
EN	31	23	48	30	201	49	65	64	68	21	49	42	19	22	20	7	10	7	12	8	12	7	5	14	15	164	120	282	113	67	82	19	26	29	8	4	8	1	7	10	11	47	12	2	12	10	2	6	12	22	"1,926"
EP	39	41	6	23	172	37	39	48	45	25	23	13	9	6	6	3	5	6	4	3	7	3	3	6	4	94	68	128	71	45	31	9	7	9	3	2	6	1	3	3	3	29	6	2	10	3	0	1	5	9	"1,122"
NB	19	30	25	9	54	19	29	54	37	16	24	16	10	4	10	1	5	7	5	6	10	4	2	4	7	126	84	119	96	63	41	9	9	9	4	1	4	0	3	1	2	35	5	1	16	2	0	1	6	6	"1,049"
BK	140	212	188	63	45	81	100	132	153	53	68	82	38	25	39	19	36	41	12	16	34	19	10	15	28	369	229	447	255	141	82	53	26	40	10	10	37	4	9	7	10	146	44	6	73	22	3	7	56	70	"3,807"
AS	23	42	27	21	74	8	28	54	42	25	29	22	12	11	10	6	5	4	5	5	7	3	1	5	9	109	75	123	90	80	57	10	7	9	3	4	5	1	1	2	3	22	7	2	10	4	0	0	8	15	"1,123"
MA	48	60	38	27	90	35	20	58	52	15	52	43	27	18	19	8	12	10	35	26	33	14	12	29	26	203	152	230	165	140	85	23	21	18	5	6	9	5	16	3	8	44	11	3	9	9	6	20	14	19	"2,031"
19	24	62	48	52	125	60	63	24	10	10	39	37	36	20	32	13	23	27	31	25	56	22	16	53	24	271	174	295	212	155	112	43	24	34	7	8	28	8	12	6	11	41	16	11	9	22	4	13	22	33	"2,504"
12	29	61	45	38	146	41	50	12	18	6	32	40	35	28	32	16	15	14	26	24	35	13	13	42	31	216	133	287	167	101	71	31	27	20	8	2	10	6	12	10	15	44	16	2	9	5	4	13	13	16	"2,079"
