Muni Fast Pass Adult/Clipper OD,,,,,,May 14,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,35,23,72,96,384,715,608,901,"2,833"
MT,25,36,48,83,509,966,895,"1,617","4,180"
PL,126,81,41,56,372,613,471,"1,253","3,011"
CC,84,78,59,24,191,391,365,792,"1,984"
16,329,405,458,215,12,103,146,360,"2,029"
24,556,692,731,381,110,17,112,323,"2,923"
GP,530,659,596,345,147,125,19,78,"2,500"
BP,792,978,"1,700",715,345,333,81,42,"4,986"
Entries,"2,476","2,950","3,705","1,915","2,071","3,263","2,698","5,366","24,445"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,14,6,28,23,131,166,117,274,758
MT,6,12,14,13,141,195,190,686,"1,255"
PL,40,14,38,26,342,489,359,"1,014","2,320"
CC,18,8,26,23,128,208,125,287,824
16,117,85,347,140,18,92,108,229,"1,137"
24,134,127,522,211,81,19,84,221,"1,399"
GP,97,102,421,123,96,85,17,35,975
BP,231,267,"1,281",250,188,183,33,27,"2,458"
Entries,655,621,"2,675",809,"1,124","1,437","1,032","2,773","11,127"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,3,17,17,85,128,83,183,536
MT,2,14,10,13,103,133,128,446,848
PL,19,11,52,20,246,341,247,697,"1,631"
CC,14,10,19,28,115,181,112,254,733
16,86,64,267,125,16,72,89,165,882
24,108,90,410,166,75,25,84,174,"1,132"
GP,72,72,337,98,87,82,21,28,796
BP,206,207,"1,027",212,147,156,27,32,"2,014"
Entries,530,470,"2,138",678,873,"1,116",789,"1,979","8,573"
