Exit stations,Entry stations->,,SATURDAY,,,Aug 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	7 , 	23 , 	23 , 	14 , 	91 , 	24 , 	29 , 	20 , 	22 , 	5 , 	34 , 	32 , 	9 , 	7 , 	8 , 	4 , 	3 , 	4 , 	7 , 	4 , 	9 , 	3 , 	1 , 	7 , 	7 , 	59 , 	38 , 	135 , 	45 , 	45 , 	62 , 	13 , 	17 , 	15 , 	3 , 	2 , 	4 , 	1 , 	2 , 	4 , 	6 , 	17 , 	4 , 	2 , 	3 , 	3 , 	3 , 	4 , 	4 , 	3 , 	883 ,,,,,,,,,,
CL, 	30 , 	79 , 	39 , 	40 , 	57 , 	44 , 	76 , 	60 , 	75 , 	112 , 	130 , 	22 , 	152 , 	93 , 	84 , 	40 , 	57 , 	77 , 	44 , 	59 , 	63 , 	42 , 	26 , 	40 , 	36 , 	139 , 	94 , 	187 , 	89 , 	56 , 	59 , 	30 , 	21 , 	48 , 	5 , 	53 , 	254 , 	18 , 	22 , 	9 , 	10 , 	15 , 	15 , 	87 , 	35 , 	37 , 	49 , 	118 , 	5 , 	31 ," 	3,060 ",,,,,,,,,,
SL, 	11 , 	16 , 	7 , 	5 , 	23 , 	10 , 	20 , 	23 , 	33 , 	50 , 	67 , 	152 , 	9 , 	48 , 	39 , 	20 , 	19 , 	18 , 	6 , 	2 , 	5 , 	3 , 	-   , 	7 , 	14 , 	82 , 	58 , 	139 , 	60 , 	31 , 	22 , 	8 , 	18 , 	12 , 	4 , 	17 , 	22 , 	1 , 	5 , 	3 , 	3 , 	11 , 	1 , 	19 , 	4 , 	7 , 	9 , 	13 , 	2 , 	6 ," 	1,156 ",,,,,,,,,,
BF, 	8 , 	12 , 	7 , 	5 , 	23 , 	7 , 	16 , 	20 , 	36 , 	42 , 	75 , 	107 , 	43 , 	12 , 	39 , 	22 , 	21 , 	19 , 	7 , 	4 , 	2 , 	2 , 	2 , 	5 , 	16 , 	77 , 	53 , 	127 , 	48 , 	24 , 	21 , 	6 , 	9 , 	10 , 	6 , 	14 , 	32 , 	1 , 	4 , 	1 , 	2 , 	9 , 	1 , 	21 , 	2 , 	11 , 	7 , 	17 , 	1 , 	2 ," 	1,053 ",,,,,,,,,,
HY, 	7 , 	14 , 	5 , 	3 , 	21 , 	7 , 	18 , 	16 , 	20 , 	19 , 	46 , 	82 , 	43 , 	37 , 	10 , 	20 , 	26 , 	29 , 	5 , 	3 , 	4 , 	1 , 	2 , 	4 , 	8 , 	36 , 	19 , 	55 , 	20 , 	15 , 	14 , 	6 , 	7 , 	10 , 	2 , 	4 , 	11 , 	1 , 	4 , 	1 , 	4 , 	6 , 	1 , 	11 , 	6 , 	16 , 	12 , 	20 , 	1 , 	4 , 	731 ,,,,,,,,,,
SH, 	5 , 	4 , 	4 , 	1 , 	10 , 	3 , 	6 , 	11 , 	9 , 	9 , 	30 , 	37 , 	20 , 	17 , 	18 , 	5 , 	10 , 	18 , 	3 , 	2 , 	1 , 	0 , 	0 , 	2 , 	4 , 	32 , 	18 , 	33 , 	18 , 	8 , 	10 , 	2 , 	2 , 	4 , 	2 , 	4 , 	5 , 	1 , 	1 , 	0 , 	2 , 	5 , 	2 , 	6 , 	3 , 	14 , 	12 , 	14 , 	1 , 	2 , 	421 ,,,,,,,,,,
UC, 	4 , 	7 , 	4 , 	2 , 	25 , 	6 , 	7 , 	8 , 	10 , 	17 , 	21 , 	52 , 	19 , 	16 , 	28 , 	9 , 	9 , 	26 , 	5 , 	1 , 	3 , 	0 , 	0 , 	2 , 	5 , 	43 , 	21 , 	50 , 	31 , 	10 , 	8 , 	5 , 	4 , 	4 , 	1 , 	7 , 	9 , 	0 , 	2 , 	1 , 	0 , 	7 , 	1 , 	4 , 	5 , 	13 , 	14 , 	15 , 	1 , 	1 , 	539 ,,,,,,,,,,
FM, 	5 , 	4 , 	4 , 	5 , 	27 , 	4 , 	8 , 	11 , 	14 , 	17 , 	24 , 	69 , 	14 , 	20 , 	24 , 	20 , 	22 , 	15 , 	2 , 	1 , 	1 , 	0 , 	-   , 	3 , 	2 , 	52 , 	33 , 	61 , 	30 , 	19 , 	11 , 	4 , 	5 , 	5 , 	2 , 	2 , 	6 , 	0 , 	2 , 	-   , 	2 , 	7 , 	1 , 	4 , 	8 , 	13 , 	29 , 	30 , 	0 , 	2 , 	637 ,,,,,,,,,,
CN, 	6 , 	5 , 	5 , 	3 , 	16 , 	5 , 	18 , 	16 , 	15 , 	3 , 	12 , 	39 , 	5 , 	6 , 	6 , 	3 , 	4 , 	1 , 	13 , 	22 , 	71 , 	28 , 	6 , 	25 , 	6 , 	77 , 	44 , 	98 , 	45 , 	21 , 	23 , 	7 , 	11 , 	10 , 	3 , 	2 , 	4 , 	8 , 	45 , 	3 , 	5 , 	37 , 	7 , 	1 , 	10 , 	2 , 	4 , 	6 , 	29 , 	31 , 	862 ,,,,,,,,,,
PH, 	3 , 	3 , 	2 , 	2 , 	13 , 	4 , 	11 , 	11 , 	15 , 	1 , 	4 , 	59 , 	3 , 	3 , 	3 , 	1 , 	2 , 	2 , 	23 , 	5 , 	32 , 	12 , 	3 , 	20 , 	2 , 	91 , 	42 , 	85 , 	47 , 	18 , 	13 , 	6 , 	4 , 	8 , 	2 , 	-   , 	3 , 	5 , 	12 , 	3 , 	4 , 	34 , 	5 , 	-   , 	12 , 	0 , 	2 , 	4 , 	9 , 	7 , 	648 ,,,,,,,,,,
WC, 	6 , 	7 , 	7 , 	5 , 	24 , 	5 , 	18 , 	25 , 	21 , 	4 , 	8 , 	51 , 	9 , 	3 , 	2 , 	1 , 	2 , 	2 , 	83 , 	40 , 	11 , 	16 , 	10 , 	27 , 	8 , 	122 , 	60 , 	94 , 	64 , 	30 , 	16 , 	11 , 	8 , 	8 , 	2 , 	1 , 	2 , 	8 , 	34 , 	2 , 	4 , 	35 , 	4 , 	0 , 	9 , 	1 , 	3 , 	3 , 	10 , 	19 , 	940 ,,,,,,,,,,
