Exit stations,Entry stations->,,TOTAL,,,Aug 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	238 ," 	1,444 "," 	1,068 ", 	790 ," 	3,750 ", 	986 ," 	1,646 ", 	890 ," 	1,226 ", 	396 ," 	1,149 ", 	984 , 	438 , 	352 , 	382 , 	179 , 	173 , 	155 , 	219 , 	101 , 	305 , 	128 , 	68 , 	258 , 	340 ," 	3,290 "," 	2,788 "," 	5,367 "," 	3,106 "," 	2,289 "," 	2,345 ", 	607 , 	684 , 	567 , 	227 , 	65 , 	126 , 	81 , 	137 , 	154 , 	291 , 	526 , 	225 , 	72 , 	203 , 	110 , 	77 , 	174 , 	138 , 	97 ," 	41,411 ",,,,,,,,,,,,,
CL," 	1,086 "," 	1,753 ", 	845 , 	798 ," 	1,690 "," 	1,019 "," 	2,231 "," 	1,930 "," 	2,345 "," 	2,672 "," 	3,879 ", 	596 ," 	3,025 "," 	2,552 "," 	2,211 "," 	1,198 "," 	1,296 "," 	1,541 ", 	847 , 	960 , 	814 , 	639 , 	435 , 	767 ," 	1,382 "," 	4,221 "," 	3,290 "," 	5,029 "," 	3,473 "," 	1,768 "," 	1,831 ", 	688 , 	793 , 	936 , 	136 ," 	1,122 "," 	4,469 ", 	305 , 	525 , 	171 , 	239 , 	460 , 	270 ," 	1,514 ", 	716 , 	918 , 	730 ," 	1,646 ", 	215 , 	717 ," 	74,693 ",,,,,,,,,,,,,
SL, 	523 , 	619 , 	311 , 	220 ," 	1,266 ", 	485 ," 	1,167 "," 	1,084 "," 	1,883 "," 	2,672 "," 	3,076 "," 	3,134 ", 	344 ," 	1,678 "," 	1,758 "," 	1,245 ", 	790 , 	883 , 	278 , 	168 , 	235 , 	92 , 	63 , 	234 , 	611 ," 	4,598 "," 	4,341 "," 	5,278 "," 	3,848 "," 	1,449 "," 	1,296 ", 	382 , 	655 , 	616 , 	102 , 	652 ," 	1,125 ", 	40 , 	190 , 	122 , 	154 , 	458 , 	66 , 	702 , 	158 , 	499 , 	277 , 	425 , 	120 , 	333 ," 	52,705 ",,,,,,,,,,,,,
BF, 	324 , 	424 , 	218 , 	148 , 	848 , 	357 , 	859 ," 	1,027 "," 	1,629 "," 	1,875 "," 	3,188 "," 	2,788 "," 	1,729 ", 	306 ," 	1,213 ", 	954 , 	864 ," 	1,085 ", 	246 , 	114 , 	128 , 	50 , 	89 , 	141 , 	473 ," 	3,762 "," 	3,507 "," 	4,875 "," 	3,016 "," 	1,283 ", 	742 , 	368 , 	444 , 	427 , 	124 , 	507 ," 	1,309 ", 	53 , 	123 , 	110 , 	133 , 	322 , 	64 , 	655 , 	103 , 	609 , 	326 , 	372 , 	64 , 	72 ," 	44,447 ",,,,,,,,,,,,,
HY, 	369 , 	634 , 	228 , 	187 , 	931 , 	270 , 	749 , 	850 ," 	1,374 "," 	1,181 "," 	2,244 "," 	2,146 "," 	1,963 "," 	1,199 ", 	234 , 	972 ," 	1,936 "," 	1,799 ", 	275 , 	146 , 	168 , 	33 , 	58 , 	141 , 	437 ," 	2,132 "," 	1,657 "," 	2,389 "," 	2,000 ", 	783 , 	602 , 	256 , 	312 , 	420 , 	76 , 	215 , 	693 , 	46 , 	149 , 	54 , 	172 , 	199 , 	76 , 	375 , 	147 , 	862 , 	574 , 	744 , 	67 , 	186 ," 	35,710 ",,,,,,,,,,,,,
SH, 	212 , 	211 , 	160 , 	54 , 	508 , 	142 , 	407 , 	537 , 	722 , 	788 ," 	1,309 "," 	1,175 "," 	1,082 ", 	822 , 	905 , 	158 , 	497 , 	774 , 	117 , 	42 , 	74 , 	20 , 	16 , 	58 , 	271 ," 	1,862 "," 	1,601 "," 	1,779 "," 	1,381 ", 	492 , 	495 , 	161 , 	134 , 	262 , 	79 , 	190 , 	255 , 	15 , 	113 , 	52 , 	68 , 	187 , 	41 , 	226 , 	132 , 	814 , 	380 , 	441 , 	19 , 	89 ," 	22,329 ",,,,,,,,,,,,,
UC, 	172 , 	320 , 	175 , 	74 , 	982 , 	238 , 	460 , 	625 , 	804 , 	861 , 	988 ," 	1,208 ", 	943 , 	783 ," 	1,885 ", 	476 , 	262 , 	926 , 	127 , 	55 , 	102 , 	24 , 	11 , 	96 , 	198 ," 	2,060 "," 	1,616 "," 	1,744 "," 	1,570 ", 	619 , 	299 , 	123 , 	178 , 	219 , 	71 , 	159 , 	468 , 	6 , 	60 , 	34 , 	26 , 	276 , 	29 , 	210 , 	213 , 	850 , 	618 , 	699 , 	52 , 	125 ," 	25,119 ",,,,,,,,,,,,,
FM, 	188 , 	340 , 	177 , 	143 , 	963 , 	249 , 	514 , 	528 , 	679 , 	756 ," 	1,172 "," 	1,486 ", 	937 ," 	1,072 "," 	1,730 ", 	841 , 	992 , 	289 , 	136 , 	108 , 	77 , 	13 , 	32 , 	86 , 	143 ," 	1,967 "," 	1,684 "," 	1,695 "," 	1,392 ", 	599 , 	388 , 	147 , 	166 , 	254 , 	66 , 	183 , 	331 , 	12 , 	114 , 	16 , 	43 , 	292 , 	47 , 	158 , 	299 , 	653 , 	877 , 	920 , 	49 , 	100 ," 	26,103 ",,,,,,,,,,,,,
CN, 	195 , 	261 , 	185 , 	139 , 	679 , 	180 , 	888 ," 	1,006 "," 	1,139 ", 	282 , 	421 , 	879 , 	263 , 	247 , 	281 , 	103 , 	118 , 	115 , 	457 , 	816 ," 	2,305 "," 	1,162 ", 	272 , 	792 , 	233 ," 	3,702 "," 	3,213 "," 	4,295 "," 	3,382 "," 	1,179 "," 	1,028 ", 	432 , 	377 , 	464 , 	197 , 	39 , 	122 , 	445 ," 	1,822 ", 	130 , 	228 ," 	1,490 ", 	200 , 	39 , 	407 , 	69 , 	132 , 	96 ," 	1,243 "," 	1,388 "," 	39,537 ",,,,,,,,,,,,,
PH, 	112 , 	141 , 	66 , 	92 , 	764 , 	138 , 	897 , 	936 ," 	1,065 ", 	155 , 	162 , 	843 , 	167 , 	80 , 	127 , 	45 , 	51 , 	93 , 	917 , 	237 ," 	1,011 ", 	446 , 	271 , 	793 , 	134 ," 	4,970 "," 	4,172 "," 	3,714 "," 	2,937 ", 	827 , 	654 , 	418 , 	222 , 	371 , 	59 , 	26 , 	92 , 	257 , 	719 , 	108 , 	217 ," 	1,442 ", 	110 , 	5 , 	525 , 	33 , 	40 , 	74 , 	390 , 	501 ," 	32,626 ",,,,,,,,,,,,,
WC, 	281 , 	305 , 	159 , 	171 , 	797 , 	151 , 	970 ," 	1,213 "," 	1,284 ", 	216 , 	441 , 	739 , 	253 , 	147 , 	176 , 	83 , 	117 , 	85 ," 	2,660 "," 	1,157 ", 	272 , 	618 , 	441 ," 	1,158 ", 	247 ," 	4,852 "," 	3,777 "," 	3,068 "," 	2,961 "," 	1,103 ", 	644 , 	228 , 	256 , 	375 , 	121 , 	52 , 	55 , 	468 ," 	1,326 ", 	209 , 	174 ," 	1,652 ", 	142 , 	13 , 	479 , 	19 , 	49 , 	90 , 	506 , 	852 ," 	37,612 ",,,,,,,,,,,,,
