Exit stations,Entry stations->,,TOTAL,,,Aug 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	238 ," 	1,444 "," 	1,068 ", 	790 ," 	3,750 ", 	986 ," 	1,646 ", 	890 ," 	1,226 ", 	396 ," 	1,149 ", 	984 , 	438 , 	352 , 	382 , 	179 , 	173 , 	155 , 	219 , 	101 , 	305 , 	128 , 	68 , 	258 , 	340 ," 	3,290 "," 	2,788 "," 	5,367 "," 	3,106 "," 	2,289 "," 	2,345 ", 	607 , 	684 , 	567 , 	227 , 	65 , 	126 , 	81 , 	137 , 	154 , 	291 , 	526 , 	225 , 	72 , 	203 , 	110 , 	77 , 	174 , 	138 , 	97 ," 	41,411 ",,,,,,,,,,,,,
GP, 	551 , 	662 , 	260 , 	293 , 	811 , 	230 , 	652 , 	766 , 	875 , 	524 , 	550 , 	593 , 	354 , 	327 , 	213 , 	128 , 	97 , 	105 , 	392 , 	288 , 	219 , 	153 , 	157 , 	482 , 	611 ," 	4,176 "," 	4,985 "," 	7,507 "," 	4,160 "," 	2,682 "," 	2,437 ", 	318 , 	841 , 	699 , 	597 , 	129 , 	258 , 	104 , 	357 , 	459 , 	796 ," 	1,194 ", 	740 , 	112 , 	185 , 	45 , 	65 , 	62 , 	91 , 	370 ," 	43,662 ",,,,,,,,,,,,,
BP, 	656 , 	878 , 	205 , 	283 , 	757 , 	283 , 	656 , 	696 ," 	1,058 ", 	661 , 	872 , 	735 , 	546 , 	409 , 	275 , 	155 , 	191 , 	149 , 	354 , 	187 , 	315 , 	62 , 	71 , 	562 , 	954 ," 	5,963 "," 	7,327 "," 	16,109 "," 	6,761 "," 	3,814 "," 	3,746 ", 	766 , 	429 , 	793 ," 	1,076 ", 	107 , 	390 , 	67 , 	474 , 	617 ," 	1,340 "," 	1,362 "," 	1,184 ", 	146 , 	123 , 	68 , 	116 , 	104 , 	111 , 	369 ," 	65,332 ",,,,,,,,,,,,,
DC, 	544 ," 	1,052 ", 	280 , 	307 , 	760 , 	214 , 	517 , 	657 ," 	1,009 ", 	530 ," 	1,027 ", 	942 , 	618 , 	448 , 	430 , 	274 , 	295 , 	240 , 	418 , 	358 , 	407 , 	88 , 	150 , 	263 , 	579 ," 	5,980 "," 	6,135 "," 	11,311 "," 	6,498 "," 	3,841 "," 	3,264 ", 	712 , 	880 , 	475 , 	481 , 	227 , 	677 , 	119 , 	457 , 	790 ," 	1,317 "," 	2,507 "," 	1,534 ", 	191 , 	206 , 	210 , 	132 , 	174 , 	234 , 	599 ," 	61,358 ",,,,,,,,,,,,,
CM, 	174 , 	270 , 	21 , 	93 , 	212 , 	72 , 	148 , 	176 , 	439 , 	66 , 	151 , 	130 , 	87 , 	84 , 	85 , 	83 , 	57 , 	58 , 	193 , 	72 , 	131 , 	72 , 	23 , 	66 , 	158 ," 	2,077 "," 	2,414 "," 	4,388 "," 	2,863 "," 	1,598 "," 	1,716 ", 	588 , 	975 , 	491 , 	186 , 	31 , 	93 , 	33 , 	250 , 	154 , 	530 ," 	1,945 ", 	636 , 	10 , 	28 , 	31 , 	24 , 	14 , 	98 , 	235 ," 	24,529 ",,,,,,,,,,,,,
CV, 	42 , 	52 , 	86 , 	50 , 	267 , 	79 , 	140 , 	179 , 	215 ," 	1,127 ", 	669 ," 	1,107 ", 	781 , 	489 , 	253 , 	178 , 	191 , 	156 , 	22 , 	43 , 	61 , 	13 , 	21 , 	52 , 	136 ," 	1,972 "," 	1,942 "," 	1,795 "," 	1,424 ", 	467 , 	229 , 	146 , 	135 , 	232 , 	39 , 	102 , 	908 , 	24 , 	15 , 	31 , 	66 , 	226 , 	41 , 	646 , 	84 , 	83 , 	51 , 	101 , 	10 , 	19 ," 	17,197 ",,,,,,,,,,,,,
ED, 	121 , 	231 , 	67 , 	103 , 	884 , 	175 , 	391 , 	386 , 	460 ," 	1,335 "," 	1,763 "," 	4,693 "," 	1,132 "," 	1,193 ", 	613 , 	277 , 	446 , 	337 , 	129 , 	71 , 	63 , 	15 , 	7 , 	76 , 	260 ," 	6,180 "," 	4,105 "," 	4,161 "," 	3,158 "," 	1,143 ", 	664 , 	321 , 	415 , 	672 , 	82 , 	833 , 	468 , 	9 , 	52 , 	72 , 	57 ," 	1,232 ", 	87 , 	333 , 	846 , 	242 , 	202 , 	295 , 	42 , 	58 ," 	40,957 ",,,,,,,,,,,,,
NC, 	62 , 	62 , 	35 , 	29 , 	147 , 	36 , 	179 , 	200 , 	297 , 	48 , 	72 , 	273 , 	76 , 	54 , 	31 , 	14 , 	11 , 	13 , 	313 , 	243 , 	299 , 	70 , 	31 , 	167 , 	21 ," 	1,130 "," 	1,098 "," 	1,263 "," 	1,085 ", 	314 , 	296 , 	112 , 	114 , 	120 , 	48 , 	17 , 	9 , 	71 , 	321 , 	86 , 	56 , 	534 , 	18 , 	5 , 	101 , 	3 , 	14 , 	12 , 	211 , 	224 ," 	10,045 ",,,,,,,,,,,,,
WP, 	168 , 	191 , 	125 , 	75 , 	440 , 	98 , 	851 , 	699 , 	917 , 	133 , 	298 , 	434 , 	195 , 	136 , 	118 , 	93 , 	61 , 	83 ," 	1,894 ", 	782 ," 	1,288 ", 	304 , 	181 , 	373 , 	202 ," 	2,877 "," 	2,672 "," 	4,662 "," 	3,052 "," 	1,408 "," 	1,141 ", 	391 , 	492 , 	459 , 	268 , 	15 , 	39 , 	283 , 	213 , 	227 , 	279 ," 	1,261 ", 	79 , 	17 , 	281 , 	79 , 	36 , 	47 , 	213 , 	372 ," 	31,002 ",,,,,,,,,,,,,
SS, 	166 , 	295 , 	89 , 	66 , 	246 , 	62 , 	212 , 	208 , 	395 , 	99 , 	147 , 	169 , 	138 , 	105 , 	56 , 	47 , 	26 , 	12 , 	135 , 	133 , 	201 , 	20 , 	52 , 	72 , 	254 ," 	1,706 "," 	1,982 "," 	3,202 "," 	2,213 "," 	1,312 "," 	1,320 ", 	445 , 	742 , 	862 , 	183 , 	40 , 	80 , 	87 , 	191 , 	140 , 	324 , 	848 , 	382 , 	24 , 	41 , 	18 , 	13 , 	24 , 	29 , 	242 ," 	19,855 ",,,,,,,,,,,,,
SB, 	283 , 	347 , 	64 , 	59 , 	299 , 	132 , 	192 , 	238 , 	325 , 	59 , 	240 , 	215 , 	178 , 	175 , 	164 , 	80 , 	39 , 	66 , 	285 , 	181 , 	173 , 	69 , 	24 , 	149 , 	241 ," 	1,511 "," 	1,703 "," 	3,200 "," 	2,165 "," 	1,600 "," 	1,649 ", 	820 ," 	1,313 "," 	1,442 ", 	485 , 	67 , 	51 , 	63 , 	238 , 	367 , 	218 , 	876 , 	305 , 	34 , 	37 , 	12 , 	14 , 	9 , 	66 , 	203 ," 	22,725 ",,,,,,,,,,,,,
SO, 	458 ," 	1,025 ", 	522 , 	816 ," 	1,119 ", 	560 ," 	1,099 ", 	778 , 	938 , 	300 , 	498 , 	305 , 	339 , 	287 , 	156 , 	158 , 	179 , 	160 ," 	1,296 "," 	1,364 "," 	1,377 ", 	858 , 	588 ," 	1,131 "," 	1,186 "," 	2,719 "," 	2,677 "," 	8,118 "," 	3,272 "," 	2,303 "," 	1,620 ", 	912 ," 	1,108 "," 	1,995 "," 	1,538 ", 	131 , 	814 , 	448 ," 	1,160 ", 	507 , 	444 , 	827 ," 	2,638 ", 	214 , 	296 , 	75 , 	73 , 	33 , 	163 ," 	1,164 "," 	52,746 ",,,,,,,,,,,,,
MB, 	223 , 	532 , 	216 , 	161 , 	893 , 	167 , 	367 , 	272 , 	496 , 	91 , 	145 , 	228 , 	74 , 	89 , 	55 , 	47 , 	40 , 	38 , 	191 , 	103 , 	131 , 	75 , 	38 , 	115 , 	324 ," 	1,660 "," 	2,241 "," 	2,633 "," 	2,409 "," 	1,553 "," 	1,265 ", 	722 ," 	1,140 "," 	1,482 ", 	601 , 	18 , 	75 , 	24 , 	64 , 	367 , 	208 ," 	3,278 ", 	576 , 	17 , 	73 , 	7 , 	7 , 	5 , 	34 , 	190 ," 	25,760 ",,,,,,,,,,,,,
WD, 	65 , 	98 , 	59 , 	25 , 	289 , 	35 , 	156 , 	181 , 	161 , 	691 , 	802 ," 	1,398 ", 	628 , 	695 , 	410 , 	249 , 	219 , 	161 , 	39 , 	46 , 	28 , 	1 , 	3 , 	18 , 	98 ," 	2,118 "," 	1,453 "," 	1,475 "," 	1,435 ", 	402 , 	331 , 	160 , 	138 , 	218 , 	12 , 	619 , 	394 , 	19 , 	16 , 	24 , 	26 , 	336 , 	10 , 	176 , 	320 , 	63 , 	67 , 	110 , 	10 , 	33 ," 	16,520 ",,,,,,,,,,,,,
OA, 	115 , 	359 , 	261 , 	287 , 	651 , 	243 , 	325 , 	345 , 	363 , 	238 , 	136 , 	546 , 	73 , 	62 , 	99 , 	75 , 	149 , 	173 , 	294 , 	402 , 	280 , 	162 , 	76 , 	164 , 	75 ," 	1,022 ", 	714 ," 	1,061 ", 	509 , 	293 , 	252 , 	179 , 	108 , 	163 , 	20 , 	50 , 	536 , 	88 , 	254 , 	45 , 	17 , 	307 , 	47 , 	200 , 	128 , 	61 , 	117 , 	121 , 	25 , 	281 ," 	12,551 ",,,,,,,,,,,,,
WS, 	108 , 	186 , 	77 , 	141 , 	477 , 	137 , 	172 , 	261 , 	276 , 	528 , 	634 , 	853 , 	451 , 	546 , 	718 , 	653 , 	673 , 	505 , 	60 , 	29 , 	16 , 	17 , 	19 , 	46 , 	102 , 	742 , 	631 , 	689 , 	516 , 	213 , 	149 , 	78 , 	90 , 	188 , 	26 , 	77 , 	180 , 	3 , 	125 , 	45 , 	14 , 	120 , 	5 , 	65 , 	98 , 	169 , 	614 , 	916 , 	5 , 	73 ," 	13,516 ",,,,,,,,,,,,,
ML, 	113 , 	165 , 	67 , 	99 , 	804 , 	180 , 	229 , 	251 , 	300 , 	269 , 	403 , 	619 , 	291 , 	274 , 	532 , 	345 , 	653 , 	928 , 	139 , 	34 , 	71 , 	16 , 	25 , 	74 , 	52 , 	835 , 	667 , 	850 , 	619 , 	283 , 	174 , 	59 , 	103 , 	145 , 	20 , 	55 , 	186 , 	18 , 	54 , 	13 , 	16 , 	103 , 	11 , 	62 , 	120 , 	697 , 	255 , 	272 , 	16 , 	42 ," 	12,608 ",,,,,,,,,,,,,
BE, 	185 , 	310 , 	163 , 	155 ," 	1,194 ", 	315 , 	400 , 	458 , 	430 , 	465 , 	588 ," 	1,521 ", 	423 , 	390 , 	724 , 	446 , 	735 ," 	1,002 ", 	87 , 	69 , 	100 , 	28 , 	32 , 	76 , 	128 ," 	1,241 ", 	880 ," 	1,086 ", 	878 , 	381 , 	240 , 	60 , 	122 , 	196 , 	14 , 	104 , 	285 , 	21 , 	77 , 	21 , 	12 , 	99 , 	4 , 	125 , 	218 ," 	1,029 ", 	263 , 	323 , 	24 , 	69 ," 	18,196 ",,,,,,,,,,,,,
PC, 	88 , 	66 , 	38 , 	19 , 	161 , 	32 , 	463 , 	233 , 	263 , 	67 , 	137 , 	182 , 	99 , 	49 , 	60 , 	15 , 	30 , 	27 ," 	1,035 ", 	361 , 	434 , 	169 , 	102 , 	132 , 	69 , 	614 , 	575 ," 	1,067 ", 	568 , 	385 , 	290 , 	128 , 	86 , 	188 , 	70 , 	5 , 	29 , 	212 , 	196 , 	17 , 	62 , 	160 , 	22 , 	7 , 	68 , 	15 , 	10 , 	27 , 	73 , 	367 ," 	9,572 ",,,,,,,,,,,,,
AN, 	126 , 	171 , 	41 , 	41 , 	388 , 	132 ," 	1,095 ", 	864 ," 	1,170 ", 	241 , 	470 , 	721 , 	294 , 	105 , 	199 , 	86 , 	107 , 	124 ," 	1,400 ", 	490 , 	889 , 	183 , 	110 , 	529 , 	265 ," 	3,195 "," 	2,441 "," 	3,096 "," 	2,850 "," 	1,033 ", 	979 , 	472 , 	361 , 	539 , 	246 , 	21 , 	65 , 	267 , 	421 , 	307 , 	200 ," 	1,277 ", 	184 , 	19 , 	429 , 	143 , 	45 , 	97 , 	395 , 	306 ," 	29,629 ",,,,,,,,,,,,,
Entries," 	41,374 "," 	60,063 "," 	31,464 "," 	25,688 "," 	78,910 "," 	30,485 "," 	59,433 "," 	59,927 "," 	66,242 "," 	46,130 "," 	73,454 "," 	73,203 "," 	51,821 "," 	42,623 "," 	35,356 "," 	23,073 "," 	25,015 "," 	25,579 "," 	39,511 "," 	32,970 "," 	36,262 "," 	18,907 "," 	14,575 "," 	31,228 "," 	54,594 "," 	171,199 "," 	147,699 "," 	212,933 "," 	148,182 "," 	90,850 "," 	89,920 "," 	45,433 "," 	70,253 "," 	59,360 "," 	24,773 "," 	16,693 "," 	40,974 "," 	10,705 "," 	30,882 "," 	19,212 "," 	21,314 "," 	66,141 "," 	25,990 "," 	15,956 "," 	16,500 "," 	14,664 "," 	12,505 "," 	17,361 "," 	10,921 "," 	28,781 "," 	2,487,088 ",,,,,,,,,,,,,
