Total Trip OD																																																			
																																																			
2025 / 04																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	411	"2,106"	"1,973"	"1,203"	"7,846"	"1,606"	"2,401"	"2,041"	"2,426"	629	"1,623"	"1,051"	605	383	536	300	373	309	473	231	505	246	190	394	531	"6,311"	"4,369"	"6,699"	"4,774"	"2,879"	"3,303"	777	"1,055"	"1,868"	423	73	261	75	246	243	421	"1,228"	357	97	164	247	184	379	194	363	"67,382"
EN	"2,199"	549	"1,872"	"1,466"	"12,012"	"2,038"	"2,926"	"3,792"	"5,612"	"1,239"	"2,122"	"1,442"	"1,048"	681	811	294	433	509	616	320	610	274	203	608	656	"11,818"	"9,125"	"11,726"	"8,802"	"3,546"	"2,897"	995	"1,278"	"2,697"	362	142	306	66	273	348	502	"2,081"	754	188	559	525	154	262	387	580	"104,705"
EP	"2,089"	"1,576"	259	"1,338"	"8,915"	"1,474"	"1,692"	"2,422"	"3,286"	762	799	585	441	284	296	105	202	243	283	237	371	177	147	393	201	"6,931"	"5,774"	"4,384"	"4,913"	"1,510"	"1,087"	386	437	834	86	95	162	40	128	116	186	"1,352"	352	112	371	202	57	105	201	326	"58,724"
NB	"1,071"	"1,379"	"1,356"	232	"2,687"	961	"1,161"	"2,251"	"2,573"	579	"1,009"	504	497	217	438	98	202	261	225	322	385	131	118	322	185	"8,157"	"5,976"	"3,852"	"5,411"	"1,803"	"1,216"	459	351	502	88	68	210	46	106	46	101	"1,821"	416	48	509	147	46	103	226	285	"51,157"
BK	"8,479"	"11,972"	"8,974"	"2,957"	"1,435"	"4,384"	"4,896"	"7,074"	"7,066"	"2,586"	"3,965"	"2,226"	"2,457"	"1,815"	"2,137"	"1,055"	"1,921"	"1,957"	"1,327"	"1,395"	"1,655"	853	558	522	"1,170"	"15,380"	"10,756"	"11,597"	"10,471"	"5,482"	"4,437"	"2,135"	"1,574"	"1,998"	592	601	"1,476"	298	891	550	566	"4,464"	"1,988"	518	"1,555"	"1,056"	216	694	"2,134"	"3,007"	"169,272"
AS	"1,606"	"1,973"	"1,489"	"1,022"	"4,121"	289	950	"2,296"	"2,638"	728	"1,632"	887	576	411	552	278	312	310	283	249	230	129	111	213	386	"7,417"	"5,470"	"4,260"	"5,446"	"2,472"	"1,499"	505	466	618	93	101	277	69	208	77	100	"1,324"	403	116	382	228	101	208	325	435	"56,271"
MA	"2,509"	"2,745"	"1,515"	"1,230"	"5,257"	"1,008"	519	"2,045"	"2,965"	780	"2,224"	"1,773"	"1,667"	971	"1,071"	693	529	705	"1,978"	"1,461"	"1,766"	719	467	"1,113"	766	"12,379"	"9,099"	"8,602"	"9,206"	"5,063"	"3,033"	"1,037"	"1,028"	940	219	185	620	308	"1,671"	265	383	"2,085"	519	339	424	409	460	"1,686"	567	630	"99,633"
19	"2,232"	"3,626"	"2,380"	"2,163"	"6,638"	"2,379"	"1,939"	503	632	443	"1,529"	"1,730"	"1,987"	"1,585"	"1,660"	"1,018"	"1,381"	"1,591"	"2,296"	"2,455"	"2,508"	"1,190"	893	"2,026"	950	"16,413"	"11,624"	"10,836"	"11,701"	"5,940"	"4,021"	"1,658"	"1,436"	"1,783"	434	480	"1,169"	645	"1,419"	491	668	"1,981"	988	574	480	802	471	"1,608"	"1,064"	"1,377"	"127,797"
12	"2,642"	"5,612"	"3,149"	"2,745"	"6,484"	"2,443"	"2,847"	560	792	359	"1,963"	"1,966"	"3,334"	"2,369"	"2,197"	"1,688"	"1,945"	"2,089"	"2,927"	"3,378"	"2,916"	"1,531"	"1,204"	"3,330"	"1,304"	"16,044"	"10,482"	"12,286"	"10,839"	"4,765"	"3,820"	"2,099"	"1,961"	"2,387"	930	737	"2,165"	958	"2,191"	838	924	"2,552"	"1,149"	896	525	699	638	"2,196"	953	"1,178"	"145,986"
