Avg Weekday Trip OD																																																			
																																																			
2025 / 04																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	14	81	73	45	294	62	91	81	95	22	61	39	23	15	21	11	15	12	18	8	19	9	7	14	21	245	176	252	188	111	127	30	42	78	16	3	9	3	9	9	16	44	12	4	6	10	7	15	7	14	"2,582"
EN	83	19	71	47	471	77	114	152	227	48	80	55	40	25	31	11	16	20	23	12	23	10	8	23	26	471	372	443	352	138	109	39	50	114	13	5	11	3	10	13	20	74	29	6	21	21	6	9	14	19	"4,073"
EP	74	61	8	32	342	56	63	91	121	30	29	21	17	10	11	3	8	8	11	9	14	6	5	14	7	276	235	158	184	55	39	15	17	35	3	4	5	2	5	5	7	48	13	4	12	8	2	4	7	11	"2,207"
NB	39	43	31	8	98	29	40	82	90	23	37	18	18	7	16	3	8	9	8	12	14	4	4	10	6	324	240	133	195	61	40	15	14	19	3	2	8	2	4	2	4	62	15	1	18	5	2	4	8	9	"1,845"
BK	318	472	345	107	45	171	187	278	265	102	153	88	95	68	81	40	71	70	53	55	62	31	21	19	43	538	385	371	365	187	162	76	59	71	23	21	49	12	36	22	21	156	64	17	57	35	9	28	69	87	"6,161"
AS	61	74	57	33	161	9	33	82	88	27	60	31	22	16	20	11	11	10	10	10	7	5	5	8	13	293	225	153	197	85	53	18	18	24	3	4	10	3	8	3	4	46	15	5	13	9	4	8	12	13	"2,090"
MA	94	106	56	43	201	36	18	71	101	29	82	62	66	35	41	28	21	28	78	59	69	28	17	38	27	491	370	311	347	176	107	39	41	38	8	8	24	13	68	11	15	74	19	13	14	16	17	69	21	22	"3,764"
19	87	145	92	81	258	87	71	18	25	17	58	64	78	62	63	42	58	67	93	102	103	48	37	69	34	650	473	396	448	210	142	64	57	70	17	19	49	28	60	20	27	70	39	24	16	33	19	67	43	54	"4,956"
12	103	226	111	91	244	77	92	21	25	13	65	74	130	97	86	71	83	88	123	145	121	62	47	81	46	642	427	451	416	176	146	85	78	97	37	30	93	42	95	34	37	90	45	39	19	29	27	94	39	47	"5,635"
