Avg Saturday Trip OD																																																			
																																																			
2025 / 04																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	13	50	56	37	210	37	59	39	50	15	38	31	14	7	13	7	6	8	10	9	13	8	5	13	11	125	78	164	91	66	80	18	23	25	11	3	7	1	5	9	11	32	14	1	2	7	5	10	7	9	"1,554"
EN	56	16	48	89	249	51	59	70	106	21	49	44	25	22	21	11	12	12	14	9	15	10	6	16	13	213	146	285	159	65	72	19	27	30	11	4	7	1	9	10	12	54	16	3	10	9	5	8	9	23	"2,246"
EP	69	37	12	138	218	37	46	80	124	17	24	25	10	6	7	5	3	9	6	4	11	7	4	12	6	127	93	138	150	40	34	10	8	14	2	3	7	1	2	2	5	39	11	3	8	4	3	2	7	13	"1,638"
NB	37	93	149	7	92	62	41	74	125	12	30	27	16	10	15	3	3	8	7	8	10	8	6	21	9	144	103	132	202	60	51	14	6	11	2	3	4	1	3	2	3	55	14	4	11	5	2	2	8	14	"1,724"
BK	224	247	215	110	59	89	116	143	207	45	95	49	62	46	61	30	59	54	28	30	47	27	17	18	27	507	336	529	369	199	135	65	41	66	13	21	58	7	18	8	14	125	89	21	34	42	3	14	78	130	"5,021"
AS	39	51	35	48	92	11	32	86	143	18	45	41	14	8	16	6	10	10	7	6	12	3	2	9	15	139	69	130	172	76	46	15	11	8	4	4	9		3	2	2	35	12	2	8	5	1	2	8	18	"1,532"
MA	67	59	44	45	123	30	16	79	144	19	58	83	34	28	24	15	9	12	37	23	41	18	18	40	23	213	136	252	246	161	101	25	22	17	7	2	14	4	25	5	10	45	13	6	12	8	11	24	13	19	"2,474"
19	43	69	60	62	147	76	59	17	18	8	34	58	42	32	39	14	15	19	36	37	40	19	14	90	27	310	183	316	275	177	130	42	26	38	9	12	14	7	13	7	13	41	22	8	10	11	8	20	18	25	"2,803"
12	57	115	147	161	186	159	164	15	30	9	111	65	89	36	49	23	21	23	36	34	38	29	34	359	51	277	147	337	252	125	90	36	35	37	14	16	19	8	14	13	18	64	23	7	12	9	9	20	13	22	"3,653"
LM	13	17	13	9	45	16	19	7	10	14	70	113	102	86	40	18	23	24	4	5	5	0	3	7	14	173	116	214	163	93	62	18	25	18	3	32	49	2	4	2	2	10	3	22	11	11	1	4	22	30	"1,761"
FV	39	45	25	27	100	39	54	45	108	57	16	158	88	100	83	33	35	34	11	5	13	7	8	23	52	210	134	266	205	114	98	24	34	34	7	29	53	1	12	3	6	21	8	28	7	19	5	10	22	45	"2,595"
CL	41	46	25	24	58	48	82	64	57	78	140	17	96	77	67	39	29	28	27	17	15	7	11	42	45	116	76	133	96	60	54	20	24	31	6	33	55	2	15	4	7	13	7	28	10	17	9	16	19	40	"2,065"
SL	13	23	11	12	70	14	36	43	93	90	98	103	15	63	77	32	23	31	9	5	7	2	1	11	19	155	117	230	121	49	37	17	24	21	2	26	47	2	6	5	9	16	4	26	6	15	4	8	24	27	"1,891"
BF	9	24	7	8	50	9	26	40	44	83	94	71	58	15	48	35	27	36	9	3	6	1	1	5	23	126	93	235	87	35	25	9	19	19	4	19	48	1	6	2	5	15	1	35	4	22	3	5	17	27	"1,587"
HY	9	18	9	13	62	14	30	40	43	36	74	69	73	45	14	39	55	69	10	5	5	3	1	7	16	99	42	98	50	21	22	7	11	13	3	12	24	1	6	1	4	7	5	16	5	35	2	5	41	40	"1,321"
SH	8	7	5	4	40	8	15	14	19	17	31	39	35	30	34	6	22	45	4	3	6	1	2	4	6	57	34	73	33	11	16	5	5	8	1	7	18	0	3	1	1	5	2	12	2	25	1	3	26	30	776
UC	6	9	5	6	71	9	13	18	20	21	35	31	23	25	65	24	12	36	3	4	3	1	2	5	7	107	57	102	60	21	13	5	7	11	2	8	25	0	2	1	3	9	3	9	7	33	1	3	48	44	"1,027"
FM	5	9	9	8	65	13	15	22	21	25	36	25	30	38	71	43	35	16	2	3	4	0	2	3	6	114	66	108	58	22	15	5	7	11	2	7	21	1	2	1	2	14	2	6	4	29	1	6	68	58	"1,130"
CN	12	14	4	7	32	6	32	37	33	5	9	25	9	9	8	4	2	4	26	67	143	96	24	40	10	145	70	144	83	25	29	12	16	22	3	3	6	30	79	7	9	49	6	4	14	1	51	61	4	8	"1,533"
PH	8	7	4	6	30	7	26	36	33	2	11	16	5	3	3	3	3	2	65	12	49	21	9	42	5	178	90	137	90	30	21	13	4	15	3	1	4	6	24	3	4	72	3	2	16	3	10	20	2	4	"1,157"
WC	15	17	12	12	57	10	43	41	43	7	10	16	5	9	4	5	4	3	162	55	15	41	24	91	7	220	102	177	109	43	24	13	12	16	5	3	2	15	51	6	7	90	6	1	11	1	25	42	5	7	"1,697"
LF	9	7	7	7	32	3	18	24	27	1	7	8	1	1	2	2	1	2	103	28	38	7	7	37	2	157	61	111	83	19	19	8	6	5	1		1	5	9	1	1	59	3		5	0	8	8	1	4	947
OR	4	6	4	5	25	2	17	17	31	2	8	8	1	1	2	2	1	2	29	11	29	9	8	32	3	133	58	96	85	23	13	4	6	5	2	2	2	1	4	2	2	54	4	0	5	1	3	4	2	3	768
RR	14	11	10	31	21	10	30	125	330	7	27	44	13	7	4	3	5	4	38	39	77	41	36	19	9	262	135	206	263	93	57	21	16	11	5	1	3	6	23	4	5	78	7	3	7	1	4	20	4	5	"2,185"
OW	9	15	3	7	31	13	23	32	46	11	47	37	21	18	16	6	8	8	11	5	8	3	3	12	12	418	251	493	364	197	133	26	32	26	8	4	19	2	8	5	11	67	10	4	3	4	6	9	3	9	"2,512"
EM	142	249	158	188	692	170	275	363	323	172	229	129	187	155	106	65	122	137	164	223	263	188	150	302	523	134	19	104	134	269	357	195	223	226	51	118	444	61	113	64	58	247	89	138	31	72	24	91	89	100	"9,118"
MT	105	164	113	125	498	106	162	238	217	106	180	78	141	130	59	50	76	69	87	92	112	76	59	178	308	21	35	19	43	178	230	140	284	198	67	68	180	20	68	48	44	181	66	55	19	32	18	46	55	64	"5,704"
PL	156	238	114	118	430	111	223	283	303	168	234	130	184	173	94	60	88	91	109	130	173	97	89	177	492	121	20	113	73	434	587	332	567	475	155	80	220	41	119	111	111	654	145	69	30	35	24	91	60	69	"9,197"
CC	83	145	152	226	364	186	242	302	227	140	207	88	129	81	52	32	49	51	74	88	104	85	84	269	431	124	41	80	53	296	547	460	270	398	138	53	138	21	45	109	115	247	283	52	14	29	14	42	34	54	"7,541"
16	61	56	38	63	227	80	164	196	130	82	106	53	47	31	19	13	24	19	31	35	45	23	21	96	220	246	154	508	291	25	122	132	167	204	67	16	40	8	22	55	56	133	83	20	5	9	6	19	13	19	"4,294"
24	79	70	35	47	125	58	108	142	94	49	99	48	33	26	22	19	13	15	26	20	24	16	14	62	148	310	204	656	518	97	17	123	144	211	62	16	31	3	23	48	61	99	77	12	7	8	10	19	10	16	"4,163"
GP	14	21	12	16	75	14	26	39	40	16	20	20	11	9	5	7	6	6	12	10	12	10	4	19	31	158	115	356	405	131	131	11	28	32	23	6	13	4	8	14	33	67	41	4	5	3	2	9	4	7	"2,062"
BP	18	27	9	11	41	8	19	25	33	19	27	17	19	18	8	5	7	6	13	7	12	5	2	16	34	182	141	597	250	143	136	28	16	29	43	5	11	2	10	22	35	55	31	7	3	5	5	14	6	8	"2,185"
DC	22	28	14	9	67	12	19	34	32	22	42	29	19	19	12	11	9	13	15	12	16	7	4	10	33	196	165	544	380	228	214	37	41	22	28	8	23	5	14	26	62	129	74	5	5	8	2	11	8	15	"2,752"
CM	11	12	3	4	16	5	5	9	16	4	9	4	2	3	3	1	1	2	6	4	6	2	1	5	10	53	40	170	134	76	59	26	48	16	10	1	3	1	7	6	15	52	23	1	1		3	7	1	2	892
CV	2	3	3	3	21	3	4	15	16	28	29	32	27	17	9	8	6	5	4	1	3	0	1	3	6	105	58	86	46	17	13	6	8	6	1	9	42	1	0	0	2	5	2	41	2	3	0		2	7	707
ED	8	9	5	6	81	10	10	24	19	45	65	60	37	47	33	17	21	20	8	3	2	1	1	4	16	390	161	253	127	41	36	13	20	32	4	45	19	1	1	3	3	57	7	20	21	8	0	2	18	27	"1,856"
NC	1	2	1	1	5	2	7	8	9	1	1	2	1	2	2	2	1	1	32	6	17	4	0	5	2	50	24	50	21	8	4	5	3	6	1	0	1	2	10	2	4	15	2		3	1	9	8	1	1	340
WP	6	8	2	2	15	3	22	11	16	5	10	10	7	5	4	4	3	3	72	29	49	12	5	21	9	94	51	132	53	20	25	7	12	13	6	0	3	11	6	2	5	36	3	1	5	3	9	11	3	4	844
SS	5	10	2	3	12	2	3	8	10	3	6	3	4	5	1	1	1	2	7	5	7	1	1	5	7	55	33	125	110	48	49	17	28	29	5	2	3	2	2	6	15	35	14	1	1		1	5		1	698
SB	12	9	5	3	15	4	8	11	14	3	6	8	6	4	4	1	3	2	9	4	6	1	1	7	13	52	40	137	123	59	65	31	40	61	16	2	3	2	5	15	12	66	8	1	1	1	1	5	1		900
SO	36	46	32	43	157	24	42	35	50	9	22	6	16	12	5	3	6	10	41	56	69	37	26	55	50	169	116	546	188	95	61	52	42	104	31	4	46	11	32	24	39	40	277	9	7	3	4	30	5	3	"2,819"
MB	11	12	9	13	94	11	13	19	23	3	6	8	3	2	3	1	1	2	6	3	5	1	2	6	12	81	52	137	237	71	64	29	43	88	23	1	5	1	2	12	9	310	34	1	1		1	3	1		"1,472"
WD	3	2	3	3	29	3	9	5	5	22	30	31	25	36	19	12	8	9	4	1	1	0		2	5	122	50	83	50	19	9	4	5	7	1	50	20		4	2	1	21	2	6	8	2	0	0	5	8	741
OA	3	10	8	8	40	9	6	7	10	5	4	12	4	2	3	2	5	5	6	12	6	3	1	2	3	23	14	26	14	4	4	3	2	3	1	2	9	3	3		1	9	0	4	4	2	1	3	3	5	313
