Avg Sunday Trip OD																																																			
																																																			
2025 / 04																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	11	29	36	19	135	26	40	26	33	19	33	17	10	5	8	7	4	4	9	3	8	6	2	7	8	109	49	124	67	44	49	12	13	14	10	2	6	2	6	5	8	32	11	3	5	2	2	3	4	7	"1,090"
EN	37	15	30	21	162	35	48	42	48	23	40	14	17	13	13	4	8	7	11	7	10	6	3	7	9	153	92	211	106	60	52	15	18	19	10	3	8	1	5	7	6	57	13	9	16	5	4	8	9	19	"1,530"
EP	45	23	9	21	131	25	31	25	32	11	17	6	6	8	5	4	2	7	4	5	7	3	4	8	4	87	59	92	65	35	22	7	6	4	2	2	4	0	3	2	2	38	4	2	18	1	1	3	5	7	906
NB	19	18	22	8	43	19	29	38	24	9	19	3	7	6	9	3	5	7	4	5	11	2	2	3	4	112	70	101	76	58	30	16	6	10	1	3	5	2	3	1	1	62	9	1	16	3	1	2	7	9	917
BK	149	151	131	39	50	66	80	98	101	39	54	26	29	32	30	15	29	50	12	16	28	13	10	7	28	377	234	327	242	145	86	49	26	42	10	12	41	2	9	11	11	135	58	15	45	29	1	8	78	143	"3,411"
AS	24	36	26	24	51	10	22	36	36	17	35	12	12	5	11	5	6	11	8	4	7	4	2	2	11	105	59	96	104	74	39	11	10	13	4	1	6	1	3	2	3	41	7	2	14	3	1	3	10	18	"1,041"
MA	46	46	25	29	87	23	13	42	40	16	45	20	20	23	19	7	7	9	29	17	24	7	6	27	18	185	104	187	146	139	70	21	9	12	4	3	11	4	17	3	6	69	13	8	16	6	9	20	11	18	"1,731"
19	38	38	29	34	95	40	36	11	5	9	28	22	28	23	27	8	9	13	25	18	23	13	9	36	23	218	124	216	186	154	94	20	18	22	5	4	9	3	11	4	3	72	10	4	22	8	5	12	10	23	"1,886"
12	35	45	30	26	94	27	42	8	32	8	21	22	32	21	27	10	10	17	21	14	26	13	10	31	22	202	125	253	168	99	64	23	27	25	13	3	9	2	13	11	9	81	17	3	13	5	5	13	14	16	"1,851"
