Exit stations,Entry stations->,,SATURDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	6 , 	21 , 	21 , 	11 , 	46 , 	16 , 	22 , 	12 , 	20 , 	6 , 	24 , 	11 , 	7 , 	6 , 	3 , 	7 , 	1 , 	4 , 	4 , 	2 , 	4 , 	1 , 	1 , 	4 , 	6 , 	45 , 	32 , 	98 , 	34 , 	44 , 	45 , 	8 , 	12 , 	12 , 	4 , 	1 , 	3 , 	-   , 	3 , 	1 , 	5 , 	6 , 	3 , 	1 , 	2 , 	2 , 	2 , 	2 , 	2 , 	2 , 	629 ,,,,,,,,,,
CL, 	10 , 	15 , 	6 , 	4 , 	17 , 	14 , 	16 , 	19 , 	21 , 	17 , 	34 , 	6 , 	22 , 	38 , 	30 , 	11 , 	10 , 	12 , 	4 , 	4 , 	4 , 	2 , 	-   , 	4 , 	15 , 	19 , 	26 , 	83 , 	34 , 	19 , 	24 , 	6 , 	8 , 	8 , 	2 , 	6 , 	14 , 	-   , 	8 , 	2 , 	3 , 	3 , 	1 , 	9 , 	6 , 	5 , 	2 , 	4 , 	3 , 	6 , 	629 ,,,,,,,,,,
SL, 	7 , 	9 , 	7 , 	3 , 	10 , 	8 , 	13 , 	17 , 	20 , 	33 , 	52 , 	28 , 	5 , 	34 , 	25 , 	16 , 	13 , 	12 , 	2 , 	3 , 	2 , 	2 , 	0 , 	4 , 	13 , 	32 , 	43 , 	90 , 	31 , 	22 , 	16 , 	4 , 	8 , 	10 , 	1 , 	9 , 	21 , 	1 , 	3 , 	1 , 	1 , 	6 , 	0 , 	13 , 	2 , 	5 , 	4 , 	9 , 	3 , 	3 , 	672 ,,,,,,,,,,
BF, 	6 , 	8 , 	5 , 	3 , 	11 , 	5 , 	13 , 	13 , 	18 , 	37 , 	67 , 	39 , 	38 , 	5 , 	25 , 	15 , 	15 , 	15 , 	4 , 	2 , 	2 , 	1 , 	2 , 	3 , 	12 , 	33 , 	35 , 	92 , 	34 , 	13 , 	14 , 	6 , 	9 , 	5 , 	2 , 	11 , 	26 , 	-   , 	4 , 	2 , 	2 , 	5 , 	3 , 	19 , 	3 , 	7 , 	6 , 	6 , 	1 , 	2 , 	700 ,,,,,,,,,,
HY, 	6 , 	11 , 	2 , 	4 , 	11 , 	6 , 	11 , 	10 , 	13 , 	14 , 	38 , 	22 , 	27 , 	32 , 	7 , 	20 , 	22 , 	27 , 	5 , 	1 , 	1 , 	1 , 	1 , 	2 , 	8 , 	14 , 	12 , 	46 , 	14 , 	10 , 	14 , 	4 , 	5 , 	5 , 	3 , 	6 , 	13 , 	1 , 	2 , 	1 , 	1 , 	5 , 	2 , 	8 , 	2 , 	10 , 	8 , 	9 , 	1 , 	2 , 	493 ,,,,,,,,,,
SH, 	5 , 	5 , 	4 , 	2 , 	3 , 	2 , 	4 , 	4 , 	6 , 	8 , 	18 , 	9 , 	13 , 	16 , 	20 , 	4 , 	9 , 	15 , 	3 , 	1 , 	1 , 	1 , 	-   , 	1 , 	4 , 	11 , 	11 , 	27 , 	8 , 	4 , 	7 , 	4 , 	4 , 	3 , 	2 , 	3 , 	7 , 	1 , 	1 , 	1 , 	2 , 	3 , 	1 , 	3 , 	1 , 	7 , 	5 , 	5 , 	2 , 	2 , 	277 ,,,,,,,,,,
UC, 	4 , 	5 , 	2 , 	2 , 	8 , 	6 , 	3 , 	6 , 	9 , 	9 , 	13 , 	13 , 	14 , 	13 , 	21 , 	7 , 	3 , 	14 , 	3 , 	1 , 	2 , 	1 , 	0 , 	2 , 	2 , 	14 , 	9 , 	31 , 	11 , 	9 , 	4 , 	1 , 	2 , 	1 , 	1 , 	4 , 	5 , 	-   , 	1 , 	1 , 	0 , 	2 , 	1 , 	3 , 	2 , 	9 , 	11 , 	12 , 	0 , 	1 , 	292 ,,,,,,,,,,
FM, 	4 , 	2 , 	1 , 	2 , 	5 , 	2 , 	5 , 	3 , 	5 , 	9 , 	14 , 	9 , 	9 , 	13 , 	24 , 	9 , 	11 , 	5 , 	1 , 	2 , 	1 , 	1 , 	-   , 	1 , 	3 , 	18 , 	10 , 	28 , 	9 , 	5 , 	4 , 	3 , 	4 , 	3 , 	1 , 	3 , 	5 , 	-   , 	1 , 	1 , 	1 , 	1 , 	0 , 	3 , 	2 , 	7 , 	18 , 	11 , 	1 , 	1 , 	277 ,,,,,,,,,,
CN, 	4 , 	4 , 	3 , 	2 , 	7 , 	3 , 	15 , 	9 , 	14 , 	3 , 	9 , 	6 , 	3 , 	4 , 	3 , 	2 , 	1 , 	1 , 	7 , 	15 , 	42 , 	24 , 	9 , 	11 , 	5 , 	32 , 	21 , 	63 , 	21 , 	15 , 	12 , 	4 , 	6 , 	4 , 	2 , 	1 , 	2 , 	5 , 	31 , 	2 , 	4 , 	13 , 	4 , 	2 , 	3 , 	-   , 	2 , 	3 , 	21 , 	21 , 	496 ,,,,,,,,,,
PH, 	1 , 	3 , 	1 , 	2 , 	4 , 	1 , 	8 , 	8 , 	8 , 	1 , 	1 , 	7 , 	3 , 	1 , 	2 , 	1 , 	1 , 	2 , 	24 , 	3 , 	15 , 	10 , 	2 , 	12 , 	1 , 	20 , 	19 , 	51 , 	14 , 	10 , 	7 , 	3 , 	3 , 	3 , 	2 , 	0 , 	1 , 	2 , 	14 , 	0 , 	2 , 	12 , 	2 , 	0 , 	4 , 	2 , 	0 , 	2 , 	6 , 	9 , 	308 ,,,,,,,,,,
WC, 	5 , 	5 , 	3 , 	3 , 	10 , 	2 , 	11 , 	7 , 	11 , 	3 , 	4 , 	4 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	62 , 	23 , 	6 , 	8 , 	8 , 	11 , 	2 , 	26 , 	23 , 	37 , 	11 , 	14 , 	9 , 	2 , 	5 , 	6 , 	1 , 	1 , 	0 , 	6 , 	27 , 	2 , 	4 , 	13 , 	0 , 	0 , 	2 , 	0 , 	0 , 	2 , 	11 , 	10 , 	403 ,,,,,,,,,,
