Exit stations,Entry stations->,,SATURDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	6 , 	21 , 	21 , 	11 , 	46 , 	16 , 	22 , 	12 , 	20 , 	6 , 	24 , 	11 , 	7 , 	6 , 	3 , 	7 , 	1 , 	4 , 	4 , 	2 , 	4 , 	1 , 	1 , 	4 , 	6 , 	45 , 	32 , 	98 , 	34 , 	44 , 	45 , 	8 , 	12 , 	12 , 	4 , 	1 , 	3 , 	-   , 	3 , 	1 , 	5 , 	6 , 	3 , 	1 , 	2 , 	2 , 	2 , 	2 , 	2 , 	2 , 	629 ,,,,,,,,,,
SO, 	5 , 	14 , 	5 , 	2 , 	8 , 	2 , 	8 , 	8 , 	9 , 	3 , 	5 , 	2 , 	4 , 	3 , 	3 , 	2 , 	2 , 	2 , 	12 , 	7 , 	9 , 	5 , 	1 , 	8 , 	9 , 	11 , 	13 , 	54 , 	27 , 	17 , 	9 , 	7 , 	18 , 	25 , 	19 , 	1 , 	8 , 	2 , 	13 , 	7 , 	7 , 	8 , 	16 , 	2 , 	3 , 	0 , 	1 , 	0 , 	3 , 	12 , 	414 ,,,,,,,,,,
MB, 	1 , 	1 , 	1 , 	0 , 	3 , 	1 , 	2 , 	2 , 	4 , 	1 , 	2 , 	1 , 	1 , 	3 , 	1 , 	0 , 	-   , 	-   , 	2 , 	0 , 	1 , 	-   , 	-   , 	2 , 	3 , 	5 , 	5 , 	20 , 	13 , 	9 , 	7 , 	4 , 	7 , 	13 , 	2 , 	-   , 	1 , 	0 , 	3 , 	1 , 	2 , 	22 , 	4 , 	0 , 	1 , 	-   , 	0 , 	-   , 	0 , 	1 , 	150 ,,,,,,,,,,
WD, 	2 , 	0 , 	1 , 	-   , 	4 , 	1 , 	2 , 	2 , 	1 , 	7 , 	21 , 	8 , 	16 , 	23 , 	6 , 	4 , 	2 , 	3 , 	2 , 	-   , 	0 , 	0 , 	-   , 	1 , 	2 , 	11 , 	6 , 	23 , 	8 , 	3 , 	3 , 	1 , 	1 , 	3 , 	-   , 	21 , 	11 , 	0 , 	0 , 	1 , 	1 , 	3 , 	1 , 	4 , 	2 , 	1 , 	2 , 	1 , 	-   , 	1 , 	208 ,,,,,,,,,,
OA, 	1 , 	5 , 	1 , 	3 , 	4 , 	0 , 	1 , 	1 , 	3 , 	2 , 	3 , 	3 , 	1 , 	1 , 	2 , 	1 , 	1 , 	-   , 	2 , 	3 , 	1 , 	2 , 	-   , 	1 , 	1 , 	5 , 	3 , 	4 , 	4 , 	2 , 	1 , 	1 , 	1 , 	1 , 	-   , 	2 , 	5 , 	1 , 	1 , 	0 , 	0 , 	5 , 	-   , 	1 , 	1 , 	1 , 	0 , 	-   , 	0 , 	1 , 	80 ,,,,,,,,,,
WS, 	2 , 	5 , 	0 , 	2 , 	3 , 	2 , 	1 , 	3 , 	4 , 	4 , 	9 , 	6 , 	5 , 	5 , 	7 , 	8 , 	7 , 	3 , 	1 , 	1 , 	0 , 	-   , 	0 , 	-   , 	1 , 	6 , 	4 , 	7 , 	3 , 	2 , 	1 , 	1 , 	2 , 	2 , 	0 , 	1 , 	2 , 	0 , 	1 , 	-   , 	0 , 	1 , 	-   , 	0 , 	0 , 	2 , 	4 , 	9 , 	1 , 	0 , 	123 ,,,,,,,,,,
ML, 	2 , 	6 , 	1 , 	2 , 	5 , 	2 , 	2 , 	2 , 	2 , 	4 , 	3 , 	4 , 	6 , 	4 , 	3 , 	9 , 	8 , 	15 , 	2 , 	1 , 	0 , 	1 , 	-   , 	0 , 	1 , 	10 , 	4 , 	14 , 	9 , 	4 , 	2 , 	1 , 	2 , 	3 , 	-   , 	1 , 	2 , 	0 , 	0 , 	-   , 	1 , 	2 , 	-   , 	2 , 	1 , 	3 , 	4 , 	6 , 	1 , 	1 , 	154 ,,,,,,,,,,
BE, 	5 , 	6 , 	1 , 	3 , 	8 , 	3 , 	5 , 	6 , 	4 , 	6 , 	10 , 	7 , 	11 , 	6 , 	12 , 	6 , 	12 , 	13 , 	1 , 	2 , 	2 , 	1 , 	-   , 	2 , 	2 , 	14 , 	11 , 	19 , 	9 , 	8 , 	5 , 	2 , 	3 , 	2 , 	1 , 	1 , 	5 , 	-   , 	2 , 	1 , 	-   , 	1 , 	0 , 	1 , 	1 , 	9 , 	3 , 	4 , 	1 , 	0 , 	232 ,,,,,,,,,,
PC, 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	5 , 	5 , 	3 , 	1 , 	5 , 	2 , 	1 , 	3 , 	2 , 	2 , 	1 , 	0 , 	20 , 	4 , 	12 , 	3 , 	2 , 	1 , 	2 , 	5 , 	4 , 	15 , 	3 , 	4 , 	5 , 	1 , 	1 , 	4 , 	2 , 	1 , 	-   , 	3 , 	2 , 	2 , 	1 , 	3 , 	0 , 	-   , 	1 , 	-   , 	1 , 	1 , 	3 , 	6 , 	142 ,,,,,,,,,,
AN, 	3 , 	2 , 	2 , 	1 , 	4 , 	2 , 	10 , 	6 , 	10 , 	2 , 	7 , 	10 , 	5 , 	5 , 	3 , 	1 , 	2 , 	2 , 	24 , 	10 , 	11 , 	3 , 	0 , 	4 , 	3 , 	22 , 	11 , 	22 , 	9 , 	11 , 	5 , 	5 , 	4 , 	5 , 	2 , 	1 , 	1 , 	4 , 	7 , 	3 , 	3 , 	14 , 	1 , 	0 , 	3 , 	1 , 	2 , 	1 , 	6 , 	4 , 	273 ,,,,,,,,,,
Entries, 	637 , 	752 , 	388 , 	260 , 	831 , 	408 , 	714 , 	622 , 	747 , 	552 ," 	1,121 ", 	644 , 	636 , 	661 , 	467 , 	270 , 	279 , 	293 , 	507 , 	307 , 	387 , 	163 , 	111 , 	283 , 	848 ," 	1,393 "," 	1,154 "," 	3,475 "," 	1,351 "," 	1,290 "," 	1,192 ", 	521 ," 	1,022 ", 	782 , 	321 , 	199 , 	395 , 	84 , 	331 , 	187 , 	301 , 	572 , 	190 , 	194 , 	114 , 	136 , 	166 , 	221 , 	142 , 	239 ," 	28,856 ",,,,,,,,,,
