Exit stations,Entry stations->,,WEEKDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	9 , 	30 , 	28 , 	23 , 	82 , 	24 , 	36 , 	27 , 	38 , 	11 , 	36 , 	26 , 	14 , 	10 , 	9 , 	8 , 	6 , 	6 , 	8 , 	3 , 	6 , 	2 , 	3 , 	4 , 	11 , 	90 , 	90 , 	145 , 	101 , 	67 , 	69 , 	20 , 	20 , 	12 , 	7 , 	1 , 	4 , 	1 , 	5 , 	5 , 	11 , 	10 , 	5 , 	1 , 	3 , 	4 , 	2 , 	3 , 	4 , 	3 ," 	1,142 ",,,,,,,,,,,,,
EN, 	34 , 	10 , 	18 , 	18 , 	103 , 	31 , 	54 , 	43 , 	72 , 	20 , 	40 , 	27 , 	18 , 	13 , 	12 , 	7 , 	9 , 	10 , 	10 , 	5 , 	9 , 	2 , 	2 , 	5 , 	12 , 	149 , 	139 , 	206 , 	160 , 	66 , 	76 , 	23 , 	31 , 	17 , 	9 , 	3 , 	9 , 	2 , 	7 , 	8 , 	9 , 	19 , 	12 , 	3 , 	6 , 	5 , 	5 , 	4 , 	3 , 	4 ," 	1,558 ",,,,,,,,,,,,,
EP, 	33 , 	18 , 	3 , 	14 , 	81 , 	19 , 	26 , 	23 , 	39 , 	8 , 	19 , 	8 , 	8 , 	5 , 	3 , 	5 , 	5 , 	3 , 	3 , 	3 , 	3 , 	2 , 	1 , 	4 , 	4 , 	49 , 	51 , 	56 , 	49 , 	22 , 	17 , 	5 , 	6 , 	3 , 	2 , 	1 , 	1 , 	1 , 	3 , 	2 , 	1 , 	8 , 	4 , 	1 , 	2 , 	1 , 	2 , 	2 , 	1 , 	1 , 	631 ,,,,,,,,,,,,,
NB, 	24 , 	20 , 	15 , 	2 , 	13 , 	7 , 	17 , 	15 , 	15 , 	4 , 	20 , 	11 , 	7 , 	6 , 	8 , 	3 , 	1 , 	2 , 	2 , 	4 , 	4 , 	0 , 	0 , 	1 , 	3 , 	32 , 	27 , 	29 , 	28 , 	17 , 	14 , 	4 , 	5 , 	5 , 	1 , 	1 , 	2 , 	1 , 	3 , 	1 , 	1 , 	4 , 	2 , 	0 , 	2 , 	2 , 	2 , 	1 , 	0 , 	1 , 	387 ,,,,,,,,,,,,,
BK, 	91 , 	115 , 	83 , 	16 , 	10 , 	37 , 	44 , 	44 , 	54 , 	18 , 	57 , 	33 , 	24 , 	17 , 	17 , 	10 , 	13 , 	10 , 	9 , 	7 , 	8 , 	4 , 	2 , 	2 , 	15 , 	58 , 	43 , 	61 , 	58 , 	35 , 	27 , 	6 , 	12 , 	10 , 	3 , 	4 , 	7 , 	3 , 	11 , 	4 , 	3 , 	8 , 	8 , 	3 , 	5 , 	3 , 	3 , 	8 , 	1 , 	8 ," 	1,132 ",,,,,,,,,,,,,
AS, 	24 , 	33 , 	19 , 	7 , 	28 , 	3 , 	17 , 	21 , 	29 , 	8 , 	34 , 	17 , 	12 , 	8 , 	5 , 	4 , 	6 , 	2 , 	5 , 	2 , 	2 , 	1 , 	1 , 	1 , 	10 , 	37 , 	36 , 	49 , 	48 , 	22 , 	12 , 	4 , 	9 , 	3 , 	2 , 	1 , 	2 , 	0 , 	3 , 	1 , 	4 , 	4 , 	3 , 	1 , 	2 , 	4 , 	2 , 	2 , 	1 , 	2 , 	555 ,,,,,,,,,,,,,
MA, 	46 , 	54 , 	23 , 	17 , 	39 , 	20 , 	7 , 	19 , 	25 , 	9 , 	49 , 	36 , 	25 , 	21 , 	16 , 	12 , 	13 , 	13 , 	21 , 	20 , 	24 , 	7 , 	5 , 	8 , 	15 , 	85 , 	69 , 	115 , 	105 , 	61 , 	37 , 	14 , 	10 , 	12 , 	8 , 	4 , 	9 , 	5 , 	29 , 	3 , 	4 , 	13 , 	5 , 	3 , 	3 , 	6 , 	5 , 	6 , 	18 , 	23 ," 	1,197 ",,,,,,,,,,,,,
19, 	28 , 	44 , 	16 , 	14 , 	39 , 	20 , 	16 , 	5 , 	6 , 	4 , 	27 , 	32 , 	27 , 	33 , 	19 , 	13 , 	14 , 	9 , 	24 , 	24 , 	19 , 	8 , 	6 , 	8 , 	13 , 	85 , 	87 , 	98 , 	94 , 	48 , 	32 , 	12 , 	13 , 	14 , 	8 , 	2 , 	6 , 	8 , 	29 , 	4 , 	6 , 	9 , 	5 , 	3 , 	3 , 	5 , 	5 , 	7 , 	7 , 	22 ," 	1,081 ",,,,,,,,,,,,,
12, 	37 , 	77 , 	37 , 	16 , 	42 , 	27 , 	27 , 	4 , 	11 , 	6 , 	31 , 	39 , 	47 , 	40 , 	32 , 	17 , 	21 , 	18 , 	30 , 	30 , 	24 , 	8 , 	10 , 	14 , 	22 , 	83 , 	81 , 	146 , 	92 , 	50 , 	38 , 	17 , 	25 , 	25 , 	15 , 	3 , 	8 , 	7 , 	27 , 	12 , 	9 , 	14 , 	10 , 	2 , 	2 , 	9 , 	4 , 	7 , 	10 , 	27 ," 	1,389 ",,,,,,,,,,,,,
LM, 	11 , 	20 , 	9 , 	7 , 	14 , 	8 , 	9 , 	4 , 	6 , 	5 , 	42 , 	52 , 	68 , 	59 , 	38 , 	25 , 	21 , 	20 , 	4 , 	5 , 	4 , 	1 , 	0 , 	3 , 	9 , 	85 , 	79 , 	131 , 	98 , 	41 , 	24 , 	12 , 	19 , 	12 , 	1 , 	22 , 	36 , 	3 , 	5 , 	1 , 	1 , 	6 , 	1 , 	17 , 	4 , 	13 , 	9 , 	8 , 	2 , 	4 ," 	1,080 ",,,,,,,,,,,,,
FV, 	33 , 	38 , 	17 , 	18 , 	58 , 	33 , 	40 , 	28 , 	37 , 	36 , 	17 , 	74 , 	96 , 	82 , 	65 , 	35 , 	31 , 	34 , 	13 , 	6 , 	12 , 	7 , 	11 , 	13 , 	38 , 	138 , 	126 , 	234 , 	190 , 	82 , 	78 , 	20 , 	23 , 	18 , 	3 , 	21 , 	57 , 	1 , 	8 , 	3 , 	9 , 	9 , 	4 , 	25 , 	4 , 	23 , 	8 , 	12 , 	4 , 	10 ," 	1,977 ",,,,,,,,,,,,,
CL, 	27 , 	25 , 	10 , 	10 , 	28 , 	16 , 	36 , 	30 , 	49 , 	37 , 	70 , 	11 , 	46 , 	51 , 	43 , 	21 , 	17 , 	18 , 	10 , 	5 , 	8 , 	3 , 	1 , 	5 , 	28 , 	82 , 	80 , 	115 , 	94 , 	45 , 	41 , 	14 , 	18 , 	19 , 	4 , 	12 , 	25 , 	2 , 	10 , 	3 , 	6 , 	8 , 	3 , 	11 , 	7 , 	13 , 	4 , 	8 , 	5 , 	13 ," 	1,247 ",,,,,,,,,,,,,
SL, 	16 , 	17 , 	8 , 	5 , 	22 , 	14 , 	25 , 	25 , 	52 , 	73 , 	98 , 	50 , 	8 , 	41 , 	47 , 	38 , 	22 , 	20 , 	5 , 	5 , 	4 , 	3 , 	2 , 	6 , 	19 , 	106 , 	110 , 	139 , 	92 , 	46 , 	36 , 	14 , 	13 , 	12 , 	4 , 	15 , 	35 , 	1 , 	4 , 	5 , 	2 , 	8 , 	2 , 	16 , 	3 , 	16 , 	6 , 	6 , 	4 , 	5 ," 	1,326 ",,,,,,,,,,,,,
