Exit stations,Entry stations->,,SUNDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
CL, 	14 , 	15 , 	5 , 	1 , 	10 , 	8 , 	16 , 	13 , 	15 , 	17 , 	30 , 	8 , 	15 , 	27 , 	19 , 	15 , 	6 , 	6 , 	3 , 	1 , 	4 , 	-   , 	0 , 	3 , 	10 , 	19 , 	19 , 	64 , 	31 , 	15 , 	17 , 	3 , 	3 , 	4 , 	2 , 	4 , 	10 , 	2 , 	6 , 	1 , 	1 , 	6 , 	0 , 	6 , 	10 , 	3 , 	2 , 	3 , 	4 , 	4 , 	503 ,,,,,,,,,,,
SL, 	8 , 	5 , 	3 , 	2 , 	8 , 	3 , 	8 , 	11 , 	15 , 	25 , 	38 , 	15 , 	8 , 	28 , 	16 , 	6 , 	10 , 	6 , 	2 , 	1 , 	2 , 	2 , 	0 , 	4 , 	9 , 	25 , 	20 , 	57 , 	26 , 	8 , 	12 , 	3 , 	4 , 	7 , 	1 , 	8 , 	15 , 	0 , 	1 , 	1 , 	2 , 	10 , 	1 , 	11 , 	3 , 	4 , 	3 , 	10 , 	1 , 	3 , 	473 ,,,,,,,,,,,
BF, 	7 , 	6 , 	1 , 	2 , 	5 , 	8 , 	9 , 	10 , 	17 , 	28 , 	53 , 	32 , 	26 , 	7 , 	17 , 	12 , 	11 , 	11 , 	4 , 	1 , 	3 , 	1 , 	1 , 	2 , 	10 , 	24 , 	28 , 	70 , 	21 , 	9 , 	11 , 	3 , 	6 , 	6 , 	3 , 	9 , 	19 , 	0 , 	3 , 	1 , 	2 , 	8 , 	1 , 	14 , 	2 , 	6 , 	6 , 	11 , 	1 , 	2 , 	551 ,,,,,,,,,,,
HY, 	3 , 	8 , 	1 , 	1 , 	8 , 	5 , 	7 , 	6 , 	10 , 	12 , 	26 , 	15 , 	18 , 	16 , 	5 , 	12 , 	14 , 	18 , 	2 , 	2 , 	1 , 	2 , 	-   , 	2 , 	3 , 	10 , 	4 , 	27 , 	7 , 	9 , 	6 , 	2 , 	2 , 	2 , 	0 , 	3 , 	6 , 	0 , 	2 , 	1 , 	0 , 	4 , 	1 , 	3 , 	1 , 	7 , 	7 , 	6 , 	1 , 	3 , 	314 ,,,,,,,,,,,
SH, 	2 , 	3 , 	3 , 	1 , 	3 , 	1 , 	3 , 	4 , 	4 , 	13 , 	14 , 	15 , 	10 , 	14 , 	13 , 	4 , 	7 , 	10 , 	2 , 	0 , 	0 , 	-   , 	0 , 	0 , 	3 , 	5 , 	7 , 	13 , 	7 , 	4 , 	4 , 	0 , 	1 , 	3 , 	0 , 	1 , 	4 , 	-   , 	1 , 	1 , 	1 , 	2 , 	0 , 	2 , 	2 , 	7 , 	3 , 	6 , 	1 , 	1 , 	207 ,,,,,,,,,,,
UC, 	1 , 	3 , 	2 , 	1 , 	4 , 	3 , 	2 , 	4 , 	3 , 	7 , 	8 , 	8 , 	6 , 	9 , 	13 , 	5 , 	5 , 	9 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	11 , 	4 , 	15 , 	8 , 	3 , 	3 , 	0 , 	1 , 	1 , 	0 , 	1 , 	4 , 	-   , 	2 , 	-   , 	1 , 	5 , 	-   , 	2 , 	2 , 	6 , 	7 , 	11 , 	1 , 	2 , 	188 ,,,,,,,,,,,
FM, 	5 , 	3 , 	1 , 	1 , 	4 , 	-   , 	4 , 	2 , 	4 , 	5 , 	13 , 	5 , 	6 , 	6 , 	18 , 	10 , 	9 , 	5 , 	2 , 	2 , 	0 , 	-   , 	0 , 	1 , 	2 , 	14 , 	8 , 	12 , 	7 , 	4 , 	4 , 	1 , 	2 , 	1 , 	2 , 	2 , 	4 , 	-   , 	2 , 	0 , 	0 , 	3 , 	0 , 	1 , 	2 , 	4 , 	11 , 	12 , 	0 , 	1 , 	206 ,,,,,,,,,,,
CN, 	5 , 	6 , 	2 , 	2 , 	5 , 	3 , 	15 , 	6 , 	10 , 	2 , 	10 , 	2 , 	1 , 	3 , 	3 , 	2 , 	1 , 	2 , 	7 , 	9 , 	35 , 	24 , 	7 , 	6 , 	4 , 	21 , 	17 , 	37 , 	18 , 	9 , 	7 , 	6 , 	3 , 	4 , 	1 , 	-   , 	1 , 	3 , 	33 , 	2 , 	2 , 	20 , 	1 , 	1 , 	4 , 	0 , 	1 , 	2 , 	16 , 	14 , 	392 ,,,,,,,,,,,
PH, 	2 , 	2 , 	2 , 	2 , 	4 , 	2 , 	6 , 	5 , 	6 , 	1 , 	2 , 	2 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	11 , 	2 , 	18 , 	9 , 	3 , 	5 , 	1 , 	19 , 	14 , 	31 , 	15 , 	7 , 	6 , 	3 , 	1 , 	2 , 	0 , 	-   , 	1 , 	2 , 	8 , 	0 , 	4 , 	17 , 	2 , 	0 , 	5 , 	0 , 	0 , 	1 , 	4 , 	8 , 	243 ,,,,,,,,,,,
WC, 	3 , 	3 , 	3 , 	3 , 	4 , 	2 , 	10 , 	9 , 	6 , 	3 , 	5 , 	3 , 	4 , 	1 , 	2 , 	1 , 	1 , 	1 , 	53 , 	21 , 	3 , 	7 , 	8 , 	7 , 	2 , 	16 , 	11 , 	32 , 	13 , 	10 , 	6 , 	1 , 	3 , 	4 , 	1 , 	1 , 	1 , 	4 , 	23 , 	1 , 	1 , 	19 , 	2 , 	0 , 	4 , 	0 , 	-   , 	2 , 	9 , 	12 , 	339 ,,,,,,,,,,,
