Exit stations,Entry stations->,,SUNDAY,,,Mar 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	46 , 	81 , 	36 , 	35 , 	147 , 	52 , 	93 , 	61 , 	104 , 	63 , 	104 , 	9 , 	63 , 	124 , 	97 , 	50 , 	64 , 	126 , 	32 , 	55 , 	37 , 	25 , 	12 , 	31 , 	59 , 	169 , 	101 , 	367 , 	137 , 	58 , 	67 , 	40 , 	44 , 	72 , 	8 , 	36 , 	130 , 	8 , 	51 , 	15 , 	19 , 	43 , 	21 , 	37 ," 	3,022 ",,,CM line," 	9,855 "," 	1,297 "," 	3,575 "," 	1,220 ", 	825 ," 	1,360 "," 	1,616 "," 	19,746 "
SL, 	14 , 	29 , 	10 , 	13 , 	45 , 	21 , 	43 , 	30 , 	66 , 	78 , 	102 , 	71 , 	4 , 	72 , 	54 , 	24 , 	24 , 	29 , 	9 , 	15 , 	10 , 	2 , 	2 , 	8 , 	18 , 	74 , 	61 , 	208 , 	80 , 	25 , 	29 , 	15 , 	18 , 	22 , 	4 , 	22 , 	26 , 	2 , 	14 , 	4 , 	4 , 	22 , 	6 , 	10 ," 	1,433 ",,,RM line," 	3,973 "," 	1,710 "," 	1,266 "," 	2,254 ", 	549 ," 	1,959 ", 	825 ," 	12,536 "
BF, 	19 , 	26 , 	10 , 	11 , 	38 , 	22 , 	41 , 	38 , 	78 , 	69 , 	171 , 	135 , 	67 , 	8 , 	80 , 	54 , 	55 , 	96 , 	12 , 	8 , 	8 , 	3 , 	1 , 	7 , 	37 , 	59 , 	56 , 	215 , 	73 , 	32 , 	28 , 	11 , 	22 , 	24 , 	8 , 	44 , 	71 , 	3 , 	15 , 	6 , 	6 , 	14 , 	3 , 	36 ," 	1,819 ",,,WP line," 	3,585 ", 	940 , 	871 , 	561 ," 	1,654 ", 	878 , 	706 ," 	9,194 "
HY, 	19 , 	24 , 	7 , 	13 , 	35 , 	23 , 	36 , 	38 , 	44 , 	30 , 	103 , 	109 , 	48 , 	91 , 	5 , 	46 , 	64 , 	102 , 	5 , 	12 , 	7 , 	2 , 	2 , 	8 , 	15 , 	39 , 	24 , 	106 , 	41 , 	20 , 	18 , 	5 , 	14 , 	9 , 	2 , 	18 , 	24 , 	3 , 	14 , 	3 , 	8 , 	7 , 	6 , 	12 ," 	1,255 ",,,FT/ED line," 	4,770 "," 	2,053 "," 	1,368 "," 	1,655 ", 	805 ," 	5,331 ", 	473 ," 	16,454 "
SH, 	10 , 	16 , 	5 , 	5 , 	13 , 	8 , 	15 , 	10 , 	29 , 	21 , 	43 , 	56 , 	27 , 	52 , 	41 , 	5 , 	27 , 	52 , 	7 , 	5 , 	5 , 	1 , 	1 , 	2 , 	7 , 	23 , 	20 , 	94 , 	28 , 	13 , 	14 , 	7 , 	10 , 	12 , 	5 , 	6 , 	13 , 	2 , 	11 , 	3 , 	4 , 	6 , 	4 , 	4 , 	737 ,,,SFIA," 	3,363 ", 	274 ," 	1,410 ", 	526 , 	541 , 	389 , 	807 ," 	7,310 "
UC, 	10 , 	13 , 	8 , 	10 , 	41 , 	12 , 	17 , 	14 , 	46 , 	29 , 	44 , 	69 , 	27 , 	51 , 	64 , 	23 , 	9 , 	58 , 	9 , 	10 , 	7 , 	3 , 	1 , 	4 , 	10 , 	43 , 	42 , 	131 , 	41 , 	10 , 	10 , 	8 , 	8 , 	18 , 	4 , 	8 , 	21 , 	1 , 	7 , 	3 , 	5 , 	13 , 	5 , 	7 , 	966 ,,,Entries," 	30,837 "," 	11,379 "," 	19,191 "," 	11,408 "," 	8,461 "," 	16,293 "," 	7,939 "," 	105,507 "
FM, 	17 , 	39 , 	21 , 	23 , 	116 , 	21 , 	47 , 	27 , 	59 , 	47 , 	70 , 	135 , 	34 , 	103 , 	100 , 	61 , 	58 , 	11 , 	17 , 	21 , 	13 , 	6 , 	3 , 	11 , 	6 , 	98 , 	81 , 	234 , 	95 , 	29 , 	18 , 	11 , 	28 , 	24 , 	3 , 	15 , 	40 , 	3 , 	25 , 	5 , 	9 , 	34 , 	4 , 	10 ," 	1,831 ",,,,,,,,,,,
CN, 	9 , 	15 , 	6 , 	7 , 	16 , 	9 , 	24 , 	17 , 	29 , 	6 , 	18 , 	37 , 	9 , 	13 , 	7 , 	6 , 	5 , 	13 , 	5 , 	23 , 	94 , 	31 , 	13 , 	26 , 	5 , 	56 , 	44 , 	124 , 	50 , 	14 , 	17 , 	14 , 	16 , 	18 , 	7 , 	2 , 	3 , 	10 , 	98 , 	9 , 	6 , 	36 , 	9 , 	2 , 	974 ,,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	12 , 	22 , 	12 , 	13 , 	38 , 	13 , 	52 , 	33 , 	51 , 	7 , 	29 , 	84 , 	12 , 	13 , 	11 , 	6 , 	5 , 	25 , 	26 , 	8 , 	84 , 	25 , 	18 , 	52 , 	10 , 	118 , 	103 , 	275 , 	111 , 	30 , 	34 , 	14 , 	23 , 	34 , 	12 , 	3 , 	10 , 	6 , 	25 , 	10 , 	10 , 	118 , 	17 , 	2 ," 	1,610 ",,,Dtwn SF," 	1,217 ",,,,,,,
WC, 	5 , 	15 , 	10 , 	17 , 	47 , 	17 , 	35 , 	29 , 	53 , 	13 , 	19 , 	53 , 	9 , 	9 , 	6 , 	4 , 	8 , 	14 , 	116 , 	67 , 	7 , 	29 , 	19 , 	49 , 	6 , 	151 , 	101 , 	301 , 	156 , 	37 , 	29 , 	18 , 	12 , 	19 , 	8 , 	1 , 	2 , 	9 , 	44 , 	4 , 	6 , 	122 , 	15 , 	2 ," 	1,689 ",,,OAK," 	8,226 ", 	954 ,,,,,,
