Muni Fast Pass Adult/Clipper OD,,,,,,Mar 11,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,43,25,86,117,454,794,679,905,"3,102"
MT,28,43,60,101,509,"1,035",905,"1,673","4,354"
PL,139,81,59,84,452,741,506,"1,443","3,506"
CC,83,84,87,34,274,483,353,899,"2,297"
16,391,398,548,301,20,146,150,421,"2,375"
24,637,753,899,482,141,30,141,439,"3,521"
GP,596,690,644,325,153,143,17,93,"2,661"
BP,770,957,"1,970",847,399,440,94,28,"5,505"
Entries,"2,687","3,031","4,352","2,292","2,401","3,812","2,844","5,902","27,321"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,8,29,29,157,177,107,244,770
MT,5,12,21,21,154,247,220,729,"1,408"
PL,43,16,49,48,384,597,391,"1,011","2,537"
CC,18,14,41,25,179,268,124,322,989
16,131,86,456,207,14,129,105,235,"1,362"
24,159,142,681,272,110,23,98,245,"1,729"
GP,93,108,496,122,83,95,14,42,"1,052"
BP,194,247,"1,345",281,196,207,36,22,"2,527"
Entries,662,631,"3,116","1,002","1,276","1,742","1,094","2,851","12,374"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,3,20,18,84,119,57,154,471
MT,2,14,11,11,91,158,120,434,840
PL,22,9,49,23,274,415,235,637,"1,663"
CC,11,7,32,26,137,175,94,226,707
16,86,52,338,144,21,79,66,153,937
24,110,91,494,188,89,35,70,168,"1,244"
GP,56,78,346,99,62,63,15,21,741
BP,146,132,994,201,139,141,24,44,"1,822"
Entries,451,384,"2,283",711,897,"1,185",678,"1,837","8,425"
