Exit stations,Entry stations->,,SUNDAY,,,Oct 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	15 , 	35 , 	34 , 	17 , 	123 , 	24 , 	37 , 	25 , 	28 , 	15 , 	39 , 	18 , 	9 , 	8 , 	11 , 	4 , 	2 , 	4 , 	5 , 	3 , 	8 , 	2 , 	2 , 	4 , 	9 , 	84 , 	35 , 	111 , 	48 , 	45 , 	43 , 	10 , 	17 , 	12 , 	3 , 	2 , 	4 , 	0 , 	3 , 	4 , 	6 , 	36 , 	11 , 	1 , 	7 , 	4 , 	10 , 	7 , 	3 , 	4 , 	992 ,,,,,,,,,,,
EN, 	37 , 	12 , 	28 , 	18 , 	124 , 	30 , 	45 , 	37 , 	50 , 	16 , 	49 , 	21 , 	14 , 	11 , 	11 , 	5 , 	4 , 	6 , 	7 , 	5 , 	8 , 	3 , 	1 , 	10 , 	6 , 	141 , 	81 , 	203 , 	89 , 	54 , 	37 , 	15 , 	17 , 	18 , 	5 , 	1 , 	3 , 	1 , 	4 , 	5 , 	6 , 	52 , 	13 , 	2 , 	16 , 	6 , 	13 , 	14 , 	2 , 	5 ," 	1,362 ",,,,,,,,,,,
EP, 	41 , 	30 , 	6 , 	18 , 	121 , 	27 , 	30 , 	31 , 	27 , 	11 , 	31 , 	8 , 	7 , 	6 , 	4 , 	3 , 	2 , 	5 , 	3 , 	4 , 	5 , 	6 , 	2 , 	8 , 	3 , 	86 , 	56 , 	87 , 	58 , 	28 , 	21 , 	10 , 	5 , 	6 , 	1 , 	2 , 	2 , 	1 , 	3 , 	1 , 	2 , 	38 , 	3 , 	2 , 	14 , 	2 , 	5 , 	6 , 	0 , 	1 , 	880 ,,,,,,,,,,,
NB, 	20 , 	21 , 	19 , 	8 , 	23 , 	18 , 	23 , 	41 , 	24 , 	10 , 	35 , 	9 , 	7 , 	5 , 	3 , 	3 , 	5 , 	6 , 	4 , 	1 , 	5 , 	2 , 	2 , 	4 , 	3 , 	108 , 	78 , 	91 , 	85 , 	51 , 	33 , 	12 , 	4 , 	7 , 	1 , 	1 , 	2 , 	-   , 	2 , 	2 , 	3 , 	59 , 	8 , 	0 , 	22 , 	3 , 	10 , 	10 , 	0 , 	2 , 	898 ,,,,,,,,,,,
BK, 	126 , 	132 , 	130 , 	33 , 	27 , 	60 , 	70 , 	89 , 	98 , 	33 , 	66 , 	22 , 	30 , 	23 , 	24 , 	13 , 	25 , 	30 , 	4 , 	14 , 	17 , 	12 , 	9 , 	9 , 	22 , 	258 , 	170 , 	301 , 	191 , 	108 , 	66 , 	36 , 	18 , 	30 , 	6 , 	8 , 	28 , 	3 , 	4 , 	5 , 	7 , 	121 , 	48 , 	10 , 	51 , 	18 , 	61 , 	105 , 	2 , 	5 ," 	2,780 ",,,,,,,,,,,
AS, 	28 , 	33 , 	26 , 	23 , 	51 , 	5 , 	21 , 	39 , 	37 , 	14 , 	45 , 	14 , 	9 , 	7 , 	7 , 	2 , 	5 , 	3 , 	4 , 	3 , 	6 , 	1 , 	0 , 	5 , 	8 , 	93 , 	72 , 	95 , 	88 , 	55 , 	43 , 	10 , 	9 , 	7 , 	2 , 	2 , 	3 , 	0 , 	1 , 	3 , 	3 , 	43 , 	7 , 	2 , 	17 , 	1 , 	9 , 	13 , 	0 , 	3 , 	978 ,,,,,,,,,,,
MA, 	32 , 	37 , 	26 , 	23 , 	65 , 	26 , 	13 , 	38 , 	40 , 	17 , 	66 , 	17 , 	19 , 	20 , 	10 , 	4 , 	6 , 	7 , 	16 , 	15 , 	21 , 	8 , 	6 , 	21 , 	17 , 	174 , 	102 , 	169 , 	130 , 	91 , 	74 , 	16 , 	13 , 	15 , 	3 , 	2 , 	5 , 	2 , 	11 , 	2 , 	5 , 	72 , 	9 , 	6 , 	19 , 	6 , 	17 , 	16 , 	5 , 	10 ," 	1,545 ",,,,,,,,,,,
19, 	24 , 	34 , 	31 , 	42 , 	90 , 	39 , 	44 , 	12 , 	8 , 	6 , 	44 , 	21 , 	23 , 	15 , 	15 , 	11 , 	9 , 	11 , 	13 , 	21 , 	32 , 	11 , 	7 , 	35 , 	18 , 	172 , 	125 , 	210 , 	152 , 	112 , 	84 , 	26 , 	14 , 	21 , 	6 , 	2 , 	8 , 	3 , 	7 , 	5 , 	4 , 	69 , 	10 , 	2 , 	16 , 	8 , 	13 , 	16 , 	4 , 	6 ," 	1,709 ",,,,,,,,,,,
12, 	27 , 	46 , 	27 , 	29 , 	82 , 	32 , 	33 , 	8 , 	10 , 	5 , 	31 , 	21 , 	21 , 	22 , 	17 , 	11 , 	9 , 	10 , 	12 , 	21 , 	26 , 	10 , 	7 , 	34 , 	21 , 	169 , 	107 , 	207 , 	138 , 	75 , 	63 , 	24 , 	14 , 	19 , 	8 , 	3 , 	9 , 	2 , 	8 , 	8 , 	16 , 	76 , 	18 , 	2 , 	12 , 	4 , 	14 , 	14 , 	3 , 	11 ," 	1,596 ",,,,,,,,,,,
LM, 	15 , 	16 , 	11 , 	8 , 	30 , 	14 , 	19 , 	5 , 	5 , 	10 , 	101 , 	35 , 	53 , 	56 , 	27 , 	23 , 	16 , 	19 , 	4 , 	3 , 	4 , 	3 , 	1 , 	5 , 	16 , 	114 , 	86 , 	158 , 	109 , 	75 , 	73 , 	20 , 	18 , 	17 , 	3 , 	20 , 	34 , 	-   , 	4 , 	1 , 	1 , 	15 , 	2 , 	11 , 	24 , 	12 , 	21 , 	24 , 	1 , 	1 ," 	1,343 ",,,,,,,,,,,
FV, 	42 , 	49 , 	24 , 	35 , 	68 , 	42 , 	54 , 	48 , 	31 , 	85 , 	21 , 	52 , 	115 , 	116 , 	81 , 	41 , 	29 , 	27 , 	6 , 	15 , 	13 , 	6 , 	11 , 	29 , 	48 , 	152 , 	91 , 	200 , 	137 , 	84 , 	62 , 	18 , 	18 , 	22 , 	5 , 	31 , 	46 , 	3 , 	11 , 	3 , 	7 , 	30 , 	7 , 	24 , 	6 , 	12 , 	27 , 	30 , 	5 , 	5 ," 	2,122 ",,,,,,,,,,,
