Avg Saturday Trip OD																																																			
																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	18	31	35	15	170	28	28	26	28	9	33	24	10	5	10	5	4	5	9	3	10	6	3	7	9	84	49	127	66	50	61	13	18	19	10	3	7	1	3	5	10	29	7	2	6	6	3	4	5	7	"1,123"
EN	46	36	40	35	350	40	68	63	69	18	60	40	22	21	20	9	11	10	20	6	12	8	5	15	14	189	113	259	117	70	66	20	25	23	8	4	7	1	9	12	14	63	13	2	12	9	2	9	14	23	"2,115"
EP	54	33	14	27	289	34	40	48	41	14	23	20	7	5	9	3	6	6	2	5	8	6	3	11	4	131	62	115	75	43	34	11	6	10	4	4	11	1	2	2	4	42	9	1	10	5	2	4	3	10	"1,307"
NB	25	34	30	16	117	26	28	46	31	8	24	14	8	10	9	2	6	6	3	7	10	2	4	6	6	162	72	124	104	67	36	13	7	9	4	2	9	1	4	1	4	53	9	2	14	4	1	2	9	10	"1,194"
BK	239	361	303	130	85	142	150	184	177	54	112	92	89	80	64	46	59	90	48	72	116	68	70	25	38	706	316	572	350	213	152	99	46	97	17	33	102	16	21	20	21	123	99	31	45	55	7	22	94	168	"6,310"
AS	36	36	28	25	137	11	30	61	40	15	37	20	10	14	16	7	9	4	3	6	7	4	3	4	13	148	71	127	109	85	50	13	10	10	2	2	9	1	3	3	3	36	10	4	9	4	1	3	8	18	"1,307"
MA	63	62	50	30	150	35	34	56	45	18	59	46	33	19	20	10	11	11	34	24	40	19	15	38	21	240	133	249	196	132	105	23	16	18	4	5	15	5	27	1	5	63	16	7	14	9	8	30	12	24	"2,293"
19	48	62	46	50	174	54	65	28	15	10	40	34	39	33	42	12	19	21	28	26	45	17	23	47	31	289	157	294	223	179	113	37	25	34	8	7	20	8	10	7	11	47	18	7	14	10	4	14	15	36	"2,591"
12	53	71	47	38	173	44	64	32	49	12	50	47	46	39	32	15	20	16	33	36	45	19	17	50	31	279	130	279	184	107	77	30	32	30	9	7	12	9	16	11	13	68	22	7	17	7	5	20	16	21	"2,483"
