Avg Sunday Trip OD																																																			
																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
OW	6	12	3	5	25	10	17	18	22	13	39	22	12	13	11	3	3	8	4	3	4	1	1	11	43	329	132	355	250	170	99	16	26	16	6	5	9	3	5	5	5	69	6	2	5	0	2	5	8	7	"1,841"
EM	114	165	125	169	419	153	231	239	207	149	183	82	166	141	88	52	102	130	124	154	209	149	153	217	399	78	10	75	60	181	214	120	141	210	48	111	330	27	76	58	54	219	135	98	43	50	12	73	176	105	"7,016"
MT	50	74	46	63	209	69	110	121	125	86	93	45	79	63	28	30	28	42	50	65	74	39	37	109	171	6	35	17	20	93	139	74	142	122	37	38	90	9	43	27	25	170	36	30	20	18	9	24	75	36	"3,233"
PL	108	182	85	98	349	102	184	209	199	151	185	97	136	136	61	45	71	60	94	89	99	76	64	133	365	72	12	75	50	303	401	190	369	319	93	57	171	25	83	82	89	537	100	47	34	22	15	63	205	74	"6,860"
CC	56	100	75	90	240	105	152	183	129	113	142	58	75	61	38	21	37	47	57	64	92	64	51	142	259	42	22	61	55	147	244	119	164	196	79	41	101	13	28	61	76	276	106	32	25	17	9	26	52	62	"4,498"
16	49	56	28	71	124	69	127	125	89	75	86	36	38	23	20	9	13	20	19	21	30	19	20	64	192	150	106	358	168	36	69	97	127	189	47	12	44	9	18	38	47	192	65	12	13	6	4	15	20	26	"3,282"
24	50	38	18	37	88	43	76	77	62	60	63	28	26	24	13	14	7	11	21	12	19	13	13	49	106	210	124	469	251	58	23	92	102	130	49	6	21	4	17	31	48	130	45	4	15	2	2	15	11	15	"2,831"
GP	11	13	9	12	42	11	20	22	17	17	15	11	12	6	5	1	3	6	7	5	11	8	3	15	25	114	69	235	122	78	84	12	15	22	19	3	14	3	8	16	24	96	27	3	9	2	3	9	6	5	"1,300"
BP	13	18	5	5	17	6	13	12	17	20	22	11	17	10	7	5	5	6	7	3	9	3	1	11	23	129	98	455	158	109	105	15	13	25	25	4	14	3	15	21	34	66	29	6	4	3	3	7	8	11	"1,621"
DC	20	19	7	7	35	7	13	13	19	20	29	20	15	10	9	5	5	10	16	7	12	7	4	12	24	175	104	393	231	185	137	29	35	21	16	8	35	4	11	25	52	154	74	9	6	3	2	13	12	16	"2,087"
CM	13	13	1	2	9	3	3	6	6	2	3	3	1	2		1	1	1	4	4	5	0	1	3	7	42	28	118	73	48	47	23	26	11	8	1	4	1	6	3	13	63	22	1	1		0	4	1	0	636
