Avg Weekday Trip OD																																																			
																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	24	75	66	34	297	52	84	68	81	23	62	42	24	13	21	10	7	9	19	6	16	12	8	15	21	207	159	245	168	109	133	28	44	86	13	2	8	3	9	10	19	49	14	3	8	8	4	14	6	15	"2,456"
EN	84	18	71	55	468	83	130	149	217	51	90	51	38	22	37	16	15	19	27	12	19	8	9	24	26	421	349	429	335	147	114	38	54	123	11	5	12	5	8	16	22	75	28	6	26	18	4	10	16	21	"4,032"
EP	75	56	9	32	348	55	69	95	120	33	35	19	17	10	12	4	10	10	11	10	12	7	6	14	5	254	216	159	158	58	43	19	20	35	4	3	6	2	3	5	10	49	13	4	16	8	1	5	8	11	"2,186"
NB	38	47	35	8	90	26	39	83	87	21	40	17	18	11	12	3	9	12	13	11	14	5	4	13	6	303	223	128	180	71	43	18	18	18	3	2	5	1	4	2	6	72	13	2	17	7	1	5	7	11	"1,820"
BK	340	492	369	108	41	188	207	275	251	112	183	83	96	72	77	45	77	76	59	54	71	35	21	19	46	492	337	362	349	176	158	74	65	74	21	20	50	11	41	21	23	134	64	17	60	33	10	31	66	90	"6,172"
AS	57	80	61	34	164	9	43	77	89	33	59	33	26	17	19	9	10	8	11	9	7	6	5	6	15	272	212	153	198	89	45	18	20	26	4	3	11	3	8	4	4	47	14	4	14	7	2	8	10	15	"2,077"
MA	97	119	69	39	207	41	17	87	100	33	111	76	63	38	40	30	26	27	83	71	72	25	24	38	38	463	354	305	348	184	111	36	44	48	10	9	25	17	79	12	11	79	23	14	15	22	17	79	23	24	"3,924"
19	82	153	94	90	257	79	85	17	21	18	64	75	84	61	65	36	60	61	88	90	106	57	37	71	43	616	478	380	412	205	157	72	61	75	17	16	52	24	51	19	26	66	33	23	17	32	14	65	37	49	"4,891"
12	90	205	109	81	241	81	96	20	24	13	74	83	129	96	74	58	77	83	107	132	110	57	45	80	39	561	393	418	376	181	148	74	78	97	35	22	85	37	84	31	31	87	39	31	21	24	18	89	32	46	"5,243"
