Total Trip OD																																																			
																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
SL	728	938	333	511	"2,564"	749	"1,817"	"2,402"	"3,372"	"5,207"	"5,181"	"2,562"	463	"2,499"	"3,697"	"2,015"	"1,510"	"2,382"	483	403	314	85	120	386	774	"9,263"	"7,899"	"8,770"	"6,459"	"2,446"	"1,834"	648	"1,202"	"2,346"	137	875	"2,644"	89	234	154	218	688	149	"1,111"	230	"1,304"	125	466	"1,034"	"1,654"	"93,474"
BF	440	650	245	332	"2,026"	404	"1,154"	"1,713"	"2,505"	"3,737"	"4,285"	"2,629"	"2,513"	582	"2,024"	"1,431"	"1,335"	"1,716"	428	96	250	45	51	251	639	"7,120"	"6,145"	"8,235"	"5,301"	"1,768"	"1,472"	531	835	"1,481"	127	882	"2,283"	84	187	194	263	400	138	"1,132"	182	"1,222"	122	222	827	"1,495"	"74,129"
HY	630	"1,031"	390	343	"2,007"	531	"1,171"	"1,828"	"2,055"	"2,257"	"4,283"	"3,008"	"3,786"	"1,941"	461	"1,708"	"3,429"	"4,024"	493	270	192	134	53	282	667	"4,558"	"3,203"	"3,777"	"2,912"	"1,042"	716	346	467	821	116	287	"1,298"	77	373	169	182	288	163	514	194	"2,294"	158	407	"1,929"	"2,334"	"65,599"
SH	313	405	98	79	"1,119"	205	749	964	"1,314"	"1,528"	"1,784"	"1,239"	"1,753"	"1,251"	"1,446"	227	"1,369"	"1,859"	190	112	165	55	25	82	284	"3,480"	"2,870"	"2,471"	"2,308"	720	856	137	278	608	84	336	662	7	131	77	62	183	77	441	175	"1,833"	26	135	"1,042"	"1,505"	"39,119"
UC	296	465	200	232	"2,241"	272	732	"1,536"	"1,940"	"1,415"	"1,514"	"1,574"	"1,723"	"1,580"	"3,397"	"1,369"	462	"1,760"	204	142	320	21	49	133	336	"6,107"	"4,343"	"3,374"	"2,775"	839	464	181	294	772	90	309	926	42	138	52	55	388	55	426	208	"2,106"	46	120	"2,052"	"2,297"	"52,372"
FM	274	474	239	354	"2,324"	287	769	"1,496"	"1,986"	"1,536"	"1,519"	"1,088"	"2,398"	"1,876"	"4,015"	"1,989"	"1,845"	590	189	126	172	20	76	174	245	"7,873"	"4,675"	"3,202"	"2,653"	891	456	218	223	760	48	426	942	44	136	26	76	599	68	380	252	"1,901"	32	172	"2,632"	"3,253"	"57,999"
CN	634	695	288	335	"1,496"	318	"2,170"	"2,017"	"2,637"	418	756	654	575	359	488	177	166	217	735	"1,759"	"4,250"	"2,640"	783	"1,747"	291	"8,466"	"6,519"	"6,051"	"5,300"	"1,526"	"1,289"	619	754	"1,472"	236	148	182	680	"3,595"	295	326	"2,320"	360	115	522	102	"1,875"	"3,149"	265	302	"73,073"
PH	184	383	265	269	"1,593"	229	"1,848"	"2,251"	"3,044"	186	341	393	283	105	269	124	128	136	"1,812"	367	"1,747"	770	492	"1,767"	264	"13,224"	"10,529"	"5,843"	"5,451"	"1,681"	932	596	480	966	223	54	115	362	"1,268"	236	235	"3,163"	231	50	670	140	618	"1,274"	169	219	"67,979"
WC	520	466	351	393	"2,203"	237	"2,061"	"2,824"	"2,851"	469	488	298	323	206	235	152	267	166	"4,795"	"1,857"	460	"1,235"	759	"2,573"	274	"15,047"	"10,870"	"6,039"	"5,414"	"1,486"	"1,004"	633	619	"1,023"	257	68	99	589	"2,065"	321	296	"3,897"	246	37	550	93	810	"2,053"	166	268	"80,413"
LF	414	197	207	144	"1,013"	157	736	"1,352"	"1,436"	103	263	180	70	42	120	63	22	27	"3,079"	"1,189"	"1,257"	257	266	"1,212"	56	"10,751"	"7,553"	"3,185"	"2,790"	939	551	237	307	344	57	16	25	163	479	79	118	"2,325"	78	5	350	49	231	358	36	73	"44,961"
