Exit stations,Entry stations->,,SUNDAY,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	4 , 	8 , 	7 , 	8 , 	13 , 	8 , 	10 , 	7 , 	6 , 	2 , 	14 , 	9 , 	4 , 	2 , 	2 , 	2 , 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	-   , 	1 , 	4 , 	12 , 	7 , 	20 , 	23 , 	12 , 	10 , 	4 , 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	4 , 	3 , 	1 , 	-   , 	1 , 	1 , 	-   , 	-   , 	1 , 	2 , 	226 ,,,,,,,,,,,
EN, 	11 , 	2 , 	8 , 	6 , 	15 , 	13 , 	10 , 	9 , 	10 , 	4 , 	7 , 	6 , 	3 , 	3 , 	3 , 	1 , 	2 , 	2 , 	0 , 	3 , 	3 , 	1 , 	0 , 	2 , 	4 , 	18 , 	13 , 	22 , 	19 , 	10 , 	7 , 	5 , 	7 , 	3 , 	4 , 	0 , 	3 , 	-   , 	2 , 	0 , 	1 , 	6 , 	2 , 	-   , 	1 , 	1 , 	-   , 	-   , 	-   , 	3 , 	251 ,,,,,,,,,,,
EP, 	9 , 	8 , 	1 , 	3 , 	16 , 	7 , 	2 , 	5 , 	3 , 	2 , 	5 , 	3 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	-   , 	0 , 	-   , 	0 , 	1 , 	1 , 	6 , 	2 , 	6 , 	3 , 	2 , 	2 , 	1 , 	0 , 	1 , 	1 , 	-   , 	1 , 	-   , 	1 , 	1 , 	1 , 	2 , 	1 , 	-   , 	0 , 	-   , 	-   , 	-   , 	-   , 	1 , 	103 ,,,,,,,,,,,
NB, 	6 , 	5 , 	5 , 	1 , 	3 , 	3 , 	4 , 	2 , 	3 , 	1 , 	5 , 	3 , 	4 , 	1 , 	-   , 	-   , 	-   , 	0 , 	0 , 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	2 , 	0 , 	3 , 	3 , 	1 , 	1 , 	0 , 	-   , 	1 , 	-   , 	0 , 	-   , 	-   , 	1 , 	-   , 	0 , 	1 , 	1 , 	-   , 	1 , 	1 , 	-   , 	-   , 	1 , 	0 , 	63 ,,,,,,,,,,,
BK, 	16 , 	21 , 	19 , 	3 , 	6 , 	13 , 	15 , 	13 , 	19 , 	4 , 	13 , 	9 , 	4 , 	6 , 	3 , 	1 , 	2 , 	1 , 	1 , 	2 , 	1 , 	-   , 	1 , 	1 , 	4 , 	8 , 	5 , 	9 , 	13 , 	4 , 	2 , 	2 , 	0 , 	3 , 	-   , 	-   , 	0 , 	-   , 	1 , 	1 , 	1 , 	2 , 	0 , 	-   , 	1 , 	1 , 	-   , 	-   , 	0 , 	1 , 	228 ,,,,,,,,,,,
AS, 	11 , 	10 , 	10 , 	3 , 	8 , 	1 , 	7 , 	6 , 	8 , 	3 , 	8 , 	6 , 	2 , 	4 , 	2 , 	1 , 	3 , 	1 , 	1 , 	0 , 	-   , 	-   , 	0 , 	1 , 	2 , 	3 , 	1 , 	8 , 	8 , 	4 , 	2 , 	-   , 	2 , 	1 , 	-   , 	1 , 	1 , 	0 , 	1 , 	1 , 	0 , 	1 , 	0 , 	1 , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	129 ,,,,,,,,,,,
MA, 	8 , 	9 , 	4 , 	4 , 	13 , 	6 , 	2 , 	4 , 	9 , 	5 , 	15 , 	9 , 	5 , 	7 , 	4 , 	2 , 	2 , 	1 , 	5 , 	3 , 	3 , 	2 , 	1 , 	6 , 	9 , 	13 , 	8 , 	21 , 	18 , 	8 , 	7 , 	4 , 	3 , 	2 , 	3 , 	-   , 	2 , 	1 , 	5 , 	1 , 	1 , 	4 , 	1 , 	1 , 	2 , 	2 , 	-   , 	-   , 	5 , 	3 , 	247 ,,,,,,,,,,,
19, 	10 , 	8 , 	2 , 	2 , 	11 , 	6 , 	7 , 	2 , 	2 , 	-   , 	7 , 	8 , 	9 , 	8 , 	5 , 	2 , 	2 , 	2 , 	2 , 	3 , 	2 , 	1 , 	1 , 	6 , 	4 , 	10 , 	6 , 	17 , 	15 , 	8 , 	5 , 	2 , 	3 , 	4 , 	0 , 	2 , 	1 , 	0 , 	2 , 	-   , 	1 , 	2 , 	0 , 	0 , 	1 , 	1 , 	-   , 	-   , 	2 , 	3 , 	193 ,,,,,,,,,,,
12, 	7 , 	10 , 	3 , 	4 , 	15 , 	7 , 	5 , 	2 , 	4 , 	1 , 	7 , 	6 , 	10 , 	7 , 	4 , 	3 , 	2 , 	3 , 	6 , 	5 , 	4 , 	1 , 	2 , 	4 , 	9 , 	12 , 	7 , 	29 , 	23 , 	14 , 	8 , 	2 , 	3 , 	1 , 	1 , 	1 , 	2 , 	0 , 	2 , 	2 , 	2 , 	5 , 	1 , 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	1 , 	245 ,,,,,,,,,,,
LM, 	4 , 	3 , 	3 , 	1 , 	4 , 	3 , 	5 , 	1 , 	3 , 	2 , 	13 , 	16 , 	8 , 	9 , 	5 , 	2 , 	2 , 	3 , 	3 , 	0 , 	1 , 	-   , 	0 , 	1 , 	3 , 	11 , 	8 , 	16 , 	12 , 	6 , 	2 , 	1 , 	1 , 	2 , 	-   , 	2 , 	2 , 	-   , 	1 , 	-   , 	0 , 	1 , 	1 , 	3 , 	1 , 	2 , 	-   , 	-   , 	1 , 	-   , 	163 ,,,,,,,,,,,
