Exit stations,Entry stations->,,SATURDAY,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
FV, 	15 , 	16 , 	6 , 	9 , 	14 , 	13 , 	21 , 	8 , 	17 , 	15 , 	5 , 	38 , 	32 , 	31 , 	23 , 	16 , 	7 , 	8 , 	5 , 	2 , 	3 , 	3 , 	1 , 	8 , 	16 , 	19 , 	20 , 	62 , 	71 , 	25 , 	21 , 	5 , 	8 , 	7 , 	-   , 	11 , 	14 , 	0 , 	4 , 	3 , 	3 , 	3 , 	1 , 	6 , 	1 , 	7 , 	-   , 	-   , 	2 , 	2 , 	623 ,,,,,,,,,,
CL, 	9 , 	15 , 	4 , 	2 , 	10 , 	7 , 	14 , 	14 , 	12 , 	15 , 	32 , 	3 , 	24 , 	30 , 	15 , 	8 , 	8 , 	4 , 	2 , 	2 , 	2 , 	-   , 	-   , 	3 , 	15 , 	12 , 	13 , 	33 , 	31 , 	13 , 	13 , 	2 , 	3 , 	2 , 	1 , 	7 , 	6 , 	0 , 	3 , 	2 , 	2 , 	3 , 	1 , 	5 , 	2 , 	1 , 	-   , 	-   , 	3 , 	2 , 	404 ,,,,,,,,,,
SL, 	5 , 	3 , 	3 , 	5 , 	6 , 	6 , 	6 , 	18 , 	13 , 	13 , 	33 , 	24 , 	2 , 	17 , 	17 , 	13 , 	6 , 	9 , 	2 , 	1 , 	2 , 	-   , 	0 , 	4 , 	8 , 	14 , 	16 , 	21 , 	22 , 	10 , 	7 , 	1 , 	4 , 	4 , 	1 , 	5 , 	9 , 	1 , 	2 , 	2 , 	1 , 	6 , 	-   , 	2 , 	0 , 	4 , 	-   , 	-   , 	1 , 	0 , 	344 ,,,,,,,,,,
BF, 	3 , 	5 , 	0 , 	2 , 	6 , 	1 , 	11 , 	11 , 	17 , 	14 , 	31 , 	22 , 	15 , 	3 , 	16 , 	11 , 	5 , 	10 , 	3 , 	1 , 	2 , 	1 , 	2 , 	2 , 	6 , 	14 , 	12 , 	21 , 	16 , 	8 , 	5 , 	2 , 	6 , 	3 , 	1 , 	8 , 	16 , 	-   , 	1 , 	1 , 	-   , 	3 , 	0 , 	3 , 	1 , 	3 , 	-   , 	-   , 	1 , 	1 , 	321 ,,,,,,,,,,
HY, 	4 , 	4 , 	1 , 	2 , 	3 , 	2 , 	7 , 	12 , 	9 , 	7 , 	26 , 	15 , 	16 , 	15 , 	1 , 	14 , 	15 , 	19 , 	1 , 	0 , 	0 , 	-   , 	-   , 	3 , 	5 , 	5 , 	3 , 	9 , 	7 , 	4 , 	4 , 	3 , 	5 , 	1 , 	1 , 	2 , 	6 , 	2 , 	2 , 	-   , 	2 , 	2 , 	1 , 	2 , 	1 , 	5 , 	-   , 	-   , 	0 , 	2 , 	247 ,,,,,,,,,,
SH, 	3 , 	1 , 	3 , 	0 , 	2 , 	3 , 	2 , 	3 , 	1 , 	2 , 	15 , 	12 , 	11 , 	8 , 	10 , 	3 , 	10 , 	8 , 	0 , 	1 , 	-   , 	-   , 	-   , 	1 , 	4 , 	4 , 	3 , 	7 , 	4 , 	4 , 	2 , 	1 , 	1 , 	1 , 	1 , 	2 , 	3 , 	-   , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	1 , 	3 , 	-   , 	-   , 	-   , 	1 , 	143 ,,,,,,,,,,
UC, 	1 , 	2 , 	3 , 	1 , 	1 , 	2 , 	2 , 	2 , 	4 , 	3 , 	10 , 	9 , 	9 , 	9 , 	15 , 	8 , 	2 , 	9 , 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	1 , 	3 , 	3 , 	5 , 	8 , 	2 , 	1 , 	-   , 	1 , 	1 , 	0 , 	1 , 	2 , 	-   , 	1 , 	0 , 	1 , 	0 , 	0 , 	1 , 	0 , 	5 , 	-   , 	-   , 	0 , 	-   , 	129 ,,,,,,,,,,
FM, 	2 , 	1 , 	-   , 	1 , 	1 , 	1 , 	4 , 	3 , 	3 , 	4 , 	7 , 	7 , 	6 , 	8 , 	15 , 	7 , 	7 , 	3 , 	1 , 	1 , 	1 , 	0 , 	0 , 	0 , 	0 , 	2 , 	3 , 	3 , 	3 , 	4 , 	0 , 	1 , 	1 , 	0 , 	1 , 	3 , 	3 , 	-   , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	1 , 	6 , 	-   , 	-   , 	1 , 	2 , 	114 ,,,,,,,,,,
CN, 	4 , 	2 , 	2 , 	1 , 	3 , 	2 , 	6 , 	2 , 	6 , 	2 , 	6 , 	3 , 	3 , 	4 , 	2 , 	1 , 	1 , 	1 , 	1 , 	15 , 	23 , 	13 , 	2 , 	5 , 	4 , 	11 , 	7 , 	15 , 	10 , 	6 , 	6 , 	2 , 	3 , 	3 , 	1 , 	-   , 	1 , 	3 , 	22 , 	1 , 	1 , 	6 , 	1 , 	0 , 	1 , 	1 , 	-   , 	-   , 	13 , 	7 , 	228 ,,,,,,,,,,
PH, 	1 , 	1 , 	1 , 	-   , 	1 , 	2 , 	4 , 	2 , 	4 , 	-   , 	2 , 	2 , 	1 , 	1 , 	0 , 	-   , 	1 , 	2 , 	13 , 	2 , 	8 , 	4 , 	2 , 	4 , 	2 , 	5 , 	4 , 	7 , 	5 , 	3 , 	1 , 	1 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	5 , 	1 , 	1 , 	2 , 	1 , 	0 , 	2 , 	0 , 	-   , 	-   , 	3 , 	4 , 	106 ,,,,,,,,,,
WC, 	2 , 	3 , 	1 , 	1 , 	1 , 	2 , 	3 , 	2 , 	3 , 	0 , 	2 , 	0 , 	1 , 	1 , 	0 , 	-   , 	-   , 	1 , 	28 , 	12 , 	2 , 	4 , 	2 , 	5 , 	1 , 	3 , 	3 , 	7 , 	5 , 	2 , 	2 , 	1 , 	1 , 	0 , 	-   , 	-   , 	-   , 	2 , 	10 , 	0 , 	1 , 	2 , 	0 , 	1 , 	1 , 	0 , 	-   , 	-   , 	6 , 	3 , 	124 ,,,,,,,,,,
