Exit stations,Entry stations->,,TOTAL,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV, 	640 , 	600 , 	221 , 	336 , 	688 , 	497 , 	740 , 	516 , 	749 , 	661 , 	204 ," 	1,437 "," 	1,609 "," 	1,310 "," 	1,052 ", 	644 , 	440 , 	467 , 	192 , 	159 , 	131 , 	79 , 	78 , 	273 , 	732 ," 	1,550 "," 	1,520 "," 	2,539 "," 	3,328 "," 	1,075 ", 	947 , 	231 , 	331 , 	273 , 	39 , 	412 , 	812 , 	26 , 	101 , 	44 , 	105 , 	126 , 	49 , 	195 , 	49 , 	282 , 	-   , 	-   , 	83 , 	74 ," 	28,646 ",,,,,,,,,,,,,
CL, 	581 , 	569 , 	177 , 	111 , 	428 , 	317 , 	767 , 	726 , 	986 , 	716 ," 	1,346 ", 	152 , 	947 ," 	1,012 ", 	810 , 	557 , 	359 , 	277 , 	105 , 	87 , 	80 , 	23 , 	18 , 	95 , 	727 ," 	1,002 "," 	1,175 "," 	1,180 "," 	1,684 ", 	732 , 	548 , 	196 , 	228 , 	176 , 	52 , 	255 , 	444 , 	63 , 	135 , 	118 , 	87 , 	100 , 	72 , 	155 , 	54 , 	188 , 	-   , 	-   , 	92 , 	163 ," 	20,872 ",,,,,,,,,,,,,
SL, 	227 , 	280 , 	144 , 	129 , 	274 , 	296 , 	478 , 	631 , 	899 , 	687 ," 	1,709 "," 	1,033 ", 	65 , 	645 , 	758 , 	682 , 	362 , 	350 , 	68 , 	31 , 	41 , 	15 , 	32 , 	92 , 	334 ," 	1,019 "," 	1,260 "," 	1,228 "," 	1,439 ", 	522 , 	289 , 	115 , 	161 , 	160 , 	19 , 	293 , 	503 , 	8 , 	53 , 	66 , 	41 , 	200 , 	28 , 	144 , 	13 , 	212 , 	-   , 	-   , 	83 , 	122 ," 	18,240 ",,,,,,,,,,,,,
BF, 	104 , 	224 , 	43 , 	87 , 	201 , 	149 , 	474 , 	478 , 	842 , 	689 ," 	1,154 ", 	940 , 	653 , 	96 , 	500 , 	502 , 	378 , 	488 , 	119 , 	26 , 	53 , 	27 , 	44 , 	76 , 	273 , 	798 , 	899 ," 	1,136 "," 	1,502 ", 	468 , 	306 , 	152 , 	193 , 	152 , 	45 , 	277 , 	661 , 	22 , 	29 , 	35 , 	17 , 	116 , 	23 , 	158 , 	21 , 	186 , 	-   , 	-   , 	25 , 	65 ," 	15,906 ",,,,,,,,,,,,,
HY, 	137 , 	166 , 	42 , 	70 , 	185 , 	117 , 	337 , 	378 , 	496 , 	431 ," 	1,091 ", 	749 , 	869 , 	558 , 	75 , 	518 , 	697 , 	752 , 	75 , 	19 , 	56 , 	21 , 	17 , 	66 , 	181 , 	546 , 	350 , 	512 , 	796 , 	232 , 	204 , 	137 , 	97 , 	86 , 	23 , 	83 , 	383 , 	20 , 	40 , 	13 , 	65 , 	70 , 	57 , 	88 , 	10 , 	307 , 	-   , 	-   , 	53 , 	68 ," 	12,343 ",,,,,,,,,,,,,
SH, 	131 , 	162 , 	69 , 	31 , 	116 , 	52 , 	223 , 	200 , 	171 , 	341 , 	575 , 	543 , 	501 , 	462 , 	345 , 	74 , 	316 , 	440 , 	49 , 	24 , 	50 , 	3 , 	8 , 	14 , 	154 , 	411 , 	469 , 	460 , 	637 , 	173 , 	172 , 	49 , 	50 , 	44 , 	48 , 	142 , 	105 , 	3 , 	43 , 	44 , 	60 , 	53 , 	29 , 	120 , 	16 , 	281 , 	-   , 	-   , 	20 , 	36 ," 	8,519 ",,,,,,,,,,,,,
UC, 	83 , 	117 , 	79 , 	16 , 	67 , 	109 , 	193 , 	148 , 	355 , 	212 , 	528 , 	381 , 	384 , 	473 , 	610 , 	272 , 	48 , 	479 , 	64 , 	35 , 	20 , 	5 , 	3 , 	18 , 	49 , 	254 , 	344 , 	271 , 	527 , 	163 , 	181 , 	12 , 	21 , 	52 , 	42 , 	57 , 	203 , 	4 , 	34 , 	31 , 	10 , 	27 , 	7 , 	86 , 	25 , 	296 , 	-   , 	-   , 	33 , 	14 ," 	7,442 ",,,,,,,,,,,,,
FM, 	154 , 	171 , 	25 , 	41 , 	39 , 	30 , 	177 , 	147 , 	229 , 	243 , 	490 , 	290 , 	372 , 	420 , 	750 , 	420 ," 	1,389 ", 	71 , 	43 , 	29 , 	24 , 	2 , 	22 , 	13 , 	47 , 	191 , 	271 , 	320 , 	369 , 	143 , 	89 , 	72 , 	30 , 	47 , 	27 , 	92 , 	167 , 	10 , 	26 , 	2 , 	1 , 	28 , 	28 , 	19 , 	15 , 	364 , 	-   , 	-   , 	21 , 	35 ," 	8,005 ",,,,,,,,,,,,,
CN, 	170 , 	105 , 	68 , 	40 , 	114 , 	79 , 	393 , 	318 , 	423 , 	77 , 	208 , 	131 , 	82 , 	118 , 	72 , 	49 , 	57 , 	34 , 	95 , 	448 , 	773 , 	446 , 	143 , 	157 , 	170 , 	770 , 	821 , 	893 ," 	1,171 ", 	316 , 	324 , 	175 , 	142 , 	126 , 	37 , 	4 , 	17 , 	322 , 	830 , 	62 , 	94 , 	251 , 	82 , 	15 , 	27 , 	42 , 	-   , 	-   , 	487 , 	428 ," 	12,206 ",,,,,,,,,,,,,
PH, 	36 , 	92 , 	54 , 	52 , 	62 , 	44 , 	309 , 	312 , 	441 , 	68 , 	99 , 	75 , 	21 , 	22 , 	20 , 	8 , 	42 , 	32 , 	437 , 	76 , 	261 , 	139 , 	143 , 	171 , 	75 , 	568 , 	579 , 	521 , 	855 , 	249 , 	118 , 	75 , 	65 , 	87 , 	15 , 	3 , 	33 , 	148 , 	328 , 	39 , 	69 , 	102 , 	16 , 	1 , 	42 , 	25 , 	-   , 	-   , 	141 , 	144 ," 	7,314 ",,,,,,,,,,,,,
WC, 	62 , 	129 , 	39 , 	30 , 	48 , 	29 , 	321 , 	208 , 	272 , 	60 , 	117 , 	64 , 	45 , 	57 , 	53 , 	43 , 	12 , 	23 , 	910 , 	340 , 	55 , 	207 , 	74 , 	156 , 	47 , 	314 , 	441 , 	321 , 	441 , 	113 , 	115 , 	27 , 	24 , 	68 , 	31 , 	18 , 	8 , 	196 , 	494 , 	22 , 	37 , 	103 , 	6 , 	8 , 	23 , 	6 , 	-   , 	-   , 	264 , 	277 ," 	6,758 ",,,,,,,,,,,,,
LF, 	23 , 	42 , 	13 , 	13 , 	32 , 	25 , 	154 , 	40 , 	56 , 	8 , 	96 , 	16 , 	11 , 	42 , 	2 , 	1 , 	-   , 	3 , 	538 , 	166 , 	225 , 	14 , 	44 , 	85 , 	12 , 	70 , 	193 , 	31 , 	177 , 	25 , 	35 , 	8 , 	26 , 	5 , 	3 , 	-   , 	5 , 	41 , 	178 , 	-   , 	9 , 	17 , 	-   , 	3 , 	9 , 	1 , 	-   , 	-   , 	39 , 	67 ," 	2,603 ",,,,,,,,,,,,,
OR, 	47 , 	43 , 	35 , 	17 , 	16 , 	28 , 	76 , 	63 , 	77 , 	28 , 	69 , 	28 , 	24 , 	40 , 	18 , 	8 , 	2 , 	23 , 	120 , 	106 , 	89 , 	35 , 	30 , 	80 , 	11 , 	140 , 	145 , 	100 , 	179 , 	68 , 	34 , 	8 , 	10 , 	7 , 	1 , 	-   , 	5 , 	14 , 	30 , 	1 , 	5 , 	30 , 	8 , 	1 , 	4 , 	7 , 	-   , 	-   , 	43 , 	43 ," 	1,996 ",,,,,,,,,,,,,
RR, 	73 , 	130 , 	64 , 	17 , 	50 , 	22 , 	160 , 	159 , 	163 , 	82 , 	324 , 	71 , 	103 , 	60 , 	65 , 	22 , 	13 , 	17 , 	168 , 	178 , 	162 , 	84 , 	135 , 	37 , 	111 , 	286 , 	219 , 	191 , 	321 , 	113 , 	85 , 	40 , 	33 , 	23 , 	16 , 	9 , 	18 , 	12 , 	139 , 	28 , 	20 , 	25 , 	6 , 	1 , 	5 , 	2 , 	-   , 	-   , 	98 , 	107 ," 	4,267 ",,,,,,,,,,,,,
