Avg Sunday Trip OD																																																			
																																																			
2025 / 02																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	11	30	35	21	133	21	40	37	40	12	26	20	12	7	7	6	6	3	13	3	6	8	2	8	7	80	45	134	58	39	44	9	12	19	8	1	9	1	4	4	5	32	7	2	5	3	1	6	4	7	"1,044"
EN	36	13	19	22	169	33	48	83	47	23	33	17	14	13	12	5	5	7	12	6	9	7	3	9	8	126	83	220	84	51	33	13	15	19	7	3	5	1	5	6	8	47	11	4	11	9	2	3	12	16	"1,442"
EP	41	23	6	25	142	23	29	44	28	10	16	7	7	5	4	3	2	6	4	2	10	3	2	9	5	62	49	106	57	21	16	6	6	6	1	2	5	1	3	2	2	34	6	1	11	3	0	3	3	7	864
NB	19	13	25	6	43	16	23	53	23	7	16	7	6	7	5	4	4	4	4	4	7	2	2	6	4	93	67	74	74	47	28	11	4	8	3	1	5	1	1	1	1	42	6	2	10	1		3	9	10	806
BK	132	148	145	47	39	55	65	116	132	44	58	30	27	21	31	20	28	37	10	12	25	13	9	9	19	332	169	289	220	120	93	57	30	38	11	11	31	5	8	7	13	116	57	9	35	26	3	8	71	127	"3,152"
AS	13	26	20	16	45	6	15	58	35	7	22	14	5	6	4	3	4	4	3	3	7	2	1	2	6	66	48	80	57	48	32	11	6	7	4	1	3	1	2	2	1	26	5	1	8	2	0	1	6	7	745
MA	43	42	30	24	72	26	10	95	40	13	41	27	17	19	11	9	9	6	22	18	22	7	9	21	15	144	87	174	125	90	66	18	11	9	3	4	12	6	15	3	4	58	9	3	15	6	5	12	8	14	"1,543"
19	33	69	49	55	117	65	80	19	14	21	54	32	62	35	36	16	14	22	31	22	33	21	16	65	46	206	118	249	158	130	82	23	22	26	4	8	19	7	19	4	6	59	14	5	13	9	4	21	12	22	"2,259"
12	33	64	29	27	137	41	43	21	23	8	37	35	46	32	42	14	17	19	33	26	29	13	13	41	37	206	109	262	154	89	66	27	25	28	12	5	16	3	16	8	14	66	23	4	11	4	3	15	13	15	"2,047"
LM	14	20	9	13	38	14	14	18	10	9	69	43	67	57	27	15	17	20	7	2	6	1	2	4	14	107	71	177	101	64	48	15	21	10	3	22	39	1	3	3	3	11	2	13	12	10	1	3	14	25	"1,284"
FV	27	35	15	16	68	27	37	62	28	56	14	58	51	72	57	23	21	20	11	5	6	3	3	14	25	124	73	228	118	70	56	22	18	18	5	21	34	1	7	4	8	21	5	22	8	10	3	10	14	28	"1,676"
CL	25	18	9	7	31	13	23	30	32	38	56	17	40	48	36	22	9	10	6	4	6	3	3	7	20	55	37	103	54	28	28	8	9	13	2	11	31	1	6	2	3	13	2	8	9	9	4	9	9	13	972
SL	13	12	7	5	29	7	18	69	45	76	58	39	12	42	46	16	11	15	10	2	5	1	1	5	13	91	62	165	68	35	26	8	14	12	2	17	34	1	4	3	6	13	6	18	3	9	2	3	10	19	"1,182"
BF	4	13	6	5	23	7	18	41	41	47	73	51	40	15	35	20	21	18	8	1	7	2		3	17	80	51	170	51	25	15	6	12	16	2	11	40	2	5	3	4	7	2	30	5	13	2	4	10	20	"1,096"
HY	6	16	5	7	33	6	16	49	33	29	52	35	52	30	15	25	33	40	4	4	4	2		4	8	48	23	66	33	17	14	4	7	10	1	5	23	1	5	1	2	8	3	8	6	24	2	4	27	33	875
SH	5	5	4	4	14	6	11	17	10	21	25	20	24	20	20	12	13	27	2	1	4		0	1	3	34	15	60	24	12	10	4	2	5	1	4	13		3	0	2	3	2	9	3	21		2	18	25	535
UC	5	6	2	5	34	6	8	19	14	17	18	8	12	17	35	11	9	21	2	2	1	2		1	4	52	26	70	26	10	9	4	5	7	1	4	14	2	2	1	1	6	2	6	5	29	1	1	33	31	600
FM	4	9	5	4	31	5	6	21	15	16	20	13	16	19	33	22	27	9	2	3	2			3	4	57	27	61	41	13	9	4	5	7	2	5	10	2	3	1	1	13	1	6	5	20	1	4	35	42	657
CN	12	12	4	4	12	4	20	32	24	5	8	7	6	5	5	2	1	2	13	25	84	48	12	23	8	65	33	109	44	21	13	10	7	12	2	2	4	6	48	5	3	52	3	3	9	2	30	37	2	8	900
PH	3	3	4	3	15	5	21	29	24	1	6	4	3	1	2	1	1	2	28	7	37	20	5	22	3	73	40	92	54	17	10	8	5	8	2	2	2	3	20	3	5	67	3	1	10	2	6	10	1	5	693
WC	6	7	9	10	28	8	26	35	27	4	8	4	4	4	3	3	2	1	87	40	12	21	19	52	4	105	63	118	75	30	17	10	8	8	4	2	2	7	31	4	5	70	5		9	1	14	19	2	6	"1,034"
LF	7	6	4	2	15	3	10	19	14	0	1	3	1	2	1	0	1	1	51	22	19	4	3	22	1	72	37	66	58	14	10	5	7	2	1	1	0	1	6	0	1	53	2		10		5	4	1	2	564
OR	2	3	1	3	11	2	6	19	12	1	2	2	0	3	0	1		1	12	4	21	3	6	19	0	55	34	54	47	18	12	4	2	3			1	1	6	0	1	29	1	0	6		2	2	1	2	408
RR	5	6	11	7	8	5	21	73	39	5	12	7	5	3	3	1	1	1	28	25	61	22	25	10	9	169	80	134	121	64	41	13	7	8	2	3	1	2	9	1	3	58	5	1	6	1	2	11	3	4	"1,134"
OW	11	10	3	5	20	8	13	54	29	12	33	20	10	14	9	4	3	5	7	4	3	2	0	6	9	245	136	356	187	137	81	16	24	19	8	8	12	1	4	4	6	59	6	6	6	2	2	6	2	6	"1,626"
EM	81	138	76	102	344	88	167	235	212	98	132	62	92	95	47	41	52	54	75	77	122	65	59	159	286	66	6	51	50	145	193	75	99	92	20	40	145	16	57	26	32	164	49	59	31	29	16	54	43	57	"4,570"
MT	52	84	51	69	219	74	107	154	127	83	88	38	73	74	38	25	33	37	39	51	60	37	32	98	174	8	25	20	23	115	147	80	146	107	35	31	74	12	47	25	26	128	34	30	17	22	11	27	36	27	"3,162"
PL	102	172	82	67	271	77	140	209	221	131	185	110	149	137	59	44	51	52	97	77	104	57	51	117	366	50	13	75	53	351	389	247	386	367	114	65	139	19	84	100	89	385	95	43	21	31	20	65	42	53	"6,418"
CC	53	70	54	71	173	70	128	167	112	85	108	49	65	44	23	20	24	33	38	54	66	58	47	119	206	40	18	56	43	147	224	116	137	183	68	27	81	16	39	51	60	198	88	20	9	16	9	29	25	35	"3,668"
16	36	47	23	43	121	52	104	119	88	61	60	26	30	19	17	12	10	17	18	19	30	16	13	62	136	125	102	374	162	19	79	87	128	149	56	12	25	5	15	34	37	132	47	11	5	6	3	9	9	13	"2,818"
24	39	37	18	34	86	39	76	85	72	51	53	26	20	17	16	12	7	9	16	12	18	8	15	41	98	176	126	484	247	79	16	84	99	118	41	8	24	3	13	36	40	102	47	4	9	3	3	12	9	11	"2,693"
GP	13	14	4	14	49	10	23	29	25	13	16	10	8	7	3	3	5	5	9	7	7	5	3	15	23	77	70	272	118	86	80	6	13	25	12	3	14	3	6	13	23	71	22	2	7	2	2	10	3	6	"1,261"
BP	13	13	6	5	26	8	10	26	20	15	21	8	11	13	5	3	4	4	8	4	10	4	3	8	26	94	93	444	134	104	91	11	10	21	28	3	8	4	14	17	26	54	22	4	3	3	2	11	6	5	"1,478"
DC	17	17	5	5	30	8	17	27	22	15	17	14	12	15	8	8	8	8	14	7	8	3	3	9	25	101	86	409	216	160	130	24	31	14	19	6	23	4	10	25	46	110	62	6	2	3	1	11	8	10	"1,834"
CM	12	6	2	2	11	2	4	4	9	3	4	1	1	4	1	2	2	2	5	2	3	2	1	3	7	26	24	132	76	47	38	15	21	14	4		2	1	7	3	17	50	17	1		1	0	4	1	1	593
CV	1	3	3	0	9	2	4	8	4	26	21	8	19	10	3	3	4	4	1	3	2		0	1	4	36	28	69	28	11	8	2	4	3		4	32	0	2	0	0	7	2	34	5	2	0	0	1	2	420
