Avg Saturday Trip OD																																																			
																																																			
2025 / 02																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	13	39	47	25	183	39	49	35	42	12	35	30	14	10	9	9	4	4	13	8	7	11	3	10	12	96	69	175	89	69	82	18	22	19	9	3	5	1	3	6	10	42	9	2	4	3	2	7	6	10	"1,420"
EN	46	12	37	22	216	43	60	57	85	18	52	37	20	18	15	9	10	9	14	4	12	9	5	13	13	190	153	321	130	65	71	19	21	26	13	2	12	3	8	8	11	50	15	3	9	9	3	7	12	21	"2,010"
EP	54	30	7	26	192	31	39	57	43	15	24	18	13	6	5	4	3	6	6	3	10	5	3	10	5	123	102	137	79	42	32	7	9	8	2	4	7	1	2	2	4	39	8	2	6	4	1	2	5	11	"1,249"
NB	30	21	27	6	58	25	28	56	31	10	19	17	9	9	11	2	5	5	5	5	10	3	2	6	5	148	125	127	117	59	43	12	5	7	3	1	7	1	1	2	4	45	8	2	6	3	1	2	6	13	"1,150"
BK	189	210	188	73	40	88	110	140	169	52	86	56	51	36	40	29	36	42	15	20	36	14	15	12	33	446	323	468	295	164	116	59	35	46	9	12	40	9	17	10	12	85	62	9	17	22	2	10	46	89	"4,178"
AS	26	44	21	19	68	6	21	42	40	18	30	16	8	7	7	5	5	5	4	4	8	4	1	6	6	116	90	116	98	60	51	12	8	9	4	2	6	1	3	1	3	20	10	1	7	4	1	2	5	11	"1,056"
MA	60	52	39	33	108	33	15	60	71	22	61	64	30	21	19	8	11	14	28	24	37	19	15	29	21	226	182	273	197	140	100	22	16	14	5	6	14	5	24	4	6	48	15	7	7	7	6	23	10	18	"2,262"
19	41	53	63	52	136	71	56	25	13	13	45	67	45	26	38	15	14	16	30	31	42	22	23	61	27	304	191	320	257	163	131	43	21	31	7	8	21	5	13	7	12	44	21	6	8	10	6	15	17	33	"2,715"
12	47	79	46	35	158	52	62	16	24	7	43	64	39	28	40	16	22	23	31	26	38	17	16	44	32	272	162	341	208	119	87	31	36	37	9	8	13	5	13	10	17	52	23	5	11	13	6	19	19	21	"2,534"
