Avg Weekday Trip OD																																																			
																																																			
2025 / 02																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	15	73	66	38	289	57	87	72	90	25	57	42	25	12	22	9	9	8	20	7	13	9	7	15	21	215	155	235	181	110	126	27	42	78	17	2	7	4	8	9	16	41	11	5	7	10	5	12	7	13	"2,430"
EN	76	17	68	46	480	76	116	139	212	54	77	55	36	23	34	12	14	19	19	13	18	9	8	22	23	449	358	424	341	136	106	42	47	119	12	6	14	3	10	13	19	62	31	5	18	21	4	7	13	22	"3,945"
EP	69	57	9	30	352	50	65	86	116	34	28	20	18	10	10	3	8	9	12	9	12	7	6	17	6	252	224	153	162	48	35	18	20	36	2	3	6	2	4	5	6	43	12	4	10	6	1	3	9	12	"2,123"
NB	40	40	28	9	104	26	36	78	83	26	37	16	15	7	11	4	8	10	10	12	13	3	3	10	7	290	226	125	174	64	39	18	13	21	4	1	5	1	3	2	5	52	13	1	15	6	2	3	6	10	"1,735"
BK	306	492	357	112	39	173	203	274	257	125	161	105	95	70	84	40	76	70	51	53	60	29	20	15	44	456	330	318	322	174	151	69	59	66	21	19	44	12	37	22	18	124	55	13	45	33	9	28	60	79	"5,875"
AS	41	64	49	28	150	8	29	65	75	25	44	27	17	9	14	8	9	9	6	8	6	5	3	5	11	230	191	120	151	70	37	15	15	22	2	3	9	2	6	4	4	26	11	2	9	6	2	6	6	11	"1,673"
MA	95	105	57	40	208	37	20	84	106	33	98	69	62	36	48	29	22	29	80	59	70	30	23	38	35	477	363	300	341	178	117	41	46	41	9	8	22	18	71	11	12	59	19	13	12	19	15	78	24	25	"3,833"
19	79	137	91	79	261	81	81	21	24	20	61	75	81	61	67	36	54	59	88	99	95	50	36	75	37	634	453	370	408	216	154	68	59	64	17	18	48	24	49	20	27	55	34	26	14	37	12	61	39	46	"4,800"
12	95	211	109	85	250	86	99	24	28	12	69	77	122	95	86	62	74	81	107	132	108	60	42	82	44	596	393	420	385	174	140	76	79	92	35	23	82	39	87	34	33	85	36	34	15	26	22	82	34	46	"5,308"
LM	25	46	32	23	128	31	32	17	13	12	99	113	185	134	87	64	56	53	15	8	12	5	3	12	17	320	245	256	238	99	77	31	40	44	4	52	101	4	13	4	5	12	4	45	11	35	8	17	25	37	"2,949"
FV	62	68	28	34	164	52	96	68	71	96	22	142	155	138	166	63	54	50	24	11	21	8	14	28	71	391	307	375	370	165	135	34	57	119	4	38	90	6	15	8	17	28	7	31	6	44	8	17	41	50	"4,070"
CL	46	52	18	18	97	35	77	77	77	107	140	17	72	92	102	52	45	33	23	14	13	6	5	15	51	170	134	187	163	68	76	23	29	72	5	23	56	3	16	7	7	14	9	20	9	34	9	26	27	43	"2,513"
