Total Trip OD																																																			
																																																			
2025 / 02																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	397	"1,692"	"1,631"	945	"6,913"	"1,351"	"2,060"	"1,684"	"2,072"	580	"1,376"	"1,026"	582	297	502	245	224	193	485	172	301	253	148	366	493	"4,919"	"3,492"	"5,882"	"4,102"	"2,590"	"2,969"	633	949	"1,708"	396	58	184	78	186	230	374	"1,127"	278	108	184	217	109	290	184	323	"57,558"
EN	"1,825"	447	"1,548"	"1,072"	"10,817"	"1,763"	"2,710"	"3,255"	"4,627"	"1,218"	"1,855"	"1,282"	837	562	769	299	341	441	484	286	448	230	184	520	530	"10,048"	"7,908"	"10,506"	"7,462"	"3,109"	"2,491"	937	"1,060"	"2,548"	309	131	333	75	240	309	440	"1,620"	709	132	435	479	87	166	356	567	"90,807"
EP	"1,763"	"1,324"	239	801	"8,173"	"1,201"	"1,532"	"2,094"	"2,536"	746	721	496	438	242	233	94	184	228	267	199	316	162	137	403	156	"5,662"	"4,953"	"3,973"	"3,702"	"1,188"	882	406	449	766	56	80	165	36	97	117	147	"1,145"	288	92	276	150	30	84	208	298	"49,935"
NB	978	902	758	214	"2,424"	669	920	"1,962"	"1,815"	576	870	419	351	212	282	110	194	232	242	272	317	79	70	237	181	"6,618"	"5,162"	"3,257"	"4,173"	"1,662"	"1,044"	431	298	477	111	34	147	34	61	51	120	"1,379"	317	38	395	128	34	80	187	293	"41,817"
BK	"7,301"	"10,946"	"8,250"	"2,646"	"1,102"	"3,924"	"4,637"	"6,368"	"6,226"	"2,812"	"3,725"	"2,359"	"2,146"	"1,596"	"1,911"	982	"1,735"	"1,685"	"1,098"	"1,156"	"1,408"	666	480	394	"1,072"	"12,194"	"8,481"	"9,438"	"8,370"	"4,558"	"3,793"	"1,817"	"1,405"	"1,623"	492	469	"1,170"	294	821	498	446	"3,447"	"1,617"	327	"1,198"	852	185	620	"1,737"	"2,567"	"145,044"
AS	963	"1,528"	"1,117"	691	"3,365"	208	710	"1,664"	"1,746"	576	"1,071"	645	374	234	311	182	216	216	139	184	168	112	67	121	256	"5,209"	"4,277"	"3,119"	"3,563"	"1,813"	"1,067"	371	342	489	76	72	208	52	128	82	85	716	275	47	234	144	32	125	168	299	"39,857"
MA	"2,276"	"2,415"	"1,398"	"1,012"	"4,756"	976	491	"2,276"	"2,492"	789	"2,327"	"1,708"	"1,378"	869	"1,051"	631	506	641	"1,752"	"1,304"	"1,605"	684	536	953	817	"10,747"	"8,130"	"7,682"	"7,910"	"4,400"	"2,966"	957	990	890	216	204	538	383	"1,529"	241	284	"1,635"	476	292	347	425	328	"1,660"	537	606	"90,016"
19	"1,829"	"3,135"	"2,222"	"1,958"	"6,093"	"2,130"	"2,127"	576	574	524	"1,591"	"1,859"	"1,990"	"1,445"	"1,596"	820	"1,147"	"1,284"	"1,933"	"2,098"	"2,139"	"1,128"	862	"1,972"	"1,019"	"14,346"	"10,006"	"9,505"	"9,573"	"5,392"	"3,838"	"1,592"	"1,314"	"1,472"	370	407	"1,073"	498	"1,067"	427	591	"1,537"	802	536	358	799	263	"1,308"	868	"1,121"	"113,114"
12	"2,156"	"4,651"	"2,406"	"1,889"	"6,050"	"2,048"	"2,323"	606	734	292	"1,659"	"1,901"	"2,704"	"2,071"	"1,992"	"1,301"	"1,571"	"1,724"	"2,317"	"2,755"	"2,341"	"1,276"	937	"1,913"	"1,137"	"13,473"	"8,688"	"10,653"	"8,940"	"4,216"	"3,320"	"1,708"	"1,783"	"2,050"	751	492	"1,694"	771	"1,778"	728	770	"2,199"	889	678	388	572	466	"1,706"	789	"1,035"	"121,291"
