Exit stations,Entry stations->,,SUNDAY,,,May 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	51 , 	92 , 	48 , 	36 , 	129 , 	60 , 	90 , 	51 , 	92 , 	66 , 	97 , 	5 , 	74 , 	116 , 	91 , 	54 , 	41 , 	115 , 	44 , 	47 , 	42 , 	26 , 	17 , 	31 , 	47 , 	197 , 	122 , 	396 , 	172 , 	77 , 	71 , 	21 , 	20 , 	21 , 	6 , 	47 , 	210 , 	19 , 	67 , 	6 , 	9 , 	46 , 	15 ," 	3,086 ",,,CM line," 	12,849 "," 	1,548 "," 	5,493 "," 	1,533 "," 	1,079 "," 	1,723 "," 	2,080 "," 	26,306 "
SL, 	17 , 	25 , 	11 , 	16 , 	48 , 	23 , 	32 , 	30 , 	62 , 	71 , 	107 , 	82 , 	7 , 	65 , 	70 , 	25 , 	21 , 	36 , 	9 , 	7 , 	7 , 	1 , 	4 , 	8 , 	21 , 	126 , 	78 , 	254 , 	103 , 	54 , 	45 , 	14 , 	16 , 	18 , 	4 , 	26 , 	37 , 	2 , 	14 , 	5 , 	5 , 	26 , 	8 ," 	1,640 ",,,RM line," 	5,006 "," 	1,553 "," 	1,544 "," 	2,518 ", 	558 ," 	1,871 ", 	641 ," 	13,691 "
BF, 	25 , 	33 , 	7 , 	13 , 	44 , 	26 , 	50 , 	41 , 	69 , 	74 , 	167 , 	139 , 	67 , 	8 , 	104 , 	69 , 	65 , 	99 , 	11 , 	3 , 	8 , 	3 , 	1 , 	10 , 	20 , 	115 , 	82 , 	240 , 	111 , 	44 , 	40 , 	14 , 	19 , 	23 , 	7 , 	40 , 	110 , 	3 , 	23 , 	5 , 	4 , 	20 , 	8 ," 	2,062 ",,,WP line," 	5,424 ", 	699 ," 	1,086 ", 	590 ," 	2,078 ", 	910 , 	785 ," 	11,571 "
HY, 	17 , 	27 , 	6 , 	11 , 	32 , 	19 , 	38 , 	27 , 	43 , 	32 , 	106 , 	91 , 	61 , 	104 , 	7 , 	60 , 	64 , 	107 , 	11 , 	5 , 	6 , 	1 , 	3 , 	7 , 	12 , 	55 , 	33 , 	113 , 	57 , 	30 , 	24 , 	8 , 	11 , 	11 , 	4 , 	11 , 	28 , 	3 , 	22 , 	6 , 	3 , 	12 , 	4 ," 	1,331 ",,,FT/ED line," 	6,739 "," 	1,851 "," 	1,637 "," 	1,739 ", 	806 ," 	5,808 ", 	572 ," 	19,152 "
SH, 	8 , 	13 , 	6 , 	5 , 	21 , 	10 , 	14 , 	15 , 	21 , 	20 , 	39 , 	45 , 	25 , 	83 , 	54 , 	6 , 	33 , 	54 , 	5 , 	4 , 	5 , 	1 , 	2 , 	4 , 	4 , 	61 , 	30 , 	113 , 	48 , 	25 , 	25 , 	6 , 	11 , 	11 , 	3 , 	10 , 	20 , 	0 , 	15 , 	2 , 	2 , 	10 , 	2 , 	892 ,,,SFIA," 	4,545 ", 	296 ," 	1,711 ", 	456 , 	567 , 	410 , 	846 ," 	8,832 "
UC, 	8 , 	15 , 	8 , 	7 , 	35 , 	13 , 	18 , 	12 , 	32 , 	31 , 	34 , 	54 , 	19 , 	53 , 	68 , 	31 , 	6 , 	57 , 	4 , 	4 , 	4 , 	3 , 	1 , 	7 , 	11 , 	83 , 	43 , 	150 , 	64 , 	21 , 	20 , 	12 , 	12 , 	14 , 	7 , 	5 , 	29 , 	3 , 	11 , 	3 , 	3 , 	22 , 	3 ," 	1,040 ",,,Entries," 	41,279 "," 	11,560 "," 	26,179 "," 	13,129 "," 	10,998 "," 	19,033 "," 	9,562 "," 	131,740 "
FM, 	16 , 	45 , 	17 , 	22 , 	133 , 	28 , 	40 , 	27 , 	53 , 	50 , 	70 , 	120 , 	35 , 	103 , 	114 , 	59 , 	63 , 	22 , 	17 , 	9 , 	14 , 	5 , 	3 , 	10 , 	8 , 	195 , 	106 , 	309 , 	159 , 	58 , 	42 , 	17 , 	18 , 	26 , 	5 , 	14 , 	41 , 	5 , 	20 , 	3 , 	5 , 	50 , 	3 ," 	2,156 ",,,,,,,,,,,
CN, 	12 , 	15 , 	8 , 	8 , 	31 , 	13 , 	30 , 	21 , 	35 , 	9 , 	21 , 	52 , 	10 , 	11 , 	10 , 	8 , 	5 , 	15 , 	9 , 	40 , 	163 , 	53 , 	21 , 	41 , 	7 , 	149 , 	71 , 	187 , 	111 , 	41 , 	36 , 	19 , 	17 , 	21 , 	7 , 	2 , 	5 , 	15 , 	130 , 	7 , 	7 , 	62 , 	11 ," 	1,546 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	5 , 	9 , 	10 , 	11 , 	35 , 	9 , 	22 , 	15 , 	23 , 	4 , 	10 , 	60 , 	4 , 	4 , 	4 , 	5 , 	4 , 	11 , 	40 , 	8 , 	61 , 	18 , 	12 , 	41 , 	1 , 	228 , 	100 , 	237 , 	161 , 	32 , 	28 , 	17 , 	13 , 	22 , 	4 , 	2 , 	3 , 	6 , 	35 , 	6 , 	6 , 	109 , 	10 ," 	1,443 ",,,Dtwn SF," 	1,819 ",,,,,,,
WC, 	5 , 	13 , 	12 , 	18 , 	55 , 	19 , 	34 , 	20 , 	37 , 	11 , 	12 , 	58 , 	7 , 	10 , 	5 , 	5 , 	6 , 	15 , 	170 , 	65 , 	7 , 	39 , 	23 , 	70 , 	7 , 	310 , 	155 , 	332 , 	241 , 	41 , 	25 , 	19 , 	11 , 	28 , 	7 , 	3 , 	6 , 	16 , 	60 , 	5 , 	5 , 	130 , 	12 ," 	2,128 ",,,OAK," 	9,924 ", 	586 ,,,,,,
