Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Oct 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	66 , 	141 , 	64 , 	65 , 	181 , 	81 , 	139 , 	84 , 	147 , 	100 , 	167 , 	16 , 	125 , 	181 , 	137 , 	88 , 	93 , 	209 , 	71 , 	60 , 	64 , 	43 , 	39 , 	54 , 	67 , 	254 , 	182 , 	460 , 	268 , 	84 , 	118 , 	52 , 	44 , 	50 , 	15 , 	72 , 	345 , 	20 , 	92 , 	14 , 	10 , 	34 , 	21 ," 	4,620 ",,,CM line," 	14,652 "," 	1,324 "," 	4,987 "," 	1,734 "," 	1,039 "," 	1,617 "," 	1,115 "," 	25,353 "
SL, 	24 , 	35 , 	14 , 	14 , 	128 , 	24 , 	39 , 	45 , 	123 , 	91 , 	167 , 	125 , 	7 , 	102 , 	87 , 	37 , 	43 , 	56 , 	12 , 	8 , 	9 , 	3 , 	4 , 	11 , 	24 , 	129 , 	126 , 	328 , 	139 , 	34 , 	44 , 	14 , 	23 , 	23 , 	6 , 	23 , 	42 , 	3 , 	17 , 	5 , 	2 , 	19 , 	8 ," 	2,219 ",,,RM line," 	6,558 "," 	2,327 "," 	1,771 "," 	5,272 "," 	1,163 "," 	3,015 ", 	425 ," 	20,106 "
BF, 	16 , 	32 , 	14 , 	22 , 	141 , 	34 , 	58 , 	50 , 	125 , 	111 , 	253 , 	181 , 	108 , 	7 , 	118 , 	98 , 	84 , 	124 , 	15 , 	9 , 	9 , 	5 , 	4 , 	10 , 	34 , 	117 , 	113 , 	268 , 	107 , 	26 , 	46 , 	14 , 	26 , 	23 , 	7 , 	48 , 	138 , 	2 , 	16 , 	4 , 	7 , 	8 , 	5 ," 	2,636 ",,,WP line," 	5,502 ", 	920 ," 	1,049 "," 	1,176 "," 	3,396 "," 	1,078 ", 	497 ," 	13,121 "
HY, 	26 , 	33 , 	11 , 	9 , 	104 , 	30 , 	51 , 	42 , 	75 , 	50 , 	156 , 	124 , 	95 , 	133 , 	9 , 	91 , 	108 , 	142 , 	14 , 	9 , 	8 , 	2 , 	3 , 	9 , 	23 , 	67 , 	68 , 	169 , 	79 , 	23 , 	35 , 	11 , 	23 , 	19 , 	6 , 	22 , 	50 , 	3 , 	17 , 	3 , 	4 , 	6 , 	3 ," 	1,964 ",,,FT/ED line," 	7,759 "," 	2,672 "," 	1,690 "," 	3,072 "," 	1,090 "," 	8,582 ", 	353 ," 	24,865 "
SH, 	12 , 	12 , 	5 , 	7 , 	48 , 	13 , 	23 , 	23 , 	42 , 	22 , 	66 , 	78 , 	40 , 	95 , 	83 , 	4 , 	45 , 	86 , 	9 , 	3 , 	6 , 	2 , 	0 , 	4 , 	9 , 	59 , 	41 , 	137 , 	50 , 	18 , 	20 , 	5 , 	13 , 	15 , 	8 , 	10 , 	27 , 	2 , 	9 , 	3 , 	2 , 	6 , 	4 ," 	1,166 ",,,SFIA," 	2,643 ", 	217 ," 	1,111 ", 	416 , 	415 , 	317 , 	478 ," 	5,119 "
UC, 	14 , 	21 , 	10 , 	8 , 	133 , 	16 , 	24 , 	26 , 	65 , 	37 , 	64 , 	90 , 	50 , 	87 , 	106 , 	54 , 	12 , 	108 , 	9 , 	7 , 	7 , 	3 , 	3 , 	7 , 	7 , 	104 , 	80 , 	220 , 	81 , 	16 , 	19 , 	8 , 	15 , 	20 , 	6 , 	8 , 	31 , 	2 , 	10 , 	3 , 	3 , 	11 , 	3 ," 	1,607 ",,,Entries," 	44,309 "," 	13,731 "," 	27,214 "," 	20,634 "," 	13,881 "," 	25,418 "," 	6,184 "," 	145,186 "
FM, 	19 , 	47 , 	26 , 	21 , 	382 , 	34 , 	40 , 	41 , 	111 , 	58 , 	92 , 	208 , 	64 , 	132 , 	151 , 	87 , 	124 , 	19 , 	19 , 	17 , 	13 , 	3 , 	7 , 	18 , 	19 , 	209 , 	178 , 	423 , 	185 , 	36 , 	31 , 	14 , 	23 , 	33 , 	6 , 	14 , 	43 , 	5 , 	23 , 	5 , 	3 , 	25 , 	5 ," 	3,014 ",,,,,,,,,,,
CN, 	17 , 	27 , 	14 , 	10 , 	76 , 	16 , 	44 , 	31 , 	53 , 	11 , 	34 , 	62 , 	13 , 	21 , 	17 , 	6 , 	12 , 	17 , 	15 , 	61 , 	277 , 	78 , 	33 , 	36 , 	7 , 	142 , 	92 , 	250 , 	117 , 	31 , 	51 , 	14 , 	24 , 	25 , 	12 , 	4 , 	13 , 	36 , 	229 , 	10 , 	4 , 	33 , 	16 ," 	2,092 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	12 , 	10 , 	9 , 	133 , 	12 , 	24 , 	16 , 	49 , 	8 , 	19 , 	55 , 	8 , 	10 , 	7 , 	6 , 	5 , 	10 , 	70 , 	11 , 	76 , 	29 , 	13 , 	72 , 	3 , 	212 , 	132 , 	320 , 	131 , 	25 , 	19 , 	13 , 	14 , 	28 , 	7 , 	3 , 	5 , 	14 , 	42 , 	3 , 	3 , 	56 , 	14 ," 	1,718 ",,,Dtwn SF," 	1,851 ",,,,,,,
WC, 	12 , 	20 , 	12 , 	9 , 	172 , 	17 , 	30 , 	29 , 	71 , 	11 , 	27 , 	56 , 	10 , 	8 , 	9 , 	6 , 	5 , 	10 , 	344 , 	82 , 	10 , 	47 , 	32 , 	102 , 	11 , 	228 , 	147 , 	383 , 	184 , 	29 , 	23 , 	20 , 	20 , 	26 , 	11 , 	6 , 	6 , 	36 , 	92 , 	5 , 	7 , 	60 , 	21 ," 	2,445 ",,,OAK," 	10,901 ", 	715 ,,,,,,
