Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Oct 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	78 , 	153 , 	63 , 	74 , 	288 , 	119 , 	190 , 	190 , 	376 , 	184 , 	225 , 	13 , 	133 , 	176 , 	200 , 	106 , 	104 , 	169 , 	69 , 	83 , 	71 , 	46 , 	43 , 	69 , 	115 , 	536 , 	493 , 	560 , 	442 , 	122 , 	128 , 	61 , 	68 , 	98 , 	16 , 	57 , 	265 , 	19 , 	83 , 	24 , 	17 , 	40 , 	21 ," 	6,388 ",,,CM line,"29,788","3,035","8,327","2,744","1,992","2,866","1,884","48,751"
SL, 	52 , 	58 , 	24 , 	27 , 	155 , 	43 , 	108 , 	204 , 	391 , 	243 , 	290 , 	138 , 	8 , 	95 , 	194 , 	81 , 	81 , 	125 , 	35 , 	28 , 	24 , 	7 , 	9 , 	20 , 	41 , 	522 , 	609 , 	407 , 	363 , 	68 , 	75 , 	22 , 	56 , 	92 , 	11 , 	40 , 	101 , 	6 , 	31 , 	10 , 	13 , 	23 , 	8 ," 	4,937 ",,,RM line,"11,646","5,582","2,925","7,366","1,458","3,884",610,"32,860"
BF, 	29 , 	37 , 	16 , 	20 , 	140 , 	36 , 	100 , 	175 , 	336 , 	219 , 	280 , 	180 , 	100 , 	7 , 	160 , 	123 , 	142 , 	229 , 	29 , 	17 , 	15 , 	5 , 	4 , 	17 , 	43 , 	470 , 	538 , 	354 , 	289 , 	58 , 	59 , 	20 , 	30 , 	78 , 	10 , 	53 , 	286 , 	7 , 	19 , 	9 , 	7 , 	16 , 	6 ," 	4,766 ",,,WP line,"17,341","4,211","2,069","1,474","6,321","1,678",806,"33,094"
HY, 	43 , 	66 , 	35 , 	27 , 	149 , 	56 , 	106 , 	183 , 	303 , 	164 , 	304 , 	199 , 	204 , 	170 , 	8 , 	145 , 	216 , 	363 , 	31 , 	32 , 	22 , 	7 , 	7 , 	16 , 	41 , 	374 , 	342 , 	264 , 	233 , 	56 , 	48 , 	21 , 	31 , 	53 , 	10 , 	20 , 	98 , 	14 , 	41 , 	8 , 	8 , 	12 , 	6 ," 	4,536 ",,,FT/ED line,"18,971","7,777","2,953","3,995","1,709","12,718",595,"48,124"
SH, 	25 , 	26 , 	10 , 	10 , 	103 , 	23 , 	58 , 	138 , 	213 , 	94 , 	111 , 	97 , 	78 , 	122 , 	150 , 	6 , 	79 , 	170 , 	17 , 	13 , 	15 , 	3 , 	3 , 	7 , 	14 , 	273 , 	276 , 	212 , 	200 , 	41 , 	43 , 	9 , 	17 , 	42 , 	5 , 	12 , 	58 , 	4 , 	15 , 	3 , 	3 , 	8 , 	4 ," 	2,812 ",,,SFIA,"5,728",678,"1,942",616,812,575,789,"10,350"
UC, 	18 , 	43 , 	14 , 	10 , 	176 , 	25 , 	72 , 	176 , 	235 , 	110 , 	116 , 	109 , 	85 , 	138 , 	219 , 	89 , 	12 , 	191 , 	22 , 	22 , 	20 , 	2 , 	6 , 	12 , 	22 , 	516 , 	532 , 	269 , 	255 , 	34 , 	31 , 	14 , 	23 , 	57 , 	8 , 	12 , 	53 , 	5 , 	19 , 	6 , 	3 , 	17 , 	3 ," 	3,799 ",,,Entries,"100,395","35,994","52,254","32,515","33,786","49,269","11,540","304,213"
FM, 	41 , 	79 , 	38 , 	30 , 	349 , 	56 , 	122 , 	339 , 	389 , 	168 , 	138 , 	163 , 	122 , 	236 , 	369 , 	173 , 	185 , 	19 , 	35 , 	33 , 	23 , 	7 , 	8 , 	20 , 	20 , 	861 , 	822 , 	452 , 	407 , 	54 , 	42 , 	17 , 	34 , 	66 , 	8 , 	21 , 	82 , 	11 , 	30 , 	10 , 	6 , 	37 , 	9 ," 	6,131 ",,,,,,,,,,,
CN, 	33 , 	44 , 	31 , 	20 , 	116 , 	30 , 	112 , 	234 , 	315 , 	22 , 	56 , 	71 , 	36 , 	29 , 	33 , 	19 , 	24 , 	37 , 	12 , 	146 , 	474 , 	124 , 	68 , 	112 , 	14 , 	672 , 	671 , 	356 , 	360 , 	62 , 	70 , 	34 , 	43 , 	102 , 	20 , 	8 , 	17 , 	75 , 	493 , 	21 , 	14 , 	50 , 	21 ," 	5,295 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	25 , 	28 , 	21 , 	15 , 	164 , 	22 , 	96 , 	297 , 	383 , 	25 , 	42 , 	82 , 	27 , 	17 , 	32 , 	15 , 	19 , 	34 , 	139 , 	9 , 	139 , 	59 , 	41 , 	118 , 	10 ," 	1,295 "," 	1,240 ", 	491 , 	458 , 	62 , 	61 , 	37 , 	43 , 	118 , 	28 , 	4 , 	7 , 	43 , 	163 , 	30 , 	18 , 	73 , 	26 ," 	6,055 ",,,Dtwn SF,"4,085",,,,,,,
WC, 	25 , 	44 , 	26 , 	20 , 	138 , 	25 , 	102 , 	200 , 	307 , 	19 , 	44 , 	72 , 	23 , 	15 , 	21 , 	16 , 	21 , 	25 , 	534 , 	139 , 	11 , 	75 , 	62 , 	150 , 	15 ," 	1,021 ", 	902 , 	425 , 	345 , 	53 , 	61 , 	32 , 	35 , 	90 , 	16 , 	5 , 	6 , 	90 , 	237 , 	25 , 	17 , 	81 , 	25 ," 	5,595 ",,,OAK,"25,927","1,620",,,,,,
