Fast Pass OD,,,,,,Dec 09,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,71,51,218,185,554,965,743,"1,139","3,926"
MT,51,54,130,170,695,"1,240","1,031","2,094","5,466"
PL,318,189,83,173,783,"1,119",711,"1,936","5,312"
CC,144,153,175,49,485,669,477,"1,158","3,309"
16,503,568,961,516,26,238,232,658,"3,702"
24,736,921,"1,362",686,226,33,180,579,"4,723"
GP,638,762,924,414,216,189,21,138,"3,301"
BP,961,"1,141","2,768","1,048",603,604,140,43,"7,307"
Entries,"3,422","3,840","6,621","3,241","3,587","5,057","3,533","7,745","37,046"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,30,12,69,42,200,258,139,306,"1,056"
MT,10,23,31,36,251,337,288,962,"1,936"
PL,83,27,95,75,686,992,625,"1,549","4,132"
CC,32,21,78,44,331,404,173,423,"1,505"
16,193,151,805,356,36,164,170,371,"2,246"
24,199,209,"1,100",403,156,37,145,356,"2,605"
GP,115,133,751,156,129,128,19,71,"1,501"
BP,260,289,"2,043",390,326,340,77,39,"3,762"
Entries,921,864,"4,970","1,500","2,115","2,659","1,637","4,076","18,741"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,38,5,41,29,141,168,75,186,683
MT,6,23,23,25,165,217,164,625,"1,247"
PL,42,12,119,51,512,728,422,"1,077","2,962"
CC,25,14,64,56,266,297,135,354,"1,209"
16,144,95,625,288,38,122,107,264,"1,682"
24,157,127,837,326,102,41,96,238,"1,922"
GP,78,80,561,138,96,82,21,44,"1,101"
BP,195,181,"1,590",303,232,223,51,32,"2,807"
Entries,684,537,"3,859","1,214","1,552","1,876","1,071","2,820","13,612"
