Exit stations,Entry stations->,,SUNDAY,,,Apr 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	78 , 	176 , 	101 , 	94 , 	207 , 	110 , 	145 , 	126 , 	160 , 	163 , 	235 , 	17 , 	211 , 	246 , 	181 , 	89 , 	150 , 	447 , 	76 , 	90 , 	106 , 	67 , 	51 , 	74 , 	96 , 	304 , 	196 , 	526 , 	291 , 	112 , 	109 , 	73 , 	67 , 	120 , 	15 , 	138 , 	455 , 	31 , 	92 , 	24 , 	29 , 	41 , 	34 , 	188 ," 	6,338 ",,,CM line," 	11,504 "," 	2,033 "," 	4,360 "," 	1,675 "," 	1,144 "," 	1,833 "," 	2,194 "," 	24,743 "
SL, 	23 , 	24 , 	13 , 	18 , 	56 , 	29 , 	37 , 	45 , 	61 , 	102 , 	98 , 	225 , 	11 , 	79 , 	80 , 	28 , 	30 , 	44 , 	11 , 	7 , 	8 , 	4 , 	3 , 	15 , 	25 , 	161 , 	107 , 	291 , 	127 , 	35 , 	35 , 	13 , 	18 , 	30 , 	4 , 	23 , 	26 , 	2 , 	18 , 	5 , 	6 , 	24 , 	5 , 	29 ," 	2,030 ",,,RM line," 	5,492 "," 	2,004 "," 	1,704 "," 	3,008 ", 	629 ," 	2,393 ", 	764 ," 	15,994 "
BF, 	18 , 	27 , 	9 , 	13 , 	62 , 	33 , 	40 , 	45 , 	72 , 	97 , 	163 , 	258 , 	79 , 	9 , 	107 , 	56 , 	66 , 	103 , 	15 , 	7 , 	7 , 	2 , 	4 , 	8 , 	24 , 	147 , 	113 , 	278 , 	131 , 	37 , 	34 , 	13 , 	28 , 	29 , 	9 , 	36 , 	83 , 	3 , 	26 , 	7 , 	9 , 	18 , 	6 , 	68 ," 	2,395 ",,,WP line," 	5,243 ", 	979 ," 	1,167 ", 	677 ," 	2,274 "," 	1,209 ", 	917 ," 	12,466 "
HY, 	21 , 	26 , 	12 , 	17 , 	60 , 	28 , 	37 , 	42 , 	53 , 	42 , 	102 , 	192 , 	73 , 	124 , 	9 , 	52 , 	71 , 	103 , 	13 , 	5 , 	11 , 	4 , 	2 , 	6 , 	19 , 	86 , 	60 , 	149 , 	110 , 	23 , 	18 , 	15 , 	18 , 	13 , 	4 , 	15 , 	34 , 	4 , 	23 , 	2 , 	5 , 	16 , 	8 , 	28 ," 	1,750 ",,,FT/ED line," 	7,713 "," 	2,429 "," 	1,792 "," 	2,287 "," 	1,170 "," 	8,467 ", 	578 ," 	24,435 "
SH, 	9 , 	12 , 	4 , 	5 , 	25 , 	16 , 	12 , 	13 , 	24 , 	25 , 	53 , 	85 , 	34 , 	59 , 	54 , 	4 , 	24 , 	67 , 	3 , 	3 , 	4 , 	2 , 	1 , 	4 , 	8 , 	55 , 	37 , 	120 , 	50 , 	19 , 	17 , 	5 , 	13 , 	12 , 	3 , 	12 , 	17 , 	2 , 	13 , 	3 , 	4 , 	9 , 	4 , 	14 , 	954 ,,,SFIA," 	4,195 ", 	414 ," 	1,716 ", 	530 , 	682 , 	438 , 	944 ," 	8,919 "
UC, 	7 , 	17 , 	9 , 	9 , 	40 , 	14 , 	17 , 	14 , 	30 , 	34 , 	42 , 	155 , 	29 , 	66 , 	63 , 	26 , 	9 , 	72 , 	9 , 	6 , 	4 , 	1 , 	1 , 	6 , 	4 , 	118 , 	62 , 	160 , 	78 , 	24 , 	12 , 	9 , 	12 , 	13 , 	2 , 	12 , 	20 , 	2 , 	12 , 	3 , 	2 , 	19 , 	4 , 	10 ," 	1,253 ",,,Entries," 	41,639 "," 	14,849 "," 	23,570 "," 	15,343 "," 	11,758 "," 	24,362 "," 	10,266 "," 	141,786 "
FM, 	20 , 	42 , 	28 , 	28 , 	162 , 	33 , 	37 , 	43 , 	59 , 	54 , 	69 , 	460 , 	47 , 	101 , 	102 , 	67 , 	74 , 	26 , 	17 , 	14 , 	15 , 	5 , 	4 , 	19 , 	10 , 	240 , 	132 , 	322 , 	151 , 	55 , 	25 , 	11 , 	26 , 	30 , 	5 , 	16 , 	44 , 	4 , 	28 , 	4 , 	5 , 	46 , 	6 , 	19 ," 	2,699 ",,,,,,,,,,,
CN, 	11 , 	17 , 	10 , 	9 , 	36 , 	13 , 	38 , 	40 , 	46 , 	9 , 	20 , 	77 , 	11 , 	14 , 	12 , 	3 , 	10 , 	17 , 	8 , 	47 , 	142 , 	46 , 	27 , 	36 , 	9 , 	186 , 	89 , 	214 , 	137 , 	37 , 	39 , 	23 , 	24 , 	30 , 	11 , 	4 , 	8 , 	21 , 	165 , 	11 , 	11 , 	67 , 	11 , 	4 ," 	1,799 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	4 , 	7 , 	6 , 	7 , 	45 , 	10 , 	33 , 	32 , 	30 , 	8 , 	11 , 	100 , 	8 , 	6 , 	6 , 	2 , 	5 , 	15 , 	37 , 	9 , 	75 , 	21 , 	19 , 	39 , 	5 , 	211 , 	122 , 	218 , 	128 , 	31 , 	32 , 	18 , 	15 , 	23 , 	8 , 	3 , 	4 , 	10 , 	41 , 	5 , 	8 , 	130 , 	11 , 	1 ," 	1,552 ",,,Dtwn SF," 	1,391 ",,,,,,,
WC, 	12 , 	22 , 	15 , 	19 , 	60 , 	13 , 	42 , 	39 , 	44 , 	10 , 	20 , 	117 , 	7 , 	10 , 	7 , 	2 , 	2 , 	15 , 	140 , 	68 , 	10 , 	32 , 	16 , 	74 , 	11 , 	278 , 	150 , 	294 , 	192 , 	52 , 	31 , 	22 , 	16 , 	26 , 	8 , 	2 , 	5 , 	14 , 	83 , 	7 , 	7 , 	138 , 	18 , 	3 ," 	2,151 ",,,OAK," 	12,282 ", 	809 ,,,,,,
LF, 	7 , 	5 , 	4 , 	6 , 	36 , 	8 , 	19 , 	20 , 	19 , 	6 , 	6 , 	63 , 	2 , 	3 , 	3 , 	1 , 	2 , 	6 , 	45 , 	21 , 	33 , 	10 , 	9 , 	44 , 	3 , 	174 , 	98 , 	166 , 	111 , 	27 , 	20 , 	9 , 	5 , 	10 , 	2 , 	1 , 	1 , 	6 , 	21 , 	1 , 	3 , 	83 , 	9 , 	1 ," 	1,126 ",,,CM line," 	22,340 "," 	4,029 "," 	4,360 ",,,,,
OR, 	4 , 	5 , 	7 , 	3 , 	31 , 	4 , 	19 , 	18 , 	18 , 	5 , 	10 , 	52 , 	4 , 	4 , 	2 , 	1 , 	2 , 	5 , 	25 , 	17 , 	14 , 	5 , 	6 , 	36 , 	5 , 	138 , 	74 , 	135 , 	75 , 	26 , 	14 , 	11 , 	5 , 	13 , 	4 , 	3 , 	2 , 	2 , 	13 , 	1 , 	2 , 	68 , 	7 , 	1 , 	888 ,,,RM line," 	10,782 "," 	3,882 "," 	3,379 "," 	3,008 ",,,,
RR, 	11 , 	10 , 	19 , 	18 , 	30 , 	10 , 	39 , 	72 , 	54 , 	15 , 	29 , 	99 , 	9 , 	10 , 	5 , 	5 , 	6 , 	15 , 	34 , 	48 , 	73 , 	47 , 	39 , 	14 , 	21 , 	286 , 	166 , 	353 , 	297 , 	150 , 	92 , 	27 , 	22 , 	21 , 	3 , 	4 , 	7 , 	9 , 	19 , 	5 , 	4 , 	132 , 	29 , 	4 ," 	2,356 ",,,WP line," 	10,229 "," 	1,853 "," 	2,311 "," 	1,306 "," 	2,274 ",,,
OW, 	17 , 	16 , 	11 , 	10 , 	58 , 	30 , 	38 , 	35 , 	47 , 	24 , 	69 , 	97 , 	27 , 	20 , 	18 , 	10 , 	5 , 	12 , 	9 , 	6 , 	9 , 	3 , 	3 , 	19 , 	11 , 	384 , 	246 , 	600 , 	336 , 	210 , 	117 , 	24 , 	34 , 	23 , 	8 , 	6 , 	16 , 	2 , 	33 , 	5 , 	11 , 	56 , 	10 , 	6 ," 	2,725 ",,,FT/ED line," 	15,287 "," 	4,875 "," 	3,625 "," 	4,680 "," 	2,379 "," 	8,467 ",,
EM, 	104 , 	251 , 	150 , 	239 , 	513 , 	221 , 	312 , 	295 , 	307 , 	257 , 	307 , 	392 , 	175 , 	166 , 	98 , 	61 , 	130 , 	256 , 	213 , 	255 , 	330 , 	207 , 	162 , 	306 , 	443 , 	67 , 	20 , 	183 , 	109 , 	286 , 	412 , 	232 , 	348 , 	220 , 	89 , 	131 , 	605 , 	100 , 	192 , 	58 , 	69 , 	384 , 	145 , 	163 ," 	9,957 ",,,SFIA," 	8,543 ", 	935 ," 	3,910 "," 	1,294 "," 	1,599 "," 	1,017 ", 	944 ," 	141,786 "
