Exit stations,Entry stations->,,SATURDAY,,,Aug 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	9 , 	61 , 	65 , 	41 , 	234 , 	62 , 	68 , 	47 , 	70 , 	19 , 	69 , 	81 , 	27 , 	17 , 	19 , 	9 , 	9 , 	21 , 	15 , 	4 , 	11 , 	4 , 	5 , 	10 , 	21 , 	163 , 	143 , 	305 , 	125 , 	105 , 	116 , 	29 , 	19 , 	15 , 	6 , 	4 , 	9 , 	2 , 	26 , 	5 , 	9 , 	29 , 	9 , 	4 , 	8 , 	-   ," 	2,126 ",,,,,,,,,,
EN, 	70 , 	17 , 	73 , 	52 , 	412 , 	87 , 	102 , 	94 , 	175 , 	42 , 	103 , 	259 , 	38 , 	33 , 	32 , 	14 , 	20 , 	56 , 	22 , 	14 , 	21 , 	9 , 	9 , 	25 , 	29 , 	368 , 	303 , 	638 , 	233 , 	126 , 	124 , 	53 , 	24 , 	19 , 	13 , 	6 , 	11 , 	2 , 	23 , 	7 , 	17 , 	76 , 	21 , 	6 , 	34 , 	-   ," 	3,907 ",,,,,,,,,,
EP, 	79 , 	69 , 	14 , 	40 , 	410 , 	67 , 	61 , 	75 , 	123 , 	23 , 	49 , 	107 , 	19 , 	15 , 	11 , 	6 , 	7 , 	32 , 	11 , 	10 , 	15 , 	10 , 	9 , 	18 , 	12 , 	240 , 	186 , 	325 , 	154 , 	71 , 	53 , 	29 , 	8 , 	10 , 	5 , 	6 , 	9 , 	3 , 	7 , 	3 , 	5 , 	51 , 	9 , 	6 , 	23 , 	-   ," 	2,489 ",,,,,,,,,,
NB, 	40 , 	58 , 	40 , 	17 , 	115 , 	44 , 	54 , 	78 , 	77 , 	27 , 	50 , 	97 , 	27 , 	17 , 	11 , 	6 , 	9 , 	23 , 	10 , 	6 , 	18 , 	7 , 	6 , 	11 , 	14 , 	335 , 	227 , 	325 , 	232 , 	131 , 	100 , 	39 , 	9 , 	8 , 	4 , 	5 , 	10 , 	3 , 	8 , 	3 , 	1 , 	74 , 	17 , 	3 , 	32 , 	-   ," 	2,420 ",,,,,,,,,,
BK, 	254 , 	436 , 	390 , 	141 , 	59 , 	227 , 	226 , 	273 , 	283 , 	108 , 	180 , 	150 , 	93 , 	73 , 	60 , 	35 , 	54 , 	193 , 	36 , 	58 , 	71 , 	45 , 	31 , 	35 , 	72 , 	792 , 	496 ," 	1,062 ", 	626 , 	364 , 	262 , 	121 , 	25 , 	53 , 	8 , 	26 , 	79 , 	11 , 	43 , 	12 , 	21 , 	181 , 	91 , 	29 , 	91 , 	-   ," 	7,972 ",,,,,,,,,,
AS, 	62 , 	91 , 	62 , 	45 , 	180 , 	20 , 	60 , 	110 , 	117 , 	39 , 	67 , 	91 , 	31 , 	32 , 	18 , 	10 , 	10 , 	33 , 	18 , 	8 , 	17 , 	8 , 	6 , 	11 , 	30 , 	277 , 	181 , 	306 , 	229 , 	174 , 	126 , 	35 , 	10 , 	13 , 	3 , 	6 , 	11 , 	4 , 	17 , 	2 , 	4 , 	52 , 	9 , 	5 , 	21 , 	-   ," 	2,657 ",,,,,,,,,,
MA, 	84 , 	112 , 	58 , 	49 , 	221 , 	69 , 	22 , 	76 , 	131 , 	32 , 	105 , 	177 , 	50 , 	48 , 	39 , 	16 , 	20 , 	49 , 	47 , 	37 , 	55 , 	26 , 	18 , 	39 , 	39 , 	467 , 	296 , 	577 , 	423 , 	279 , 	197 , 	61 , 	14 , 	11 , 	5 , 	10 , 	17 , 	8 , 	78 , 	7 , 	9 , 	86 , 	21 , 	9 , 	27 , 	-   ," 	4,217 ",,,,,,,,,,
19, 	43 , 	96 , 	68 , 	91 , 	258 , 	109 , 	77 , 	30 , 	23 , 	18 , 	93 , 	148 , 	65 , 	52 , 	48 , 	19 , 	22 , 	53 , 	44 , 	38 , 	64 , 	43 , 	31 , 	72 , 	51 , 	396 , 	287 , 	517 , 	435 , 	289 , 	203 , 	77 , 	25 , 	20 , 	6 , 	12 , 	25 , 	11 , 	42 , 	8 , 	10 , 	55 , 	22 , 	10 , 	16 , 	-   ," 	4,118 ",,,,,,,,,,
12, 	82 , 	173 , 	138 , 	81 , 	248 , 	132 , 	111 , 	21 , 	32 , 	20 , 	122 , 	239 , 	112 , 	123 , 	83 , 	41 , 	55 , 	120 , 	73 , 	64 , 	76 , 	46 , 	34 , 	106 , 	85 , 	485 , 	326 , 	647 , 	391 , 	198 , 	163 , 	94 , 	27 , 	28 , 	13 , 	21 , 	45 , 	23 , 	78 , 	15 , 	18 , 	75 , 	37 , 	15 , 	26 , 	-   ," 	5,135 ",,,,,,,,,,
LM, 	17 , 	47 , 	22 , 	23 , 	110 , 	38 , 	37 , 	14 , 	15 , 	20 , 	111 , 	282 , 	148 , 	160 , 	54 , 	32 , 	46 , 	92 , 	8 , 	16 , 	18 , 	4 , 	5 , 	17 , 	26 , 	338 , 	284 , 	592 , 	326 , 	185 , 	152 , 	55 , 	17 , 	19 , 	4 , 	66 , 	99 , 	3 , 	17 , 	2 , 	5 , 	30 , 	11 , 	39 , 	19 , 	-   ," 	3,620 ",,,,,,,,,,
FV, 	63 , 	102 , 	47 , 	46 , 	179 , 	72 , 	100 , 	101 , 	136 , 	86 , 	31 , 	346 , 	137 , 	211 , 	108 , 	49 , 	39 , 	93 , 	35 , 	20 , 	26 , 	16 , 	13 , 	34 , 	89 , 	405 , 	310 , 	700 , 	370 , 	205 , 	209 , 	60 , 	24 , 	23 , 	4 , 	52 , 	74 , 	8 , 	48 , 	11 , 	10 , 	50 , 	15 , 	59 , 	13 , 	-   ," 	4,829 ",,,,,,,,,,
CL, 	90 , 	306 , 	113 , 	105 , 	149 , 	93 , 	194 , 	138 , 	251 , 	235 , 	355 , 	24 , 	440 , 	402 , 	257 , 	171 , 	241 , 	574 , 	129 , 	158 , 	142 , 	104 , 	83 , 	86 , 	87 , 	383 , 	235 , 	536 , 	262 , 	111 , 	114 , 	73 , 	37 , 	63 , 	9 , 	243 ," 	1,020 ", 	63 , 	183 , 	21 , 	21 , 	36 , 	39 , 	302 , 	43 , 	-   ," 	8,715 ",,,,,,,,,,
SL, 	24 , 	41 , 	22 , 	24 , 	98 , 	31 , 	54 , 	79 , 	124 , 	145 , 	156 , 	419 , 	13 , 	102 , 	90 , 	37 , 	35 , 	64 , 	14 , 	11 , 	12 , 	4 , 	5 , 	22 , 	32 , 	268 , 	194 , 	468 , 	160 , 	80 , 	65 , 	31 , 	13 , 	14 , 	5 , 	31 , 	35 , 	3 , 	17 , 	5 , 	6 , 	28 , 	5 , 	47 , 	9 , 	-   ," 	3,137 ",,,,,,,,,,
BF, 	15 , 	36 , 	12 , 	15 , 	76 , 	32 , 	48 , 	62 , 	118 , 	147 , 	206 , 	381 , 	122 , 	16 , 	90 , 	46 , 	55 , 	144 , 	14 , 	9 , 	7 , 	3 , 	2 , 	11 , 	25 , 	261 , 	198 , 	429 , 	152 , 	57 , 	64 , 	26 , 	12 , 	10 , 	7 , 	50 , 	79 , 	2 , 	18 , 	4 , 	6 , 	18 , 	5 , 	94 , 	4 , 	-   ," 	3,184 ",,,,,,,,,,
