Exit stations,Entry stations->,,WEEKDAY,,,Aug 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
CL, 	86 , 	142 , 	56 , 	61 , 	176 , 	81 , 	169 , 	218 , 	337 , 	213 , 	255 , 	30 , 	166 , 	209 , 	159 , 	91 , 	101 , 	204 , 	65 , 	61 , 	64 , 	31 , 	24 , 	46 , 	110 , 	604 , 	565 , 	548 , 	470 , 	161 , 	138 , 	64 , 	81 , 	109 , 	16 , 	66 , 	193 , 	22 , 	109 , 	19 , 	32 , 	48 , 	26 , 	91 , 	30 , 	-   ," 	6,547 ",,,,,,,,,
SL, 	44 , 	77 , 	37 , 	32 , 	191 , 	53 , 	133 , 	234 , 	354 , 	288 , 	243 , 	172 , 	18 , 	125 , 	180 , 	87 , 	92 , 	155 , 	33 , 	25 , 	29 , 	10 , 	9 , 	25 , 	47 , 	770 , 	776 , 	623 , 	523 , 	156 , 	102 , 	41 , 	77 , 	79 , 	9 , 	52 , 	95 , 	9 , 	51 , 	18 , 	19 , 	51 , 	12 , 	60 , 	11 , 	-   ," 	6,224 ",,,,,,,,,
BF, 	32 , 	49 , 	18 , 	22 , 	145 , 	41 , 	105 , 	199 , 	336 , 	245 , 	251 , 	223 , 	138 , 	23 , 	142 , 	80 , 	107 , 	248 , 	27 , 	12 , 	16 , 	7 , 	4 , 	12 , 	39 , 	729 , 	708 , 	591 , 	468 , 	131 , 	92 , 	37 , 	55 , 	60 , 	13 , 	64 , 	177 , 	7 , 	19 , 	14 , 	18 , 	35 , 	11 , 	104 , 	8 , 	-   ," 	5,864 ",,,,,,,,,
HY, 	32 , 	61 , 	25 , 	20 , 	138 , 	33 , 	104 , 	211 , 	293 , 	144 , 	209 , 	171 , 	184 , 	144 , 	20 , 	104 , 	181 , 	352 , 	24 , 	22 , 	18 , 	6 , 	6 , 	16 , 	27 , 	519 , 	544 , 	370 , 	325 , 	90 , 	64 , 	25 , 	37 , 	43 , 	5 , 	26 , 	74 , 	6 , 	37 , 	9 , 	16 , 	28 , 	9 , 	37 , 	15 , 	-   ," 	4,825 ",,,,,,,,,
SH, 	21 , 	32 , 	10 , 	11 , 	89 , 	20 , 	62 , 	161 , 	164 , 	84 , 	93 , 	94 , 	77 , 	76 , 	93 , 	11 , 	69 , 	180 , 	12 , 	8 , 	13 , 	2 , 	4 , 	9 , 	17 , 	432 , 	387 , 	259 , 	229 , 	72 , 	51 , 	13 , 	24 , 	34 , 	5 , 	14 , 	36 , 	2 , 	17 , 	6 , 	7 , 	20 , 	5 , 	17 , 	7 , 	-   ," 	3,051 ",,,,,,,,,
UC, 	22 , 	41 , 	20 , 	18 , 	168 , 	43 , 	83 , 	215 , 	209 , 	113 , 	95 , 	98 , 	92 , 	111 , 	182 , 	70 , 	30 , 	171 , 	13 , 	13 , 	13 , 	3 , 	6 , 	11 , 	11 ," 	1,042 ", 	900 , 	399 , 	328 , 	73 , 	34 , 	13 , 	26 , 	43 , 	6 , 	21 , 	61 , 	5 , 	26 , 	9 , 	6 , 	28 , 	7 , 	23 , 	20 , 	-   ," 	4,921 ",,,,,,,,,
FM, 	39 , 	87 , 	46 , 	41 , 	332 , 	70 , 	149 , 	383 , 	372 , 	181 , 	165 , 	200 , 	163 , 	250 , 	347 , 	198 , 	183 , 	65 , 	36 , 	38 , 	29 , 	14 , 	14 , 	36 , 	28 ," 	2,057 "," 	1,754 ", 	699 , 	531 , 	135 , 	59 , 	33 , 	42 , 	73 , 	8 , 	42 , 	117 , 	9 , 	47 , 	9 , 	12 , 	60 , 	7 , 	39 , 	43 , 	-   ," 	9,243 ",,,,,,,,,
CN, 	28 , 	37 , 	18 , 	22 , 	147 , 	31 , 	164 , 	328 , 	364 , 	31 , 	46 , 	58 , 	35 , 	25 , 	22 , 	14 , 	14 , 	39 , 	29 , 	109 , 	284 , 	84 , 	41 , 	90 , 	17 , 	976 , 	978 , 	599 , 	514 , 	132 , 	90 , 	49 , 	57 , 	76 , 	23 , 	6 , 	14 , 	57 , 	348 , 	24 , 	24 , 	130 , 	31 , 	5 , 	37 , 	-   ," 	6,252 ",,,,,,,,,
PH, 	16 , 	24 , 	18 , 	19 , 	175 , 	30 , 	178 , 	360 , 	376 , 	21 , 	34 , 	59 , 	24 , 	11 , 	23 , 	9 , 	13 , 	36 , 	107 , 	29 , 	119 , 	49 , 	34 , 	125 , 	11 ," 	1,729 "," 	1,719 ", 	704 , 	596 , 	150 , 	77 , 	113 , 	47 , 	67 , 	14 , 	3 , 	7 , 	34 , 	148 , 	20 , 	30 , 	172 , 	28 , 	2 , 	51 , 	-   ," 	7,611 ",,,,,,,,,
WC, 	30 , 	45 , 	28 , 	28 , 	170 , 	33 , 	144 , 	302 , 	299 , 	27 , 	44 , 	61 , 	29 , 	15 , 	20 , 	16 , 	12 , 	29 , 	314 , 	127 , 	31 , 	66 , 	45 , 	159 , 	25 ," 	1,508 "," 	1,525 ", 	590 , 	530 , 	135 , 	80 , 	58 , 	48 , 	64 , 	22 , 	4 , 	9 , 	61 , 	246 , 	18 , 	28 , 	196 , 	33 , 	3 , 	50 , 	-   ," 	7,307 ",,,,,,,,,
LF, 	8 , 	13 , 	14 , 	8 , 	98 , 	13 , 	59 , 	155 , 	158 , 	10 , 	19 , 	31 , 	10 , 	6 , 	6 , 	2 , 	3 , 	15 , 	99 , 	60 , 	79 , 	18 , 	17 , 	84 , 	6 , 	975 , 	871 , 	314 , 	289 , 	79 , 	34 , 	24 , 	16 , 	17 , 	5 , 	2 , 	2 , 	11 , 	45 , 	6 , 	12 , 	100 , 	17 , 	2 , 	28 , 	-   ," 	3,840 ",,,,,,,,,
OR, 	8 , 	13 , 	9 , 	9 , 	64 , 	10 , 	46 , 	106 , 	126 , 	11 , 	21 , 	23 , 	8 , 	4 , 	7 , 	4 , 	5 , 	15 , 	43 , 	31 , 	46 , 	22 , 	12 , 	62 , 	4 , 	838 , 	748 , 	259 , 	251 , 	53 , 	33 , 	25 , 	14 , 	16 , 	4 , 	2 , 	3 , 	4 , 	20 , 	7 , 	9 , 	84 , 	13 , 	2 , 	18 , 	-   ," 	3,109 ",,,,,,,,,
RR, 	21 , 	42 , 	31 , 	22 , 	64 , 	14 , 	65 , 	195 , 	187 , 	32 , 	51 , 	46 , 	26 , 	15 , 	15 , 	11 , 	10 , 	36 , 	86 , 	128 , 	148 , 	83 , 	59 , 	21 , 	23 ," 	1,225 "," 	1,267 ", 	663 , 	650 , 	224 , 	121 , 	54 , 	39 , 	34 , 	5 , 	6 , 	10 , 	25 , 	57 , 	9 , 	18 , 	161 , 	30 , 	4 , 	26 , 	-   ," 	6,061 ",,,,,,,,,
OW, 	25 , 	42 , 	15 , 	17 , 	87 , 	33 , 	54 , 	63 , 	113 , 	39 , 	117 , 	107 , 	43 , 	40 , 	24 , 	16 , 	11 , 	23 , 	15 , 	12 , 	18 , 	5 , 	4 , 	23 , 	23 ," 	1,723 "," 	1,508 "," 	1,039 ", 	854 , 	362 , 	212 , 	62 , 	77 , 	43 , 	14 , 	13 , 	26 , 	4 , 	37 , 	12 , 	22 , 	98 , 	36 , 	11 , 	10 , 	-   ," 	7,134 ",,,,,,,,,
EM, 	473 ," 	1,190 ", 	737 , 	816 ," 	1,472 "," 	1,007 "," 	1,413 "," 	1,783 "," 	1,709 "," 	1,125 "," 	1,149 ", 	689 , 	960 , 	903 , 	646 , 	528 ," 	1,195 "," 	2,378 "," 	1,218 "," 	2,190 "," 	1,834 "," 	1,132 ", 	967 ," 	1,364 "," 	2,083 ", 	179 , 	127 , 	559 , 	606 ," 	1,172 "," 	1,841 "," 	1,309 "," 	1,618 "," 	1,445 ", 	893 , 	706 ," 	2,555 ", 	661 , 	999 , 	714 , 	663 , 	574 ," 	1,174 "," 	1,039 ", 	180 , 	-   ," 	49,971 ",,,,,,,,,
