Exit stations,Entry stations->,,SATURDAY,,,Jan 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	2 , 	13 , 	11 , 	5 , 	22 , 	7 , 	11 , 	7 , 	10 , 	3 , 	8 , 	8 , 	3 , 	1 , 	3 , 	2 , 	0 , 	2 , 	3 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	18 , 	11 , 	44 , 	16 , 	16 , 	19 , 	5 , 	7 , 	5 , 	1 , 	-   , 	1 , 	0 , 	1 , 	1 , 	1 , 	4 , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	291 ,,,,,,,,,,
EN, 	14 , 	9 , 	21 , 	13 , 	67 , 	25 , 	30 , 	16 , 	29 , 	9 , 	35 , 	15 , 	11 , 	9 , 	9 , 	6 , 	8 , 	5 , 	5 , 	4 , 	8 , 	1 , 	1 , 	6 , 	7 , 	59 , 	49 , 	126 , 	42 , 	42 , 	41 , 	11 , 	19 , 	8 , 	6 , 	2 , 	3 , 	0 , 	4 , 	2 , 	5 , 	14 , 	4 , 	1 , 	3 , 	3 , 	4 , 	4 , 	2 , 	3 , 	819 ,,,,,,,,,,
EP, 	13 , 	17 , 	1 , 	10 , 	52 , 	12 , 	13 , 	7 , 	17 , 	5 , 	10 , 	4 , 	4 , 	4 , 	2 , 	2 , 	1 , 	3 , 	2 , 	2 , 	4 , 	2 , 	0 , 	3 , 	2 , 	20 , 	11 , 	39 , 	14 , 	8 , 	10 , 	2 , 	3 , 	2 , 	1 , 	1 , 	1 , 	-   , 	1 , 	0 , 	1 , 	6 , 	0 , 	1 , 	1 , 	1 , 	2 , 	1 , 	0 , 	1 , 	323 ,,,,,,,,,,
NB, 	7 , 	13 , 	10 , 	1 , 	8 , 	8 , 	7 , 	6 , 	5 , 	4 , 	10 , 	4 , 	5 , 	3 , 	3 , 	0 , 	1 , 	1 , 	1 , 	0 , 	3 , 	0 , 	-   , 	0 , 	1 , 	13 , 	5 , 	12 , 	10 , 	10 , 	6 , 	2 , 	1 , 	2 , 	1 , 	0 , 	0 , 	0 , 	2 , 	0 , 	0 , 	7 , 	1 , 	-   , 	2 , 	1 , 	1 , 	1 , 	0 , 	0 , 	181 ,,,,,,,,,,
BK, 	28 , 	74 , 	54 , 	10 , 	8 , 	28 , 	29 , 	28 , 	31 , 	11 , 	24 , 	15 , 	9 , 	11 , 	6 , 	4 , 	7 , 	3 , 	4 , 	3 , 	4 , 	2 , 	1 , 	2 , 	9 , 	34 , 	28 , 	53 , 	38 , 	24 , 	13 , 	6 , 	8 , 	7 , 	1 , 	2 , 	3 , 	0 , 	5 , 	1 , 	1 , 	14 , 	2 , 	1 , 	8 , 	1 , 	2 , 	4 , 	2 , 	2 , 	664 ,,,,,,,,,,
AS, 	6 , 	34 , 	11 , 	6 , 	22 , 	2 , 	11 , 	15 , 	12 , 	5 , 	16 , 	9 , 	8 , 	5 , 	4 , 	2 , 	3 , 	1 , 	3 , 	1 , 	1 , 	1 , 	0 , 	1 , 	7 , 	18 , 	13 , 	30 , 	21 , 	14 , 	10 , 	3 , 	3 , 	1 , 	1 , 	1 , 	1 , 	0 , 	1 , 	-   , 	1 , 	4 , 	0 , 	1 , 	1 , 	2 , 	1 , 	2 , 	0 , 	1 , 	314 ,,,,,,,,,,
MA, 	14 , 	23 , 	13 , 	10 , 	18 , 	14 , 	8 , 	13 , 	14 , 	5 , 	29 , 	11 , 	10 , 	9 , 	9 , 	6 , 	4 , 	4 , 	9 , 	6 , 	8 , 	2 , 	1 , 	8 , 	10 , 	33 , 	28 , 	61 , 	35 , 	32 , 	20 , 	7 , 	8 , 	2 , 	4 , 	2 , 	1 , 	1 , 	11 , 	1 , 	1 , 	7 , 	1 , 	1 , 	1 , 	0 , 	3 , 	3 , 	3 , 	8 , 	530 ,,,,,,,,,,
19, 	7 , 	19 , 	7 , 	5 , 	25 , 	12 , 	12 , 	3 , 	2 , 	2 , 	12 , 	16 , 	10 , 	10 , 	7 , 	3 , 	3 , 	5 , 	6 , 	8 , 	4 , 	1 , 	2 , 	6 , 	8 , 	37 , 	30 , 	57 , 	30 , 	28 , 	15 , 	6 , 	6 , 	7 , 	1 , 	2 , 	1 , 	2 , 	6 , 	1 , 	1 , 	8 , 	2 , 	1 , 	2 , 	2 , 	1 , 	3 , 	4 , 	4 , 	451 ,,,,,,,,,,
12, 	8 , 	27 , 	15 , 	7 , 	23 , 	12 , 	11 , 	8 , 	7 , 	4 , 	16 , 	9 , 	17 , 	14 , 	9 , 	3 , 	4 , 	3 , 	8 , 	5 , 	6 , 	3 , 	3 , 	8 , 	13 , 	35 , 	35 , 	84 , 	38 , 	24 , 	17 , 	7 , 	10 , 	10 , 	5 , 	1 , 	1 , 	1 , 	5 , 	3 , 	5 , 	12 , 	6 , 	1 , 	2 , 	1 , 	2 , 	3 , 	1 , 	4 , 	559 ,,,,,,,,,,
LM, 	2 , 	5 , 	6 , 	5 , 	10 , 	5 , 	7 , 	3 , 	3 , 	5 , 	24 , 	26 , 	30 , 	26 , 	15 , 	6 , 	7 , 	7 , 	1 , 	1 , 	1 , 	0 , 	0 , 	1 , 	5 , 	39 , 	31 , 	64 , 	30 , 	22 , 	16 , 	6 , 	13 , 	5 , 	1 , 	8 , 	13 , 	0 , 	2 , 	0 , 	2 , 	1 , 	0 , 	5 , 	3 , 	3 , 	4 , 	5 , 	0 , 	1 , 	472 ,,,,,,,,,,
FV, 	12 , 	31 , 	12 , 	10 , 	26 , 	14 , 	25 , 	14 , 	12 , 	16 , 	12 , 	39 , 	45 , 	60 , 	38 , 	17 , 	14 , 	17 , 	6 , 	5 , 	9 , 	5 , 	4 , 	10 , 	18 , 	46 , 	35 , 	130 , 	73 , 	43 , 	40 , 	6 , 	11 , 	12 , 	1 , 	13 , 	23 , 	1 , 	4 , 	2 , 	4 , 	7 , 	3 , 	21 , 	3 , 	16 , 	4 , 	11 , 	3 , 	5 , 	987 ,,,,,,,,,,
