Exit stations,Entry stations->,,WEEKDAY,,,Jan 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	6 , 	25 , 	20 , 	19 , 	66 , 	23 , 	31 , 	23 , 	40 , 	9 , 	24 , 	26 , 	12 , 	8 , 	7 , 	6 , 	4 , 	4 , 	6 , 	2 , 	6 , 	1 , 	2 , 	4 , 	10 , 	61 , 	74 , 	114 , 	86 , 	56 , 	59 , 	17 , 	16 , 	11 , 	6 , 	2 , 	3 , 	1 , 	3 , 	5 , 	8 , 	8 , 	4 , 	0 , 	2 , 	4 , 	1 , 	2 , 	4 , 	2 , 	932 ,,,,,,,,,,,,,
NC, 	1 , 	1 , 	1 , 	1 , 	2 , 	0 , 	4 , 	6 , 	6 , 	2 , 	1 , 	1 , 	1 , 	2 , 	1 , 	0 , 	0 , 	-   , 	8 , 	6 , 	6 , 	1 , 	1 , 	2 , 	1 , 	14 , 	19 , 	23 , 	26 , 	4 , 	5 , 	2 , 	2 , 	2 , 	1 , 	-   , 	0 , 	1 , 	8 , 	3 , 	0 , 	6 , 	0 , 	0 , 	1 , 	0 , 	1 , 	0 , 	6 , 	6 , 	186 ,,,,,,,,,,,,,
WP, 	3 , 	7 , 	2 , 	3 , 	9 , 	2 , 	31 , 	22 , 	20 , 	3 , 	6 , 	6 , 	4 , 	3 , 	2 , 	3 , 	2 , 	1 , 	41 , 	20 , 	31 , 	5 , 	3 , 	10 , 	6 , 	64 , 	68 , 	109 , 	82 , 	38 , 	30 , 	10 , 	9 , 	12 , 	6 , 	0 , 	2 , 	8 , 	6 , 	3 , 	8 , 	21 , 	2 , 	0 , 	3 , 	2 , 	1 , 	1 , 	5 , 	11 , 	747 ,,,,,,,,,,,,,
SS, 	5 , 	7 , 	2 , 	1 , 	3 , 	1 , 	4 , 	3 , 	11 , 	2 , 	3 , 	3 , 	4 , 	3 , 	3 , 	2 , 	1 , 	1 , 	5 , 	2 , 	1 , 	0 , 	1 , 	1 , 	5 , 	31 , 	28 , 	63 , 	48 , 	26 , 	30 , 	6 , 	14 , 	15 , 	5 , 	1 , 	1 , 	2 , 	5 , 	2 , 	6 , 	12 , 	8 , 	1 , 	0 , 	1 , 	0 , 	0 , 	1 , 	5 , 	384 ,,,,,,,,,,,,,
SB, 	9 , 	8 , 	1 , 	1 , 	2 , 	5 , 	3 , 	5 , 	8 , 	1 , 	7 , 	4 , 	4 , 	5 , 	4 , 	2 , 	0 , 	2 , 	8 , 	3 , 	3 , 	1 , 	0 , 	1 , 	7 , 	21 , 	33 , 	53 , 	41 , 	29 , 	30 , 	19 , 	31 , 	28 , 	10 , 	2 , 	1 , 	1 , 	8 , 	7 , 	3 , 	8 , 	5 , 	0 , 	1 , 	-   , 	1 , 	0 , 	2 , 	5 , 	435 ,,,,,,,,,,,,,
SO, 	5 , 	13 , 	3 , 	2 , 	3 , 	2 , 	7 , 	5 , 	8 , 	3 , 	5 , 	4 , 	6 , 	5 , 	4 , 	2 , 	2 , 	2 , 	18 , 	8 , 	9 , 	3 , 	3 , 	3 , 	7 , 	8 , 	10 , 	33 , 	24 , 	14 , 	10 , 	6 , 	21 , 	31 , 	19 , 	1 , 	7 , 	5 , 	19 , 	9 , 	10 , 	6 , 	24 , 	2 , 	1 , 	1 , 	1 , 	0 , 	5 , 	21 , 	421 ,,,,,,,,,,,,,
MB, 	4 , 	10 , 	3 , 	1 , 	6 , 	2 , 	5 , 	4 , 	7 , 	2 , 	4 , 	5 , 	2 , 	2 , 	2 , 	1 , 	0 , 	0 , 	5 , 	2 , 	2 , 	1 , 	1 , 	1 , 	5 , 	12 , 	24 , 	30 , 	33 , 	19 , 	17 , 	7 , 	26 , 	26 , 	11 , 	1 , 	1 , 	0 , 	3 , 	4 , 	4 , 	31 , 	5 , 	0 , 	0 , 	0 , 	-   , 	0 , 	1 , 	4 , 	338 ,,,,,,,,,,,,,
WD, 	1 , 	2 , 	1 , 	0 , 	2 , 	1 , 	2 , 	4 , 	2 , 	12 , 	18 , 	8 , 	16 , 	22 , 	7 , 	8 , 	3 , 	3 , 	2 , 	0 , 	1 , 	-   , 	-   , 	0 , 	1 , 	21 , 	14 , 	22 , 	15 , 	6 , 	7 , 	5 , 	3 , 	3 , 	-   , 	15 , 	8 , 	1 , 	0 , 	0 , 	0 , 	1 , 	0 , 	2 , 	2 , 	1 , 	2 , 	1 , 	0 , 	0 , 	244 ,,,,,,,,,,,,,
OA, 	1 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	3 , 	3 , 	1 , 	0 , 	2 , 	1 , 	1 , 	2 , 	3 , 	2 , 	2 , 	1 , 	0 , 	1 , 	1 , 	2 , 	2 , 	2 , 	2 , 	2 , 	1 , 	0 , 	3 , 	0 , 	0 , 	0 , 	5 , 	1 , 	4 , 	0 , 	1 , 	2 , 	0 , 	1 , 	1 , 	0 , 	1 , 	1 , 	1 , 	3 , 	69 ,,,,,,,,,,,,,
WS, 	4 , 	4 , 	1 , 	3 , 	3 , 	4 , 	3 , 	5 , 	5 , 	10 , 	18 , 	12 , 	12 , 	13 , 	14 , 	11 , 	17 , 	10 , 	3 , 	2 , 	0 , 	1 , 	-   , 	0 , 	2 , 	8 , 	10 , 	8 , 	7 , 	4 , 	2 , 	2 , 	2 , 	2 , 	0 , 	1 , 	4 , 	-   , 	2 , 	1 , 	0 , 	1 , 	0 , 	2 , 	0 , 	2 , 	13 , 	12 , 	0 , 	1 , 	240 ,,,,,,,,,,,,,
ML, 	2 , 	3 , 	2 , 	1 , 	3 , 	2 , 	4 , 	6 , 	4 , 	5 , 	5 , 	3 , 	5 , 	5 , 	15 , 	7 , 	12 , 	17 , 	2 , 	1 , 	1 , 	0 , 	0 , 	1 , 	1 , 	7 , 	8 , 	8 , 	11 , 	2 , 	2 , 	1 , 	1 , 	2 , 	0 , 	1 , 	3 , 	0 , 	1 , 	0 , 	1 , 	2 , 	0 , 	1 , 	2 , 	13 , 	3 , 	3 , 	1 , 	1 , 	180 ,,,,,,,,,,,,,
BE, 	2 , 	5 , 	1 , 	1 , 	7 , 	3 , 	3 , 	4 , 	5 , 	9 , 	12 , 	7 , 	6 , 	6 , 	10 , 	9 , 	8 , 	14 , 	3 , 	2 , 	1 , 	0 , 	1 , 	1 , 	2 , 	10 , 	7 , 	14 , 	14 , 	3 , 	4 , 	1 , 	2 , 	1 , 	0 , 	0 , 	3 , 	0 , 	1 , 	0 , 	0 , 	1 , 	0 , 	1 , 	1 , 	14 , 	4 , 	3 , 	0 , 	2 , 	206 ,,,,,,,,,,,,,
PC, 	3 , 	2 , 	1 , 	0 , 	3 , 	1 , 	13 , 	7 , 	7 , 	2 , 	4 , 	2 , 	5 , 	2 , 	2 , 	3 , 	1 , 	0 , 	23 , 	10 , 	14 , 	5 , 	1 , 	3 , 	3 , 	24 , 	14 , 	24 , 	21 , 	11 , 	10 , 	5 , 	3 , 	2 , 	2 , 	0 , 	0 , 	5 , 	4 , 	1 , 	2 , 	5 , 	1 , 	0 , 	1 , 	0 , 	1 , 	1 , 	2 , 	10 , 	265 ,,,,,,,,,,,,,
AN, 	3 , 	2 , 	1 , 	1 , 	5 , 	2 , 	21 , 	15 , 	22 , 	5 , 	7 , 	11 , 	5 , 	2 , 	4 , 	4 , 	3 , 	2 , 	30 , 	8 , 	15 , 	4 , 	2 , 	7 , 	5 , 	50 , 	43 , 	57 , 	65 , 	25 , 	17 , 	12 , 	6 , 	10 , 	7 , 	0 , 	2 , 	6 , 	9 , 	5 , 	4 , 	18 , 	5 , 	0 , 	4 , 	1 , 	1 , 	1 , 	7 , 	6 , 	543 ,,,,,,,,,,,,,
Entries, 	948 ," 	1,274 ", 	501 , 	321 , 	846 , 	476 ," 	1,001 ", 	919 ," 	1,197 ", 	835 ," 	1,655 "," 	1,080 "," 	1,114 ", 	997 , 	725 , 	540 , 	486 , 	458 , 	811 , 	565 , 	522 , 	208 , 	155 , 	293 ," 	1,096 "," 	2,407 "," 	2,432 "," 	3,835 "," 	2,906 "," 	1,577 "," 	1,557 ", 	796 ," 	1,519 "," 	1,124 ", 	473 , 	308 , 	629 , 	192 , 	737 , 	367 , 	429 , 	506 , 	336 , 	236 , 	95 , 	267 , 	176 , 	193 , 	280 , 	612 ," 	43,012 ",,,,,,,,,,,,,
