Exit stations,Entry stations->,,WEEKDAY,,,Jan 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	6 , 	25 , 	20 , 	19 , 	66 , 	23 , 	31 , 	23 , 	40 , 	9 , 	24 , 	26 , 	12 , 	8 , 	7 , 	6 , 	4 , 	4 , 	6 , 	2 , 	6 , 	1 , 	2 , 	4 , 	10 , 	61 , 	74 , 	114 , 	86 , 	56 , 	59 , 	17 , 	16 , 	11 , 	6 , 	2 , 	3 , 	1 , 	3 , 	5 , 	8 , 	8 , 	4 , 	0 , 	2 , 	4 , 	1 , 	2 , 	4 , 	2 , 	932 ,,,,,,,,,,,,,
CL, 	26 , 	24 , 	7 , 	10 , 	26 , 	15 , 	32 , 	24 , 	39 , 	31 , 	62 , 	8 , 	37 , 	45 , 	36 , 	17 , 	14 , 	16 , 	10 , 	4 , 	4 , 	1 , 	1 , 	4 , 	25 , 	64 , 	65 , 	102 , 	84 , 	37 , 	33 , 	16 , 	15 , 	14 , 	3 , 	8 , 	21 , 	1 , 	8 , 	3 , 	4 , 	6 , 	5 , 	8 , 	5 , 	11 , 	4 , 	7 , 	4 , 	12 ," 	1,059 ",,,,,,,,,,,,,
SL, 	13 , 	15 , 	7 , 	6 , 	18 , 	12 , 	26 , 	20 , 	44 , 	62 , 	82 , 	44 , 	5 , 	32 , 	39 , 	29 , 	20 , 	17 , 	3 , 	4 , 	4 , 	2 , 	2 , 	6 , 	14 , 	88 , 	95 , 	113 , 	77 , 	38 , 	28 , 	10 , 	10 , 	11 , 	2 , 	15 , 	31 , 	1 , 	4 , 	4 , 	3 , 	6 , 	2 , 	14 , 	3 , 	14 , 	3 , 	6 , 	5 , 	6 ," 	1,113 ",,,,,,,,,,,,,
BF, 	8 , 	11 , 	4 , 	6 , 	17 , 	6 , 	22 , 	24 , 	35 , 	47 , 	80 , 	45 , 	33 , 	5 , 	26 , 	22 , 	19 , 	29 , 	5 , 	3 , 	5 , 	1 , 	3 , 	2 , 	16 , 	71 , 	77 , 	101 , 	91 , 	37 , 	23 , 	8 , 	14 , 	8 , 	3 , 	8 , 	40 , 	2 , 	3 , 	3 , 	5 , 	5 , 	3 , 	17 , 	1 , 	17 , 	5 , 	5 , 	2 , 	1 ," 	1,022 ",,,,,,,,,,,,,
HY, 	10 , 	12 , 	3 , 	5 , 	13 , 	5 , 	15 , 	22 , 	32 , 	25 , 	54 , 	31 , 	39 , 	28 , 	6 , 	24 , 	33 , 	36 , 	4 , 	3 , 	3 , 	2 , 	1 , 	4 , 	11 , 	47 , 	38 , 	55 , 	42 , 	21 , 	17 , 	8 , 	8 , 	8 , 	1 , 	5 , 	18 , 	2 , 	3 , 	3 , 	5 , 	4 , 	3 , 	7 , 	1 , 	22 , 	14 , 	10 , 	3 , 	4 , 	765 ,,,,,,,,,,,,,
SH, 	8 , 	7 , 	4 , 	1 , 	8 , 	2 , 	13 , 	9 , 	15 , 	20 , 	29 , 	20 , 	31 , 	24 , 	22 , 	3 , 	13 , 	23 , 	3 , 	1 , 	2 , 	0 , 	0 , 	2 , 	8 , 	42 , 	39 , 	44 , 	34 , 	16 , 	14 , 	6 , 	3 , 	3 , 	1 , 	5 , 	7 , 	1 , 	4 , 	3 , 	2 , 	3 , 	1 , 	8 , 	1 , 	13 , 	7 , 	9 , 	2 , 	4 , 	541 ,,,,,,,,,,,,,
UC, 	4 , 	7 , 	5 , 	1 , 	12 , 	6 , 	10 , 	13 , 	19 , 	14 , 	30 , 	18 , 	20 , 	18 , 	27 , 	15 , 	4 , 	25 , 	2 , 	1 , 	1 , 	0 , 	0 , 	2 , 	3 , 	30 , 	24 , 	28 , 	35 , 	12 , 	10 , 	3 , 	2 , 	2 , 	1 , 	2 , 	9 , 	0 , 	3 , 	1 , 	0 , 	3 , 	1 , 	5 , 	1 , 	20 , 	11 , 	9 , 	1 , 	3 , 	473 ,,,,,,,,,,,,,
FM, 	5 , 	10 , 	4 , 	2 , 	6 , 	2 , 	10 , 	8 , 	15 , 	17 , 	31 , 	18 , 	22 , 	24 , 	36 , 	24 , 	42 , 	4 , 	2 , 	5 , 	2 , 	0 , 	1 , 	0 , 	3 , 	23 , 	23 , 	26 , 	23 , 	12 , 	6 , 	2 , 	5 , 	4 , 	2 , 	6 , 	9 , 	0 , 	2 , 	0 , 	2 , 	3 , 	0 , 	2 , 	2 , 	10 , 	16 , 	14 , 	0 , 	2 , 	489 ,,,,,,,,,,,,,
CN, 	7 , 	7 , 	4 , 	2 , 	6 , 	6 , 	24 , 	19 , 	23 , 	4 , 	8 , 	8 , 	5 , 	4 , 	4 , 	3 , 	2 , 	1 , 	7 , 	20 , 	42 , 	27 , 	7 , 	15 , 	6 , 	64 , 	64 , 	101 , 	93 , 	28 , 	29 , 	14 , 	12 , 	6 , 	2 , 	1 , 	2 , 	9 , 	41 , 	5 , 	8 , 	20 , 	4 , 	1 , 	4 , 	2 , 	2 , 	3 , 	26 , 	34 , 	834 ,,,,,,,,,,,,,
PH, 	2 , 	4 , 	1 , 	3 , 	7 , 	5 , 	21 , 	20 , 	25 , 	6 , 	4 , 	3 , 	4 , 	3 , 	3 , 	1 , 	0 , 	5 , 	22 , 	4 , 	17 , 	10 , 	5 , 	12 , 	3 , 	63 , 	57 , 	80 , 	66 , 	23 , 	12 , 	9 , 	3 , 	4 , 	1 , 	0 , 	3 , 	4 , 	19 , 	2 , 	4 , 	11 , 	1 , 	1 , 	3 , 	1 , 	1 , 	1 , 	13 , 	9 , 	580 ,,,,,,,,,,,,,
WC, 	7 , 	8 , 	2 , 	4 , 	7 , 	1 , 	20 , 	12 , 	21 , 	5 , 	9 , 	4 , 	4 , 	4 , 	3 , 	2 , 	2 , 	1 , 	39 , 	18 , 	5 , 	10 , 	7 , 	15 , 	4 , 	39 , 	45 , 	51 , 	40 , 	15 , 	13 , 	3 , 	3 , 	8 , 	1 , 	1 , 	1 , 	7 , 	31 , 	2 , 	3 , 	12 , 	2 , 	0 , 	2 , 	1 , 	0 , 	1 , 	14 , 	19 , 	530 ,,,,,,,,,,,,,
LF, 	2 , 	2 , 	1 , 	1 , 	3 , 	1 , 	6 , 	4 , 	4 , 	1 , 	5 , 	2 , 	2 , 	1 , 	1 , 	0 , 	1 , 	0 , 	32 , 	12 , 	12 , 	1 , 	3 , 	4 , 	1 , 	15 , 	27 , 	18 , 	17 , 	6 , 	5 , 	1 , 	1 , 	1 , 	0 , 	0 , 	0 , 	1 , 	7 , 	0 , 	1 , 	3 , 	1 , 	-   , 	1 , 	1 , 	0 , 	0 , 	5 , 	3 , 	219 ,,,,,,,,,,,,,
OR, 	3 , 	2 , 	0 , 	0 , 	2 , 	1 , 	5 , 	6 , 	7 , 	0 , 	9 , 	0 , 	2 , 	3 , 	1 , 	0 , 	0 , 	1 , 	8 , 	4 , 	9 , 	3 , 	1 , 	4 , 	0 , 	15 , 	20 , 	11 , 	10 , 	6 , 	3 , 	1 , 	1 , 	2 , 	1 , 	0 , 	0 , 	0 , 	2 , 	0 , 	0 , 	3 , 	1 , 	-   , 	1 , 	-   , 	0 , 	0 , 	1 , 	1 , 	150 ,,,,,,,,,,,,,
RR, 	5 , 	6 , 	4 , 	1 , 	2 , 	1 , 	8 , 	9 , 	12 , 	2 , 	14 , 	6 , 	5 , 	3 , 	3 , 	1 , 	2 , 	1 , 	12 , 	18 , 	14 , 	4 , 	6 , 	2 , 	4 , 	27 , 	29 , 	28 , 	30 , 	13 , 	6 , 	3 , 	3 , 	2 , 	0 , 	0 , 	2 , 	3 , 	10 , 	1 , 	1 , 	5 , 	1 , 	-   , 	0 , 	0 , 	0 , 	0 , 	4 , 	5 , 	319 ,,,,,,,,,,,,,
OW, 	8 , 	9 , 	2 , 	2 , 	10 , 	8 , 	15 , 	10 , 	19 , 	4 , 	35 , 	28 , 	13 , 	19 , 	9 , 	6 , 	3 , 	2 , 	7 , 	2 , 	4 , 	1 , 	1 , 	3 , 	5 , 	165 , 	132 , 	181 , 	138 , 	63 , 	46 , 	13 , 	15 , 	13 , 	5 , 	3 , 	9 , 	1 , 	6 , 	6 , 	7 , 	9 , 	5 , 	2 , 	1 , 	2 , 	1 , 	2 , 	4 , 	6 ," 	1,062 ",,,,,,,,,,,,,
EM, 	78 , 	128 , 	44 , 	30 , 	50 , 	31 , 	64 , 	85 , 	82 , 	72 , 	121 , 	75 , 	105 , 	78 , 	58 , 	50 , 	32 , 	25 , 	75 , 	73 , 	47 , 	22 , 	18 , 	30 , 	174 , 	11 , 	6 , 	30 , 	35 , 	57 , 	93 , 	61 , 	149 , 	108 , 	41 , 	37 , 	78 , 	20 , 	76 , 	30 , 	24 , 	14 , 	12 , 	26 , 	4 , 	8 , 	7 , 	11 , 	27 , 	71 ," 	2,683 ",,,,,,,,,,,,,
MT, 	92 , 	136 , 	42 , 	26 , 	37 , 	33 , 	68 , 	80 , 	87 , 	68 , 	134 , 	76 , 	114 , 	97 , 	46 , 	48 , 	31 , 	26 , 	77 , 	62 , 	50 , 	28 , 	21 , 	29 , 	168 , 	8 , 	10 , 	16 , 	30 , 	75 , 	136 , 	103 , 	271 , 	141 , 	56 , 	35 , 	52 , 	21 , 	92 , 	36 , 	41 , 	17 , 	22 , 	15 , 	3 , 	12 , 	10 , 	8 , 	17 , 	59 ," 	2,961 ",,,,,,,,,,,,,
