Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jan 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
ED, 	8 , 	12 , 	5 , 	7 , 	38 , 	14 , 	20 , 	10 , 	17 , 	56 , 	73 , 	489 , 	56 , 	114 , 	37 , 	23 , 	20 , 	30 , 	7 , 	5 , 	7 , 	0 , 	1 , 	6 , 	8 , 	184 , 	134 , 	450 , 	205 , 	27 , 	26 , 	24 , 	31 , 	38 , 	41 , 	77 , 	17 , 	2 , 	5 ," 	2,323 ",,,,,,,,,,
NC, 	2 , 	3 , 	1 , 	1 , 	4 , 	2 , 	7 , 	3 , 	12 , 	1 , 	4 , 	69 , 	2 , 	3 , 	1 , 	2 , 	2 , 	3 , 	17 , 	6 , 	15 , 	4 , 	3 , 	7 , 	-   , 	21 , 	12 , 	38 , 	21 , 	4 , 	9 , 	3 , 	8 , 	7 , 	7 , 	1 , 	1 , 	4 , 	20 , 	325 ,,,,,,,,,,
WP, 	19 , 	17 , 	6 , 	4 , 	20 , 	8 , 	40 , 	14 , 	43 , 	5 , 	26 , 	150 , 	10 , 	14 , 	9 , 	8 , 	10 , 	22 , 	148 , 	39 , 	47 , 	8 , 	6 , 	19 , 	10 , 	61 , 	46 , 	143 , 	74 , 	30 , 	52 , 	24 , 	37 , 	38 , 	44 , 	2 , 	3 , 	21 , 	19 ," 	1,290 ",,,,,,,,,,
Entries," 	1,710 "," 	1,811 "," 	1,204 "," 	1,101 "," 	3,363 "," 	1,527 "," 	1,914 "," 	1,402 "," 	2,792 "," 	1,591 "," 	3,459 "," 	7,301 "," 	1,974 "," 	2,220 "," 	1,465 ", 	862 ," 	1,192 "," 	1,673 "," 	1,373 "," 	1,079 "," 	1,386 ", 	750 , 	627 ," 	1,355 "," 	1,165 "," 	3,510 "," 	3,416 "," 	12,633 "," 	5,630 "," 	3,347 "," 	4,241 "," 	2,080 "," 	3,898 "," 	2,018 "," 	1,800 ", 	792 ," 	1,851 ", 	356 ," 	1,260 "," 	93,128 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
