Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Jan 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	9 , 	152 , 	116 , 	83 , 	452 , 	139 , 	156 , 	171 , 	243 , 	50 , 	109 , 	88 , 	46 , 	46 , 	47 , 	27 , 	17 , 	38 , 	36 , 	25 , 	30 , 	14 , 	11 , 	26 , 	27 , 	220 , 	260 , 	308 , 	236 , 	112 , 	159 , 	30 , 	47 , 	40 , 	27 , 	7 , 	22 , 	8 , 	32 ," 	3,665 ",,,Eastbay," 	72,336 ",,SF CBD," 	187,292 ",64.9%,,,
EN, 	152 , 	10 , 	90 , 	88 , 	860 , 	148 , 	209 , 	397 , 	603 , 	100 , 	120 , 	118 , 	57 , 	39 , 	60 , 	24 , 	39 , 	56 , 	49 , 	29 , 	40 , 	12 , 	9 , 	23 , 	35 , 	737 , 	836 , 	703 , 	597 , 	99 , 	154 , 	58 , 	81 , 	97 , 	56 , 	5 , 	29 , 	8 , 	22 ," 	6,847 ",,,Westbay," 	75,302 ",,non-CBD," 	101,345 ",35.1%,,,
EP, 	131 , 	64 , 	8 , 	34 , 	624 , 	60 , 	104 , 	165 , 	318 , 	69 , 	55 , 	43 , 	24 , 	11 , 	27 , 	9 , 	15 , 	36 , 	25 , 	22 , 	24 , 	10 , 	7 , 	19 , 	7 , 	434 , 	421 , 	343 , 	259 , 	51 , 	38 , 	30 , 	26 , 	39 , 	14 , 	12 , 	13 , 	4 , 	11 ," 	3,605 ",,,Transbay," 	141,000 ",,,,,,,
NB, 	79 , 	80 , 	43 , 	7 , 	205 , 	52 , 	79 , 	157 , 	252 , 	69 , 	56 , 	56 , 	22 , 	15 , 	26 , 	7 , 	10 , 	33 , 	13 , 	15 , 	18 , 	6 , 	13 , 	15 , 	14 , 	465 , 	529 , 	317 , 	349 , 	82 , 	57 , 	27 , 	32 , 	37 , 	14 , 	2 , 	12 , 	1 , 	6 ," 	3,272 ",,,,,,,,,,,
BK, 	415 , 	915 , 	618 , 	210 , 	15 , 	385 , 	358 , 	447 , 	608 , 	263 , 	266 , 	259 , 	151 , 	133 , 	138 , 	92 , 	137 , 	242 , 	102 , 	160 , 	125 , 	68 , 	52 , 	43 , 	72 , 	557 , 	583 , 	661 , 	637 , 	204 , 	215 , 	106 , 	96 , 	153 , 	78 , 	34 , 	105 , 	34 , 	81 ," 	9,819 ",,,Extensions," 	38,872 ",,,,,,,
AS, 	115 , 	141 , 	64 , 	45 , 	343 , 	6 , 	74 , 	167 , 	223 , 	87 , 	92 , 	95 , 	50 , 	38 , 	39 , 	17 , 	26 , 	56 , 	21 , 	21 , 	25 , 	8 , 	10 , 	12 , 	31 , 	398 , 	469 , 	303 , 	312 , 	96 , 	83 , 	29 , 	33 , 	36 , 	21 , 	8 , 	28 , 	5 , 	20 ," 	3,645 ",,,,,,,,,,,
MA, 	145 , 	211 , 	86 , 	77 , 	336 , 	73 , 	9 , 	125 , 	208 , 	75 , 	138 , 	155 , 	99 , 	77 , 	89 , 	48 , 	60 , 	90 , 	93 , 	85 , 	85 , 	25 , 	28 , 	49 , 	51 , 	605 , 	708 , 	562 , 	588 , 	165 , 	140 , 	57 , 	68 , 	74 , 	47 , 	14 , 	49 , 	28 , 	99 ," 	5,718 ",,,,,,,,,,,
19, 	154 , 	444 , 	185 , 	167 , 	395 , 	178 , 	125 , 	8 , 	74 , 	43 , 	128 , 	142 , 	162 , 	162 , 	172 , 	152 , 	163 , 	280 , 	219 , 	315 , 	217 , 	111 , 	80 , 	102 , 	42 , 	611 , 	632 , 	473 , 	536 , 	129 , 	153 , 	118 , 	105 , 	148 , 	148 , 	39 , 	139 , 	106 , 	199 ," 	7,759 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	227 , 	669 , 	291 , 	257 , 	527 , 	233 , 	203 , 	71 , 	21 , 	70 , 	230 , 	321 , 	353 , 	370 , 	338 , 	216 , 	269 , 	421 , 	310 , 	423 , 	335 , 	189 , 	150 , 	186 , 	77 , 	877 , 	875 , 	939 , 	815 , 	211 , 	241 , 	173 , 	154 , 	224 , 	230 , 	71 , 	263 , 	125 , 	280 ," 	12,235 ",,,Dtwn SF," 	3,740 "," 	12,873 "," 	31,891 "," 	10,614 "," 	17,064 "," 	20,585 "," 	96,767 ",
LM, 	40 , 	97 , 	83 , 	75 , 	229 , 	95 , 	73 , 	41 , 	67 , 	8 , 	162 , 	172 , 	210 , 	192 , 	145 , 	87 , 	113 , 	157 , 	26 , 	18 , 	21 , 	9 , 	13 , 	33 , 	31 , 	448 , 	471 , 	431 , 	348 , 	81 , 	78 , 	40 , 	62 , 	65 , 	36 , 	81 , 	223 , 	7 , 	26 ," 	4,597 ",,,OAK," 	12,938 "," 	1,608 "," 	3,226 "," 	5,482 "," 	4,074 "," 	7,118 "," 	34,445 ",
FV, 	91 , 	123 , 	52 , 	61 , 	274 , 	93 , 	140 , 	139 , 	245 , 	148 , 	11 , 	220 , 	242 , 	244 , 	262 , 	105 , 	90 , 	129 , 	46 , 	29 , 	38 , 	22 , 	31 , 	53 , 	95 , 	517 , 	639 , 	571 , 	476 , 	158 , 	161 , 	55 , 	74 , 	73 , 	36 , 	52 , 	153 , 	7 , 	39 ," 	5,997 ",,,CM line," 	31,331 "," 	3,137 "," 	8,340 "," 	2,351 "," 	2,028 "," 	2,645 "," 	49,831 ",
CL, 	194 , 	117 , 	41 , 	39 , 	254 , 	83 , 	124 , 	141 , 	319 , 	117 , 	303 , 	41 , 	118 , 	195 , 	153 , 	77 , 	73 , 	107 , 	42 , 	39 , 	40 , 	16 , 	13 , 	40 , 	59 , 	502 , 	516 , 	529 , 	448 , 	95 , 	104 , 	55 , 	51 , 	60 , 	41 , 	27 , 	111 , 	12 , 	50 ," 	5,346 ",,,RM line," 	10,934 "," 	5,557 "," 	2,556 "," 	6,957 "," 	1,369 "," 	3,482 "," 	30,854 ",
SL, 	183 , 	131 , 	21 , 	25 , 	146 , 	52 , 	98 , 	178 , 	217 , 	136 , 	233 , 	115 , 	8 , 	125 , 	181 , 	96 , 	76 , 	109 , 	31 , 	22 , 	22 , 	5 , 	9 , 	12 , 	21 , 	550 , 	601 , 	391 , 	349 , 	55 , 	75 , 	30 , 	52 , 	32 , 	31 , 	38 , 	82 , 	8 , 	32 ," 	4,579 ",,,WP line," 	17,653 "," 	4,145 "," 	2,124 "," 	1,391 "," 	6,108 "," 	1,392 "," 	32,813 ",
