Fast Pass Adjusted OD,,,,,,Jan 03,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,54,37,121,118,491,855,764,"1,084","3,525"
MT,38,46,76,120,730,"1,213","1,128","2,109","5,461"
PL,164,101,79,92,671,"1,015",694,"1,623","4,438"
CC,105,111,114,61,425,656,496,"1,230","3,198"
16,406,550,774,455,26,178,174,471,"3,035"
24,700,920,"1,155",700,184,39,151,445,"4,294"
GP,699,873,883,455,180,155,21,109,"3,374"
BP,957,"1,253","2,372","1,219",471,478,99,39,"6,888"
Entries,"3,123","3,892","5,573","3,221","3,177","4,590","3,527","7,111","34,214"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,8,39,33,157,238,116,211,822
MT,11,18,35,40,230,362,306,948,"1,948"
PL,40,20,81,41,424,800,437,990,"2,833"
CC,22,23,70,53,211,371,189,462,"1,400"
16,151,186,720,325,33,151,108,284,"1,958"
24,166,214,868,415,92,38,102,251,"2,146"
GP,87,128,589,172,70,91,23,53,"1,214"
BP,179,294,"1,646",441,199,250,58,38,"3,104"
Entries,677,891,"4,047","1,519","1,416","2,300","1,339","3,236","15,425"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,6,15,10,103,137,54,108,450
MT,4,18,25,22,183,182,207,651,"1,291"
PL,24,7,68,31,371,556,319,639,"2,014"
CC,17,12,38,42,214,289,122,318,"1,051"
16,91,108,413,239,30,88,60,143,"1,169"
24,107,120,590,296,76,24,68,139,"1,419"
GP,53,75,448,119,59,57,18,28,856
BP,99,158,"1,261",307,136,168,26,32,"2,187"
Entries,412,503,"2,858","1,065","1,172","1,498",873,"2,057","10,438"
