Fast Pass Adjusted OD,,,,,,Feb 04,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,51,34,122,136,444,844,715,"1,067","3,412"
MT,38,46,64,131,736,"1,223","1,053","2,171","5,462"
PL,154,92,70,110,645,987,637,"1,714","4,409"
CC,125,130,126,69,539,804,556,"1,513","3,863"
16,381,564,766,530,27,202,165,566,"3,201"
24,723,977,"1,163",750,225,40,142,589,"4,610"
GP,678,820,817,455,165,154,19,124,"3,232"
BP,948,"1,284","2,470","1,351",566,644,124,35,"7,423"
Entries,"3,099","3,948","5,598","3,532","3,348","4,898","3,411","7,780","35,613"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,7,34,27,195,267,103,201,857
MT,6,26,23,30,319,394,324,"1,048","2,169"
PL,43,25,80,49,524,785,434,"1,027","2,966"
CC,27,34,59,56,365,442,197,533,"1,711"
16,134,184,601,363,27,149,107,278,"1,844"
24,197,237,866,413,141,44,115,263,"2,276"
GP,97,163,580,168,95,95,20,61,"1,277"
BP,177,342,"1,667",493,289,284,60,30,"3,341"
Entries,705,"1,019","3,909","1,598","1,954","2,459","1,358","3,440","16,440"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,6,16,15,100,130,57,101,439
MT,3,18,14,21,161,193,181,617,"1,209"
PL,19,10,74,30,324,477,248,590,"1,771"
CC,14,16,43,59,246,304,115,308,"1,106"
16,77,106,374,253,38,86,59,150,"1,143"
24,112,129,564,290,82,39,53,156,"1,426"
GP,51,74,370,104,58,50,16,31,753
BP,113,162,"1,158",255,140,149,31,30,"2,037"
Entries,404,521,"2,612","1,028","1,149","1,428",759,"1,983","9,883"
