Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Feb 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	54 , 	58 , 	33 , 	29 , 	139 , 	51 , 	66 , 	50 , 	102 , 	53 , 	59 , 	10 , 	50 , 	98 , 	68 , 	44 , 	40 , 	79 , 	36 , 	24 , 	26 , 	10 , 	9 , 	14 , 	37 , 	185 , 	154 , 	536 , 	215 , 	66 , 	72 , 	37 , 	30 , 	42 , 	18 , 	23 , 	105 , 	7 , 	55 , 	8 , 	12 , 	56 , 	7 ," 	2,869 ",,,CM line," 	9,003 ", 	867 ," 	3,153 ", 	913 , 	694 ," 	1,183 ", 	854 ," 	15,812 "
SL, 	15 , 	20 , 	10 , 	13 , 	37 , 	18 , 	24 , 	27 , 	60 , 	70 , 	92 , 	57 , 	5 , 	81 , 	59 , 	25 , 	26 , 	37 , 	8 , 	4 , 	10 , 	1 , 	1 , 	7 , 	19 , 	70 , 	58 , 	187 , 	80 , 	17 , 	29 , 	11 , 	14 , 	14 , 	6 , 	13 , 	26 , 	2 , 	10 , 	4 , 	4 , 	13 , 	2 ," 	1,285 ",,,RM line," 	3,225 "," 	1,451 "," 	1,007 "," 	2,498 ", 	427 ," 	1,546 ", 	285 ," 	10,154 "
BF, 	21 , 	21 , 	9 , 	10 , 	41 , 	18 , 	34 , 	26 , 	80 , 	67 , 	170 , 	96 , 	83 , 	6 , 	69 , 	64 , 	54 , 	83 , 	13 , 	5 , 	7 , 	1 , 	3 , 	3 , 	24 , 	61 , 	55 , 	164 , 	62 , 	16 , 	24 , 	11 , 	19 , 	16 , 	6 , 	35 , 	78 , 	1 , 	17 , 	3 , 	3 , 	12 , 	3 ," 	1,591 ",,,WP line," 	3,109 ", 	558 , 	738 , 	426 ," 	1,862 ", 	671 , 	346 ," 	7,363 "
HY, 	15 , 	22 , 	5 , 	5 , 	44 , 	14 , 	27 , 	25 , 	43 , 	30 , 	92 , 	67 , 	60 , 	78 , 	6 , 	58 , 	53 , 	106 , 	11 , 	3 , 	6 , 	2 , 	-   , 	7 , 	11 , 	40 , 	31 , 	101 , 	41 , 	19 , 	22 , 	5 , 	17 , 	11 , 	3 , 	8 , 	23 , 	3 , 	12 , 	2 , 	2 , 	6 , 	2 ," 	1,139 ",,,FT/ED line," 	4,732 "," 	1,643 "," 	1,170 "," 	1,432 ", 	619 ," 	4,784 ", 	350 ," 	14,380 "
SH, 	7 , 	8 , 	3 , 	5 , 	19 , 	7 , 	14 , 	14 , 	23 , 	11 , 	35 , 	50 , 	22 , 	62 , 	60 , 	5 , 	26 , 	49 , 	6 , 	4 , 	3 , 	1 , 	-   , 	3 , 	5 , 	23 , 	15 , 	70 , 	26 , 	11 , 	16 , 	6 , 	9 , 	9 , 	4 , 	7 , 	16 , 	1 , 	9 , 	3 , 	1 , 	3 , 	2 , 	671 ,,,SFIA," 	1,735 ", 	135 , 	707 , 	213 , 	263 , 	248 , 	293 ," 	3,301 "
UC, 	9 , 	19 , 	7 , 	6 , 	32 , 	12 , 	14 , 	11 , 	43 , 	33 , 	37 , 	45 , 	32 , 	57 , 	62 , 	32 , 	5 , 	66 , 	8 , 	5 , 	5 , 	0 , 	1 , 	6 , 	7 , 	52 , 	36 , 	121 , 	45 , 	12 , 	11 , 	9 , 	10 , 	14 , 	4 , 	6 , 	21 , 	2 , 	9 , 	2 , 	2 , 	12 , 	6 , 	927 ,,,Entries," 	26,214 "," 	8,744 "," 	16,802 "," 	10,076 "," 	7,567 "," 	14,694 "," 	4,089 "," 	84,097 "
FM, 	15 , 	32 , 	19 , 	13 , 	97 , 	22 , 	27 , 	25 , 	62 , 	56 , 	56 , 	100 , 	42 , 	86 , 	103 , 	52 , 	71 , 	21 , 	14 , 	13 , 	13 , 	6 , 	3 , 	9 , 	7 , 	105 , 	93 , 	274 , 	106 , 	23 , 	19 , 	11 , 	17 , 	19 , 	7 , 	8 , 	26 , 	4 , 	19 , 	2 , 	2 , 	23 , 	4 ," 	1,728 ",,,,,,,,,,,
CN, 	10 , 	15 , 	7 , 	4 , 	23 , 	8 , 	26 , 	15 , 	41 , 	4 , 	27 , 	42 , 	7 , 	9 , 	11 , 	5 , 	11 , 	15 , 	9 , 	40 , 	199 , 	41 , 	21 , 	26 , 	5 , 	74 , 	54 , 	128 , 	71 , 	25 , 	32 , 	15 , 	17 , 	19 , 	7 , 	2 , 	9 , 	11 , 	127 , 	4 , 	7 , 	20 , 	11 ," 	1,252 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	5 , 	7 , 	6 , 	6 , 	22 , 	6 , 	16 , 	8 , 	31 , 	6 , 	7 , 	46 , 	3 , 	4 , 	3 , 	4 , 	5 , 	11 , 	41 , 	9 , 	40 , 	19 , 	10 , 	31 , 	3 , 	88 , 	70 , 	167 , 	85 , 	14 , 	18 , 	12 , 	11 , 	14 , 	7 , 	2 , 	3 , 	5 , 	30 , 	4 , 	3 , 	45 , 	10 , 	937 ,,,Dtwn SF," 	1,091 ",,,,,,,
WC, 	8 , 	7 , 	7 , 	7 , 	38 , 	7 , 	15 , 	15 , 	41 , 	10 , 	12 , 	37 , 	8 , 	4 , 	5 , 	3 , 	2 , 	7 , 	220 , 	40 , 	8 , 	32 , 	17 , 	45 , 	4 , 	112 , 	77 , 	220 , 	134 , 	18 , 	21 , 	11 , 	7 , 	18 , 	4 , 	2 , 	3 , 	20 , 	60 , 	3 , 	3 , 	43 , 	9 ," 	1,365 ",,,OAK," 	6,875 ", 	534 ,,,,,,
LF, 	4 , 	2 , 	3 , 	5 , 	22 , 	6 , 	9 , 	6 , 	19 , 	3 , 	8 , 	19 , 	1 , 	2 , 	1 , 	1 , 	0 , 	5 , 	45 , 	17 , 	31 , 	4 , 	6 , 	26 , 	1 , 	59 , 	49 , 	114 , 	82 , 	13 , 	9 , 	5 , 	5 , 	6 , 	1 , 	1 , 	0 , 	4 , 	6 , 	0 , 	2 , 	24 , 	7 , 	630 ,,,CM line," 	18,135 "," 	1,762 "," 	3,153 ",,,,,
OR, 	1 , 	2 , 	2 , 	4 , 	17 , 	2 , 	8 , 	7 , 	16 , 	3 , 	6 , 	15 , 	1 , 	2 , 	1 , 	0 , 	1 , 	2 , 	18 , 	8 , 	16 , 	6 , 	2 , 	22 , 	2 , 	55 , 	44 , 	97 , 	72 , 	9 , 	9 , 	3 , 	4 , 	6 , 	2 , 	0 , 	1 , 	3 , 	7 , 	3 , 	2 , 	17 , 	3 , 	504 ,,,RM line," 	6,485 "," 	2,787 "," 	1,919 "," 	2,498 ",,,,
RR, 	10 , 	9 , 	8 , 	10 , 	22 , 	9 , 	22 , 	24 , 	40 , 	9 , 	16 , 	33 , 	6 , 	5 , 	9 , 	3 , 	6 , 	8 , 	18 , 	23 , 	47 , 	23 , 	22 , 	8 , 	8 , 	142 , 	142 , 	293 , 	197 , 	67 , 	52 , 	25 , 	9 , 	15 , 	4 , 	3 , 	6 , 	6 , 	19 , 	1 , 	2 , 	42 , 	11 ," 	1,436 ",,,WP line," 	6,295 "," 	1,074 "," 	1,432 ", 	853 ," 	1,862 ",,,
OW, 	12 , 	12 , 	3 , 	8 , 	41 , 	27 , 	32 , 	20 , 	54 , 	17 , 	53 , 	41 , 	14 , 	21 , 	9 , 	5 , 	7 , 	5 , 	4 , 	2 , 	4 , 	1 , 	1 , 	7 , 	5 , 	102 , 	114 , 	305 , 	134 , 	48 , 	55 , 	10 , 	13 , 	8 , 	3 , 	1 , 	7 , 	0 , 	9 , 	1 , 	1 , 	12 , 	4 ," 	1,230 ",,,FT/ED line," 	9,380 "," 	3,258 "," 	2,353 "," 	2,978 "," 	1,290 "," 	4,784 ",,
EM, 	47 , 	86 , 	76 , 	101 , 	231 , 	88 , 	137 , 	90 , 	213 , 	102 , 	119 , 	216 , 	77 , 	66 , 	49 , 	28 , 	59 , 	120 , 	85 , 	104 , 	127 , 	63 , 	61 , 	168 , 	131 , 	33 , 	25 , 	90 , 	59 , 	195 , 	260 , 	123 , 	166 , 	84 , 	44 , 	46 , 	209 , 	23 , 	86 , 	20 , 	20 , 	140 , 	57 ," 	4,326 ",,,SFIA," 	3,526 ", 	989 , 	993 , 	559 , 	612 , 	248 , 	293 ," 	87,723 "
