Exit stations,Entry stations->,,SATURDAY,,,Apr 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
CL, 	34 , 	49 , 	25 , 	32 , 	62 , 	34 , 	63 , 	80 , 	53 , 	84 , 	105 , 	21 , 	98 , 	76 , 	66 , 	36 , 	50 , 	61 , 	20 , 	21 , 	15 , 	6 , 	4 , 	25 , 	34 , 	117 , 	81 , 	190 , 	107 , 	46 , 	56 , 	24 , 	16 , 	33 , 	6 , 	38 , 	150 , 	11 , 	14 , 	8 , 	8 , 	9 , 	11 , 	51 , 	22 , 	41 , 	60 , 	80 , 	3 , 	14 ," 	2,350 ",,,,,,,,,,
SL, 	11 , 	14 , 	7 , 	11 , 	41 , 	12 , 	22 , 	34 , 	41 , 	63 , 	66 , 	110 , 	12 , 	50 , 	52 , 	29 , 	21 , 	23 , 	6 , 	5 , 	7 , 	1 , 	1 , 	8 , 	18 , 	98 , 	86 , 	209 , 	86 , 	35 , 	35 , 	7 , 	18 , 	17 , 	2 , 	19 , 	21 , 	1 , 	2 , 	3 , 	3 , 	14 , 	3 , 	25 , 	4 , 	17 , 	14 , 	22 , 	1 , 	3 ," 	1,412 ",,,,,,,,,,
BF, 	9 , 	14 , 	7 , 	7 , 	32 , 	9 , 	23 , 	29 , 	33 , 	59 , 	96 , 	78 , 	52 , 	14 , 	47 , 	29 , 	22 , 	29 , 	8 , 	3 , 	5 , 	1 , 	1 , 	4 , 	19 , 	95 , 	78 , 	213 , 	73 , 	26 , 	22 , 	9 , 	17 , 	11 , 	4 , 	17 , 	40 , 	1 , 	3 , 	3 , 	2 , 	7 , 	2 , 	27 , 	5 , 	18 , 	14 , 	19 , 	2 , 	3 ," 	1,342 ",,,,,,,,,,
HY, 	10 , 	16 , 	6 , 	6 , 	34 , 	10 , 	20 , 	32 , 	29 , 	29 , 	64 , 	70 , 	55 , 	43 , 	15 , 	38 , 	36 , 	46 , 	4 , 	3 , 	2 , 	3 , 	0 , 	5 , 	11 , 	59 , 	37 , 	88 , 	44 , 	17 , 	15 , 	6 , 	6 , 	9 , 	4 , 	6 , 	16 , 	1 , 	6 , 	2 , 	4 , 	4 , 	3 , 	13 , 	4 , 	27 , 	26 , 	31 , 	1 , 	5 ," 	1,019 ",,,,,,,,,,
SH, 	4 , 	5 , 	4 , 	5 , 	18 , 	3 , 	7 , 	13 , 	14 , 	12 , 	29 , 	32 , 	27 , 	25 , 	34 , 	8 , 	21 , 	27 , 	2 , 	2 , 	4 , 	0 , 	1 , 	2 , 	3 , 	46 , 	33 , 	75 , 	28 , 	9 , 	15 , 	3 , 	4 , 	8 , 	2 , 	5 , 	8 , 	1 , 	2 , 	1 , 	1 , 	4 , 	1 , 	12 , 	5 , 	28 , 	14 , 	26 , 	0 , 	2 , 	634 ,,,,,,,,,,
UC, 	6 , 	12 , 	4 , 	4 , 	45 , 	7 , 	9 , 	26 , 	18 , 	17 , 	25 , 	45 , 	23 , 	26 , 	46 , 	19 , 	12 , 	29 , 	0 , 	2 , 	1 , 	1 , 	0 , 	1 , 	8 , 	74 , 	38 , 	99 , 	47 , 	20 , 	14 , 	6 , 	7 , 	7 , 	1 , 	4 , 	11 , 	1 , 	2 , 	2 , 	1 , 	9 , 	2 , 	5 , 	5 , 	28 , 	28 , 	34 , 	-   , 	2 , 	833 ,,,,,,,,,,
FM, 	7 , 	8 , 	7 , 	7 , 	44 , 	6 , 	11 , 	16 , 	19 , 	20 , 	32 , 	51 , 	24 , 	28 , 	48 , 	33 , 	26 , 	16 , 	3 , 	1 , 	2 , 	1 , 	1 , 	2 , 	2 , 	95 , 	57 , 	100 , 	52 , 	18 , 	16 , 	5 , 	5 , 	7 , 	2 , 	5 , 	14 , 	1 , 	1 , 	0 , 	0 , 	10 , 	2 , 	4 , 	6 , 	26 , 	45 , 	43 , 	0 , 	3 , 	933 ,,,,,,,,,,
CN, 	10 , 	8 , 	4 , 	2 , 	13 , 	4 , 	23 , 	15 , 	22 , 	3 , 	7 , 	16 , 	9 , 	6 , 	4 , 	3 , 	2 , 	2 , 	20 , 	33 , 	107 , 	61 , 	17 , 	16 , 	5 , 	82 , 	54 , 	107 , 	53 , 	26 , 	23 , 	8 , 	6 , 	13 , 	4 , 	2 , 	3 , 	7 , 	63 , 	5 , 	7 , 	41 , 	4 , 	2 , 	8 , 	5 , 	3 , 	5 , 	36 , 	36 ," 	1,014 ",,,,,,,,,,
PH, 	7 , 	6 , 	5 , 	3 , 	19 , 	4 , 	17 , 	17 , 	18 , 	3 , 	4 , 	16 , 	2 , 	3 , 	2 , 	2 , 	1 , 	2 , 	32 , 	17 , 	38 , 	16 , 	7 , 	20 , 	5 , 	104 , 	47 , 	105 , 	50 , 	18 , 	16 , 	7 , 	5 , 	7 , 	4 , 	2 , 	2 , 	6 , 	22 , 	2 , 	3 , 	46 , 	3 , 	2 , 	11 , 	2 , 	2 , 	4 , 	13 , 	17 , 	766 ,,,,,,,,,,
WC, 	8 , 	6 , 	4 , 	6 , 	27 , 	5 , 	25 , 	25 , 	23 , 	5 , 	13 , 	14 , 	4 , 	4 , 	2 , 	3 , 	1 , 	0 , 	138 , 	44 , 	23 , 	26 , 	23 , 	39 , 	7 , 	131 , 	76 , 	114 , 	75 , 	27 , 	17 , 	11 , 	10 , 	9 , 	2 , 	1 , 	4 , 	10 , 	47 , 	4 , 	3 , 	61 , 	4 , 	0 , 	8 , 	2 , 	4 , 	6 , 	18 , 	33 ," 	1,152 ",,,,,,,,,,
LF, 	3 , 	4 , 	4 , 	3 , 	14 , 	2 , 	12 , 	11 , 	8 , 	1 , 	3 , 	5 , 	1 , 	1 , 	3 , 	0 , 	1 , 	1 , 	75 , 	21 , 	30 , 	13 , 	7 , 	21 , 	1 , 	77 , 	39 , 	59 , 	43 , 	9 , 	6 , 	3 , 	2 , 	3 , 	1 , 	-   , 	0 , 	3 , 	10 , 	3 , 	1 , 	31 , 	1 , 	0 , 	5 , 	0 , 	1 , 	2 , 	5 , 	6 , 	554 ,,,,,,,,,,
OR, 	2 , 	2 , 	1 , 	2 , 	9 , 	2 , 	9 , 	10 , 	9 , 	1 , 	3 , 	4 , 	0 , 	1 , 	0 , 	0 , 	0 , 	2 , 	16 , 	7 , 	20 , 	10 , 	5 , 	19 , 	2 , 	56 , 	30 , 	42 , 	26 , 	14 , 	8 , 	4 , 	3 , 	3 , 	0 , 	0 , 	0 , 	2 , 	4 , 	1 , 	1 , 	21 , 	2 , 	-   , 	3 , 	0 , 	1 , 	1 , 	2 , 	2 , 	364 ,,,,,,,,,,
RR, 	12 , 	12 , 	8 , 	6 , 	10 , 	4 , 	28 , 	45 , 	36 , 	5 , 	19 , 	26 , 	7 , 	6 , 	4 , 	3 , 	2 , 	3 , 	23 , 	22 , 	39 , 	24 , 	17 , 	12 , 	11 , 	184 , 	118 , 	208 , 	147 , 	91 , 	56 , 	25 , 	11 , 	15 , 	4 , 	2 , 	2 , 	2 , 	9 , 	4 , 	3 , 	75 , 	3 , 	1 , 	7 , 	1 , 	4 , 	6 , 	3 , 	10 ," 	1,374 ",,,,,,,,,,
